,https://roic.ai/company/UTI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,92079000,109493000,144372000,196495000,255149000,310800000,347066000,353370000,343460000,366635000,435921000,451900000,413552000,380268000,378393000,362674000,347146000,324263000,316965000,331504000,300761000,335083000
2,COGS,48523000,59554000,70813000,92443000,116730000,145026000,173229000,186245000,186640000,193490000,212577000,223469000,211979000,199540000,200054000,194416000,194395000,181027000,182589000,178317000,155932000,166818000
3,Gross Profit,43556000,49939000,73559000,104052000,138419000,165774000,173837000,167125000,156820000,173145000,223344000,228431000,201573000,180728000,178339000,168258000,152751000,143236000,134376000,153187000,144829000,168265000
4,Gross Profit Ratio,0.4730,0.4561,0.5095,0.5295,0.5425,0.5334,0.5009,0.4729,0.4566,0.4723,0.5123,0.5055,0.4874,0.4753,0.4713,0.4639,0.4400,0.4417,0.4239,0.4621,0.4815,0.5022
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,88297000,109996000,133097000,143375000,146123000,154504000,176794000,133640000,134360000,128400000,125589000,116329000,126487000,102981000,120265000,118346000,108030000,113774000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34605000,42127000,36986000,39221000,44688000,41191000,38561000,44789000,41163000,39707000,38748000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,88297000,109996000,133097000,143375000,146123000,154504000,176794000,168245000,176487000,165386000,164810000,161017000,167678000,141542000,165054000,159509000,147737000,152522000
9,Other Expenses,33893000,38332000,51541000,67896000,- -,- -,- -,- -,- -,- -,- -,15081000,10971000,4651000,3220000,2518000,2543000,2691000,1922000,1480000,963000,796000
10,Operating Expenses,33893000,38332000,51541000,67896000,88297000,109996000,133097000,143375000,146123000,154504000,176794000,183326000,187458000,170037000,168030000,163535000,170221000,144233000,166976000,160989000,148700000,153318000
11,COGS and Expenses,82416000,97886000,122354000,160339000,205027000,255022000,306326000,329620000,332763000,347994000,389371000,406795000,399437000,369577000,368084000,357951000,364616000,325260000,349565000,339306000,304632000,320136000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000,259000,258000,306000,235000,223000,215000,243000,900000,1425000,1491000,1152000,83000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,9000,6000,4000,1000,1847000,2340000,3439000,3381000,3310000,3220000,10000,365000
14,Depreciation and Amortization,3887000,4532000,4948000,6382000,8812000,9777000,14205000,18751000,17605000,17568000,19888000,24842000,23819000,22156000,20474000,19155000,17749000,16886000,15688000,15904000,36077000,29632000
15,EBITDA,-32333000,-5207000,19865000,39114000,56769000,67016000,57915000,45121000,31626000,36921000,67176000,70496000,38785000,28975000,28068000,10814000,-338000,17536000,-16699000,11459000,33493000,45180000
16,EBITDA ratio,-0.3511,-0.0476,0.1376,0.1991,0.2225,0.2156,0.1669,0.1277,0.0921,0.1007,0.1541,0.1560,0.0938,0.0762,0.0742,0.0298,-0.0010,0.0541,-0.0527,0.0346,0.1114,0.1348
17,Operating Income,9663000,11607000,22018000,36156000,50122000,55778000,40740000,23750000,10697000,18641000,46550000,45105000,14115000,5929000,6337000,-9223000,-18623000,-1824000,-35275000,-7802000,-3871000,14947000
18,Operating Income ratio,0.1049,0.1060,0.1525,0.1840,0.1964,0.1795,0.1174,0.0672,0.0311,0.0508,0.1068,0.0998,0.0341,0.0156,0.0167,-0.0254,-0.0536,-0.0056,-0.1113,-0.0235,-0.0129,0.0446
19,Total Other Income Expenses (Gains),-11877000,-10674000,-7101000,-3424000,-2165000,1461000,2970000,2620000,3324000,664000,729000,543000,847000,889000,-590000,-1458000,-2903000,-907000,-422000,137000,1277000,236000
20,Income Before Tax,-2214000,933000,14917000,32732000,47957000,57239000,43710000,26370000,14021000,19305000,47279000,45648000,14962000,6818000,5747000,-10681000,-21526000,-2731000,-35697000,-7665000,-2594000,15183000
21,Income Before Tax Ratio,-0.0240,0.0085,0.1033,0.1666,0.1880,0.1842,0.1259,0.0746,0.0408,0.0527,0.1085,0.1010,0.0362,0.0179,0.0152,-0.0295,-0.0620,-0.0084,-0.1126,-0.0231,-0.0086,0.0453
22,Income Tax expense (Gain),- -,- -,5228000,12353000,19137000,21420000,16324000,10806000,5805000,7572000,18451000,18410000,5930000,3008000,3710000,-1532000,26170000,5397000,-3015000,203000,-10602000,602000
23,Net Income,-36220000,-9739000,9689000,20379000,28820000,35819000,27386000,15564000,8216000,11733000,28828000,27238000,9032000,3810000,2037000,-9149000,-47696000,-8128000,-32682000,-7868000,8008000,14581000
24,Net Income ratio,-0.3934,-0.0889,0.0671,0.1037,0.1130,0.1152,0.0789,0.0440,0.0239,0.0320,0.0661,0.0603,0.0218,0.0100,0.0054,-0.0252,-0.1374,-0.0251,-0.1031,-0.0237,0.0266,0.0435
25,EPS,-2.78,-0.81,0.51,1.03,1.14,1.28,0.99,0.58,0.32,0.48,1.20,1.12,0.37,0.16,0.08,-0.38,-2.02,-0.54,-1.51,-0.52,0.05,0.17
26,EPS Diluted,-2.78,-0.81,0.44,0.79,1.04,1.26,0.97,0.57,0.32,0.48,1.18,1.10,0.36,0.15,0.08,-0.38,-2.02,-0.54,-1.51,-0.52,0.05,0.17
27,Weighted Average Shares Outstanding,13432000,13402000,13402000,13543000,24659000,27899000,27799000,26775000,25574000,24246000,24041000,24427000,24711000,24515000,24640000,24391000,24313000,24712000,25115000,25438000,29812000,32766000
28,Weighted Average Shares Outstanding Diluted,13432000,13402000,20244000,25051000,27585000,28536000,28255000,27424000,25807000,24627000,24511000,24740000,24937000,24704000,24920000,24391000,24313000,24712000,25115000,25438000,30113000,33123000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261654/000095015304002536/0000950153-04-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015305003145/0000950153-05-003145-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015306003008/0000950153-06-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015307002493/0000950153-07-002493-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015308002001/0000950153-08-002001-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012309067125/0000950123-09-067125-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012310109850/0000950123-10-109850-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312511324755/0001193125-11-324755-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312512482479/0001193125-12-482479-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165413000036/0001261654-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165414000047/0001261654-14-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165415000042/0001261654-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165416000085/0001261654-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165417000046/0001261654-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165418000042/0001261654-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165419000060/0001261654-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165420000071/0001261654-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165421000073/0001261654-21-000073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3326000,3353000,13554000,8925000,42602000,52045000,41431000,75594000,80878000,56199000,48974000,53670000,45665000,35657000,38985000,29438000,119045000,50138000,58104000,65442000,76803000,133721000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25142000,28528000,50052000,51455000,57531000,45906000,28086000,1691000,47779000,- -,- -,38055000,- -
33,Cash and Short-Term Investments,3326000,3353000,13554000,8925000,42602000,52045000,41431000,75594000,80878000,81341000,77502000,103722000,97120000,93188000,84891000,57524000,120736000,97917000,58104000,65442000,114858000,133721000
