,https://roic.ai/company/VISL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,250000,16350000,10653000,- -,150000,- -,406000,628000,932000,6574000,47824000,38294000,28942000,22882000,33882000
2,COGS,- -,- -,14000,1221000,2024000,- -,50000,- -,102000,156000,1371000,5550000,30001000,19665000,20446000,14282000,16007000
3,Gross Profit,- -,- -,236000,15129000,8629000,- -,100000,- -,304000,472000,-439000,1024000,17823000,18629000,8496000,8600000,17875000
4,Gross Profit Ratio,- -,- -,0.9440,0.9253,0.8100,- -,0.6667,- -,0.7488,0.7516,-0.4710,0.1558,0.3727,0.4865,0.2936,0.3758,0.5276
5,Research and Development Exp.,- -,- -,- -,- -,- -,18519000,3991000,4806000,5468000,7597000,4658000,6106000,9799000,7873000,3232000,2698000,3051000
6,General and Administrative Exp.,43000,51000,- -,101000,53000,85000,88000,6097000,6297000,8243000,7843000,9534000,27015000,21817000,20099000,17024000,22039000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",43000,51000,- -,101000,53000,85000,88000,6097000,6297000,8243000,7843000,9534000,27015000,21817000,20099000,17024000,22039000
9,Other Expenses,- -,- -,6446000,7315000,10165000,- -,11428000,2063000,2370000,3871000,4829000,5561000,4398000,2953000,2365000,1411000,26539000
10,Operating Expenses,- -,- -,6446000,7416000,10218000,18604000,15507000,12966000,14135000,19711000,17330000,21201000,41212000,32643000,25696000,21133000,51629000
11,COGS and Expenses,3451000,10218000,6460000,8637000,12242000,33102000,15557000,12966000,14237000,19867000,18701000,26751000,71213000,52308000,46142000,35415000,51629000
12,Interest Income ,15000,112000,1256000,536000,- -,28000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,62000,892000,535000,2227000,179000,529000,925000,629000,2718000,1878000,- -,29000
14,Depreciation and Amortization,58000,102000,111000,1022000,2698000,3365000,- -,2063000,2370000,3871000,4830000,5561000,4398000,2953000,3248000,522,237000
15,EBITDA,-3393000,-8961000,-11904000,3014000,1109000,-29675000,-14515000,-10903000,-22853000,-14928000,-12498000,-14416000,-5519000,-9202000,-12921000,-17574478,-16126000
16,EBITDA ratio,-Infinity,-Infinity,-47.6160,0.1843,0.1041,-Infinity,-96.7667,-Infinity,-56.2882,-23.7707,-13.4099,-2.1929,-0.1154,-0.2403,-0.4464,-0.7680,-0.4759
17,Operating Income,-3451000,-11373000,-6210000,7713000,-1589000,-49261000,-15407000,-12966000,-13831000,-19239000,-19861000,-22860000,-23389000,-14427000,-17200000,-17888000,-17747000
18,Operating Income ratio,-Infinity,-Infinity,-24.8400,0.4717,-0.1492,-Infinity,-102.7133,-Infinity,-34.0665,-30.6354,-21.3101,-3.4773,-0.4891,-0.3767,-0.5943,-0.7817,-0.5238
19,Total Other Income Expenses (Gains),15000,112000,-5805000,-5721000,- -,- -,- -,-821000,-13619000,261000,2004000,1958000,12843000,-446000,-847000,313000,1355000
20,Income Before Tax,-3436000,-11261000,-12015000,1992000,-1589000,-49261000,-15407000,-13787000,-27450000,-18978000,-17857000,-20902000,-10546000,-14873000,-18047000,-17575000,-16392000
21,Income Before Tax Ratio,-Infinity,-Infinity,-48.0600,0.1218,-0.1492,-Infinity,-102.7133,-Infinity,-67.6108,-30.2197,-19.1599,-3.1795,-0.2205,-0.3884,-0.6236,-0.7681,-0.4838
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3436000,-11261000,-12015000,1992000,-1589000,-49261000,-15407000,-13787000,-27450000,-18978000,-17857000,-20902000,-10546000,-14873000,-18047000,-17575000,-16392000
24,Net Income ratio,-Infinity,-Infinity,-48.0600,0.1218,-0.1492,-Infinity,-102.7133,-Infinity,-67.6108,-30.2197,-19.1599,-3.1795,-0.2205,-0.3884,-0.6236,-0.7681,-0.4838
25,EPS,-22457.52,-73601.31,-78529.41,13019.61,-10385.62,-321967.32,-100699.35,-90111.11,-105984.56,-52280.99,-19872.04,-2212.20,-52.20,-54.00,-12.06,-1.19,-1.11
26,EPS Diluted,-22457.52,-73601.31,-78529.41,13019.61,-10385.62,-321967.32,-100699.35,-90111.11,-105984.56,-52280.99,-19872.04,-2212.20,-52.20,-54.00,-12.06,-1.19,-1.11
27,Weighted Average Shares Outstanding,153,153,153,153,153,153,153,153,259,363,1055,10266,202300,274817,1493669,14811000,14811000
28,Weighted Average Shares Outstanding Diluted,153,153,153,153,153,153,153,153,259,363,1055,10266,202300,274817,1493669,14811000,14811000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565228/000114420414013818/v369290-10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420415020105/v401857_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420416094443/v435325_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420417018162/0001144204-17-018162-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000114420418018715/0001144204-18-018715-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315219004520/0001493152-19-004520-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315220005537/0001493152-20-005537-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315221008926/0001493152-21-008926-index.htm,https://www.sec.gov/Archives/edgar/data/1565228/000149315222008597/0001493152-22-008597-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3479000,8016000,32718000,15830000,5141000,91000,133000,271000,5517000,758000,368000,9054000,2799000,2005000,1737000,5190,36231
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3479000,8016000,32718000,15830000,5141000,91000,133000,271000,5517000,758000,368000,9054000,2799000,2005000,1737000,5190,36231
34,Net Receivables,79000,- -,261000,10197000,20401000,21000,3000,- -,2138000,702000,641000,1369000,8337000,6191000,6714000,4525,9069
