,https://roic.ai/company/VNRX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100,- -,- -
2,COGS,- -,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1508870,- -,2503765,4044020,6101720,6454340,7514540,10304190,9672570,- -,7000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1099593,1295435,1722147,1908177,3904001,5429088,5362067,5783839,4519328,5466185,55000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763407,1169756,965713,- -,- -
8,"Selling, General and Administrative Exp.",- -,24180,13105,36987,22295,21803,15816,10947,1099593,1295435,1722147,1908177,3904001,5429088,6125474,6953595,5485041,6539553,55000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2842583,-865623,-143984,-146814,21850,1405899,639914,747378,- -,- -
10,Operating Expenses,- -,- -,- -,- -,22295,- -,- -,- -,2608463,4138018,3360289,5808213,9858907,11905278,15045913,17897699,15904989,- -,62000
11,COGS and Expenses,- -,24180,13105,36987,26295,21803,15816,10947,2608463,- -,4575912,5952200,10005720,12430210,14696070,17897700,16060020,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112367,49495,-94000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73133,110924,126572,129799,20000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,118617,135743,146396,142131,236340,309406,528166,636380,902412,1041373,- -
15,EBITDA,- -,-24180,-13105,-36987,-26295,-21803,-15816,-10947,-2489846,70000,-4178683,-5810070,-9769380,-12120800,-14167900,-17261320,-15070076,- -,- -
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-881.2910,- -,- -
17,Operating Income,- -,-24180,-13105,-36987,-26295,-21803,- -,- -,- -,-4083050,-4575912,-5937415,-10005719,-12266603,-15045913,-17897699,-16042924,-21247815,- -
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-938.1827,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865623,-2276115,470869,361323,276703,-110921,-56136,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3710289,-8213530,-9534850,-11905280,-14769210,-18008620,-16099060,- -,32000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-941.4655,- -,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-24180,-13105,-36987,-26295,-21803,-15816,-10947,-2608463,- -,-3710289,-8213530,-9530240,-11905280,-14769210,-18008620,-16099060,- -,32000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-941.4655,- -,Infinity
25,EPS,- -,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.00,-0.45,-0.44,-0.34,-0.61,-0.54,-0.52,-0.56,-0.57,-0.41,-0.45,0.00
26,EPS Diluted,- -,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.00,-0.45,-0.44,-0.34,-0.61,-0.54,-0.52,-0.56,-0.57,-0.41,-0.45,0.00
27,Weighted Average Shares Outstanding,- -,1295000,1295000,2203630,2285000,2285000,2285000,2285000,5768132,9359934,10832369,13435253,17731809,23049089,26389580,31389220,39180369,45278847,45278847
28,Weighted Average Shares Outstanding Diluted,- -,1295000,1295000,2203630,2285000,2285000,2285000,2285000,5768132,9359934,10832369,13435253,17731809,23049089,26389580,31389220,39180369,45278847,45278847
