,https://roic.ai/company/ARCC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,4400000,41800000,120000000,188900000,240500000,245300000,483400000,634500000,748000000,881700000,988959000,1025350000,1012000000,1160000000,1337000000,1528000000,725000000,1903000000
2,COGS,900000,10400000,51700000,83900000,98700000,88000000,208200000,306500000,356200000,398500000,491756000,455982000,441000000,571000000,622000000,686000000,- -,- -
3,Gross Profit,3500000,31400000,68300000,105000000,141800000,157300000,275200000,328000000,391800000,483200000,497203000,569368000,571000000,589000000,715000000,842000000,- -,- -
4,Gross Profit Ratio,0.7955,0.7512,0.5692,0.5558,0.5896,0.6413,0.5693,0.5169,0.5238,0.5480,0.5028,0.5553,0.5642,0.5078,0.5348,0.5510,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,800000,3200000,5100000,7300000,10300000,18600000,53900000,38100000,31700000,38700000,41072000,43856000,56000000,89000000,42000000,45000000,222000000,264000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",800000,3200000,5100000,7300000,10300000,18600000,53900000,38100000,31700000,38700000,41072000,43856000,56000000,89000000,42000000,45000000,222000000,264000000
9,Other Expenses,865753,11526677,53358015,87450617,4195000,4687000,48000,17000,43000,7000,118273000,121390000,123000000,104000000,129000000,164000000,- -,43000000
10,Operating Expenses,1665753,14726677,58458015,94750617,14495000,23287000,53948000,38117000,31743000,38707000,159345000,165246000,179000000,193000000,171000000,209000000,222000000,307000000
11,COGS and Expenses,1700000,14700000,58500000,94800000,113200000,84700000,62400000,363900000,390700000,437200000,532900000,510249000,497000000,634000000,624000000,701000000,- -,- -
12,Interest Income ,- -,- -,100750189,165379191,210096000,225331000,393629000,473253000,571472000,647933000,741438000,817352000,806000000,951000000,1041000000,1180000000,1159000000,1247000000
13,Interest Expense (Gain),500000,14700000,13100000,-4100000,-266400000,42700000,276200000,56400000,162000000,58100000,153219000,-118679000,-20000000,160000000,164000000,-18000000,317000000,372000000
14,Depreciation and Amortization,- -,- -,258563,410328,503000,672000,923000,876000,829000,802000,805000,734000,1000000,1000000,- -,- -,- -,- -
15,EBITDA,3700000,56600000,87958563,86310328,-405197000,246672000,974323000,384276000,682229000,561502000,763302000,278477000,476000000,847000000,1041000000,791000000,820000000,1968000000
16,EBITDA ratio,0.8409,1.3541,0.7330,0.4569,-1.6848,1.0056,2.0156,0.6056,0.9121,0.6368,0.7718,0.2716,0.4704,0.7302,0.7786,0.5177,1.1310,1.0342
17,Operating Income,2715095,27123800,61562893,- -,127240000,133982000,221208000,289877000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.6171,0.6489,0.5130,- -,0.5291,0.5462,0.4576,0.4569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),484905,14776200,13037107,-4100000,-266440000,69318000,475992000,37023000,162000000,58100000,153219000,-118679000,-20000000,160000000,164000000,-18000000,- -,826000000
20,Income Before Tax,3200000,41900000,74600000,90000000,-139200000,203300000,697200000,326900000,519400000,502600000,609278000,396422000,495000000,686000000,877000000,809000000,503000000,1596000000
21,Income Before Tax Ratio,0.7273,1.0024,0.6217,0.4764,-0.5788,0.8288,1.4423,0.5152,0.6944,0.5700,0.6161,0.3866,0.4891,0.5914,0.6559,0.5295,0.6938,0.8387
22,Income Tax expense (Gain),- -,- -,4900000,-800000,200000,600000,5400000,7500000,11200000,14100000,18329000,17752000,21000000,19000000,19000000,16000000,19000000,29000000
23,Net Income,3200000,41900000,69700000,90800000,-139500000,202700000,691800000,319500000,508200000,488500000,590949000,378670000,474000000,667000000,858000000,793000000,484000000,1567000000
24,Net Income ratio,0.7273,1.0024,0.5808,0.4807,-0.5800,0.8263,1.4311,0.5035,0.6794,0.5540,0.5975,0.3693,0.4684,0.5750,0.6417,0.5190,0.6676,0.8234
25,EPS,0.29,1.78,1.61,1.37,-1.56,-2.91,3.91,1.56,2.21,1.83,1.94,1.20,1.51,1.57,2.01,1.86,1.14,3.70
