,https://roic.ai/company/VBIV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,72469,70447,66270,68845,1,508,494,79,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955000,548000,865000,3355000,2221000,1061000,631000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12636,8674,- -,- -,- -,10817491,4637431,- -,3755000,3671000,5193000,4509000,7904000,9168000,10770000
3,Gross Profit,- -,72469,- -,66270,68845,1,508,- -,79,- -,- -,-12636,-8674,- -,- -,- -,-10817491,-4637431,- -,-2800000,-3123000,-4328000,-1154000,-5683000,-8107000,-10139000
4,Gross Profit Ratio,- -,1.0000,- -,1.0000,1.0000,1.0000,1.0000,- -,1.0000,- -,- -,-Infinity,-Infinity,- -,- -,- -,-Infinity,-Infinity,- -,-2.9319,-5.6989,-5.0035,-0.3440,-2.5588,-7.6409,-16.0681
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618000,9966000,20918000,38467000,26332000,14859000,19558000
6,General and Administrative Exp.,- -,144938,140895,132540,68845,85650,70953,- -,- -,- -,- -,- -,- -,258201,604354,17440984,2782694,2412493,1418075,6683000,11761000,12034000,20787000,14092000,20651000,38335000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127239,117842,250129,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,144938,140895,132540,68845,85650,70953,82005,132186,129726,389352,358836,567373,258201,731592,17558826,3032823,2412493,1418075,6683000,11761000,12034000,20787000,14092000,20651000,38335000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,-237890,4967095,3872158,862000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,144938,140895,132540,68845,85650,70953,82005,132186,129726,389352,358836,567373,258201,731592,17558826,2794933,7379588,5290233,8163000,21727000,32952000,59254000,40424000,35510000,57893000
11,COGS and Expenses,- -,144938,140895,132540,68845,85650,70953,82005,132186,129726,389352,371472,576047,258201,731592,17558826,13612424,7379588,5290233,11918000,25398000,38145000,63763000,48328000,44678000,68663000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7222,742,43210,612048,465405,551641,44000,- -,- -,622000,835000,613000,372000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1128000,324000,2882000,3254000,3031000,3321000,5104000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,601,709,1116,3097,674,698,904,645,971,5355,20135,34878,30464,1140000,606000,730000,542000,1204000,1652000,1835000
15,EBITDA,- -,-217407,-352237,-198810,-68845,-187674,-562752,-89199,-135954,-126629,-388678,-370774,-575143,-257556,-730621,-17553471,-13600185,-7344710,-5271423,-12616000,-24055000,-35814000,-59804000,-50578000,-41257000,-62814000
16,EBITDA ratio,- -,-3.0000,-5.0000,-3.0000,-1.0000,-295773.8912,-1106.6991,-180.5848,-1714.0961,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.2105,-43.8960,-41.4035,-17.8253,-22.7726,-38.8850,-99.5468
17,Operating Income,- -,-217407,-281789,-132540,- -,-190404,-563353,-88572,-137070,-135265,-350183,-368254,-576047,-258201,-731592,-17558826,-13767005,-7118810,-5290233,-8836000,-24850000,-37280000,-60408000,-52399000,-43617000,-68032000
18,Operating Income ratio,- -,-3.0000,-4.0000,-2.0000,- -,-300076.8896,-1107.8816,-179.3159,-1728.1635,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.2524,-45.3467,-43.0983,-18.0054,-23.5925,-41.1093,-107.8162
19,Total Other Income Expenses (Gains),- -,-72469,-211342,-66270,- -,-104754,-492909,-8396,-4963,- -,36034,3547,17651,-3795,14610,-1337219,612048,465405,695978,-6048000,-135000,-2146000,-3192000,-2414000,-2613000,-1721000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135265,- -,-364707,-558396,-261996,-716983,- -,-13154958,-6653405,-4594255,-14884000,-24985000,-39426000,-63600000,-54813000,-46230000,-69753000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-15.5853,-45.5931,-45.5792,-18.9568,-24.6794,-43.5721,-110.5436
