,https://roic.ai/company/SLCA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,191623000,244953000,295596000,441921000,545985000,876741000,642989000,559625000,1240851000,1577298000,1474477000,845885000,1103879000
2,COGS,136200000,157994000,181196000,256535000,348567000,566584000,495066000,477295000,867515000,1163129000,1133293000,575070000,794983000
3,Gross Profit,55423000,86959000,114400000,185386000,197418000,310157000,147923000,82330000,373336000,414169000,341184000,270815000,308896000
4,Gross Profit Ratio,0.2892,0.3550,0.3870,0.4195,0.3616,0.3538,0.2301,0.1471,0.3009,0.2626,0.2314,0.3202,0.2798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,41299000,49759000,88971000,62777000,67727000,107592000,146971000,150848000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,41299000,49759000,88971000,62777000,67727000,107592000,146971000,150848000,- -,119628000
9,Other Expenses,29809000,40968000,53597000,25099000,36418000,45019000,58474000,68134000,97233000,148832000,179444000,279739000,161131000
10,Operating Expenses,29809000,40968000,53597000,66398000,86177000,133990000,121251000,135861000,204825000,295803000,330292000,279739000,280759000
11,COGS and Expenses,166009000,198962000,234793000,322933000,434744000,700574000,616317000,613156000,1072340000,1458932000,1463585000,854809000,1075742000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),28228000,23034000,18407000,13795000,15341000,18202000,27283000,27972000,31342000,70564000,95472000,79885000,71157000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155568000,161131000
15,EBITDA,30508000,36755000,55822000,123600000,111358000,176925000,27400000,-49773000,167868000,-159376000,-332761000,61334000,195772000
16,EBITDA ratio,0.1592,0.1500,0.1888,0.2797,0.2040,0.2018,0.0426,-0.0889,0.1353,-0.1010,-0.2257,0.0725,0.1773
17,Operating Income,25614000,45991000,60803000,118988000,111241000,176167000,26672000,-53531000,168511000,-163533000,-352955000,-119612000,27935000
18,Operating Income ratio,0.1337,0.1878,0.2057,0.2693,0.2037,0.2009,0.0415,-0.0957,0.1358,-0.1037,-0.2394,-0.1414,0.0253
19,Total Other Income Expenses (Gains),-23334000,-32270000,-23388000,-9183000,-15224000,-17444000,-26555000,-24214000,-31985000,-66420000,-75953000,-55535000,-65011000
20,Income Before Tax,2280000,13721000,37415000,109805000,96017000,158723000,117000,-77745000,136526000,-229953000,-428908000,-175147000,-37076000
21,Income Before Tax Ratio,0.0119,0.0560,0.1266,0.2485,0.1759,0.1810,0.0002,-0.1389,0.1100,-0.1458,-0.2909,-0.2071,-0.0336
