,https://roic.ai/company/CCJ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,305800000,347700000,395300000,590900370,642900643,718899381,741600116,688939712,700838905,748333333,826945768,1048486921,1312654960,1831690354,2309740789,2859158572,2314985000,2123655000,2384404000,2321471000,2438723000,2397532000,2754378000,2431404000,2156852000,2091661000,1862925000,1800073000,1474984000
2,COGS,146700000,175000000,190200000,298200630,316100071,400600619,428900463,413879724,422066221,486155178,538822620,623124550,814031864,1127771435,1211663522,1517759835,1324278000,1127879000,1608284000,1598207000,1831994000,1759751000,2057333000,1967924000,1720578000,1795913000,1621300000,1693624000,1473050000
3,Gross Profit,159100000,172700000,205100000,292699740,326800572,318298762,312699653,275059988,278772684,262178155,288123148,425362371,498623096,703918919,1098077267,1341398737,990707000,995776000,776120000,723264000,606729000,637781000,697045000,463480000,436274000,295748000,241625000,106449000,1934000
4,Gross Profit Ratio,0.5203,0.4967,0.5188,0.4953,0.5083,0.4428,0.4217,0.3993,0.3978,0.3503,0.3484,0.4057,0.3799,0.3843,0.4754,0.4692,0.4280,0.4689,0.3255,0.3116,0.2488,0.2660,0.2531,0.1906,0.2023,0.1414,0.1297,0.0591,0.0013
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630000,4794000,100438000,9301000,7302000,5044000,6587000,4952000,5660000,1757000,6058000,3965000,7168000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181248000,184976000,176385000,186810000,206652000,163095000,141552000,124869000,145344000,127566000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181248000,184976000,176385000,186810000,206652000,163095000,141552000,124869000,145344000,127566000
9,Other Expenses,81900000,88100000,105700000,150800329,183799857,199500000,197500000,178492801,186330786,178237331,195141054,287676986,365419235,368539143,510066541,800029140,396547000,412212000,161839000,97169000,72833000,46565000,40259000,8504000,29976000,79899000,16418000,-2553000,-21600000
10,Operating Expenses,81900000,88100000,105700000,150800329,183799857,199500000,197500000,178492801,186330786,178237331,195141054,287676986,365419235,368539143,510066541,800029140,397177000,417006000,262277000,287718000,265111000,227994000,233656000,220108000,198731000,223208000,147345000,146756000,113134000
11,COGS and Expenses,228600000,263100000,295900000,449000959,499899928,600100619,626400463,592372525,608397007,664392509,733963674,910801536,1179451099,1496310578,1721730063,2317788975,1721455000,1544885000,1870561000,1885925000,2097105000,1987745000,2290989000,2188032000,1919309000,2019121000,1768645000,1840380000,1586184000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6614000,13910000,24547000,20745000,6967000,7402000,5417000,4379000,5265000,22071000,29760000,10835000,6804000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40743000,49882000,73668000,72358000,83213000,93187000,96514000,95046000,95231000,96720000,83925000,57743000,60711000
14,Depreciation and Amortization,58000000,57500000,67500000,95000685,122700500,126699690,136899595,117005099,129387138,112755744,124489244,180229182,197515990,199664492,225538782,293314716,240600000,251500000,274835000,293429000,282756000,338983000,312518000,371689000,330345000,327973000,275749000,208662000,190415000
15,EBITDA,133800000,141700000,173100000,237800466,269799857,219600619,214199942,73168866,236951608,217086874,324500837,532299016,445404117,506536579,671118283,718676542,1433662000,843382000,810662000,585547000,594706000,442136000,331688000,310769000,218115000,464710000,494751000,226902000,147348000
16,EBITDA ratio,0.4375,0.4075,0.4379,0.4024,0.4197,0.3055,0.2888,0.1062,0.3381,0.2901,0.3924,0.5077,0.3393,0.2765,0.2906,0.2514,0.6193,0.3971,0.3400,0.2522,0.2439,0.1844,0.1204,0.1278,0.1011,0.2222,0.2656,0.1261,0.0999
17,Operating Income,77200000,84600000,99400000,141899411,143000715,102798762,69699074,-51388722,92441897,83940825,92982095,260631150,39659263,335379776,475010428,524169500,2128049000,542798000,506241000,269206000,264693000,38332000,245575000,-141785000,-127734000,70237000,92411000,-78726000,-136212000
18,Operating Income ratio,0.2525,0.2433,0.2515,0.2401,0.2224,0.1430,0.0940,-0.0746,0.1319,0.1122,0.1124,0.2486,0.0302,0.1831,0.2057,0.1833,0.9192,0.2556,0.2123,0.1160,0.1085,0.0160,0.0892,-0.0583,-0.0592,0.0336,0.0496,-0.0437,-0.0923
19,Total Other Income Expenses (Gains),-1400000,-400000,6200000,900370,4098642,-9897833,7601273,7552489,15122573,20390305,103613293,118891288,234966856,10046599,-9078359,-39272705,-1361190000,-11150000,-55851000,-50999000,-36764000,-157430000,-324843000,-12449000,-79503000,-30308000,42607000,39195000,32357000
20,Income Before Tax,75800000,84200000,105600000,142799781,147099357,92900929,77300347,-43836233,107564470,104331130,196595388,379522438,274626119,345426375,465932069,484896795,766859000,531648000,450390000,218207000,227929000,-119098000,-79268000,-154234000,-207237000,39929000,135018000,-39531000,-103855000
21,Income Before Tax Ratio,0.2479,0.2422,0.2671,0.2417,0.2288,0.1292,0.1042,-0.0636,0.1535,0.1394,0.2377,0.3620,0.2092,0.1886,0.2017,0.1696,0.3313,0.2503,0.1889,0.0940,0.0935,-0.0497,-0.0288,-0.0634,-0.0961,0.0191,0.0725,-0.0220,-0.0704
22,Income Tax expense (Gain),2800000,3100000,3500000,5299438,65099357,47300310,-2699653,34500600,42343203,48871577,-15993817,73285337,30257007,-68843197,29467673,-24754735,52897000,27251000,11755000,-46376000,-89758000,-175268000,-142630000,-94355000,-2519000,-126306000,61077000,13666000,-1201000
23,Net Income,73000000,81100000,102100000,137500343,82000000,45600619,80000000,-78336833,65221267,55459553,216005410,278784497,217631120,375715284,416111828,450116561,1099422000,514749000,450404000,266136000,318495000,185234000,65286000,-61611000,-204942000,166323000,74000000,-53169000,-102577000
24,Net Income ratio,0.2387,0.2332,0.2583,0.2327,0.1275,0.0634,0.1079,-0.1137,0.0931,0.0741,0.2612,0.2659,0.1658,0.2051,0.1802,0.1574,0.4749,0.2424,0.1889,0.1146,0.1306,0.0773,0.0237,-0.0253,-0.0950,0.0795,0.0397,-0.0295,-0.0695
25,EPS,0.23,0.26,0.32,0.43,0.25,-0.08,-0.14,0.17,0.17,0.14,0.61,1.63,0.63,1.07,1.18,1.29,2.83,1.31,1.14,0.67,0.81,0.47,0.16,-0.16,-0.52,0.42,0.19,-0.13,-0.26
26,EPS Diluted,0.23,0.26,0.32,0.43,0.25,-0.08,-0.14,0.17,0.17,0.14,0.60,1.56,0.60,1.02,1.13,1.28,2.82,1.30,1.14,0.67,0.81,0.47,0.16,-0.16,-0.52,0.42,0.19,-0.13,-0.26
27,Weighted Average Shares Outstanding,313170313,312235312,314468314,317626110,326147482,343908082,388208938,329932462,332056699,333390217,340233528,342372372,345446222,351135779,352637142,350130000,387956000,393169000,394662000,395234000,395428000,395740000,395793000,395793000,395793000,395792732,395797000,395829000,397631000
28,Weighted Average Shares Outstanding Diluted,313170313,312235312,314468314,317626110,326147482,343908082,388208938,329932462,332056699,333390217,346886139,368192192,362718533,368348318,368240556,352112000,389933000,395019000,395479000,395839000,395554000,396055000,395793000,395793000,395793000,396050000,396055000,396043000,397631000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/999999999702011493/9999999997-02-011493-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009001/000113031904000174/0001130319-04-000174-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000113031905000179/0001130319-05-000179-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/000113031909000163/0001130319-09-000163-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000095012310030961/0000950123-10-030961-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009001/000119312512078090/0001193125-12-078090-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312513071572/0001193125-13-071572-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/000119312516521653/0001193125-16-521653-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312517093880/0001193125-17-093880-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312518099445/0001193125-18-099445-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312519092356/0001193125-19-092356-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312520088317/0001193125-20-088317-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20500000,14600000,14600521,109699786,36500000,45500579,33131374,33737663,58095688,84069303,189532037,623193395,334089003,131931671,269175571,1101229000,376621000,399279000,749824000,229135000,566583000,458604000,320278000,591620000,711528000,1062431000,918382000,1247447000
32,Short-Term Investments,- -,- -,31600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202836000,974479000,804141000,49535000,- -,- -,- -,- -,- -,391025000,- -,24985000,84906000
33,Cash and Short-Term Investments,- -,20500000,46200000,14600521,109699786,36500000,45500579,33131374,33737663,58095688,84069303,189532037,623193395,334089003,131931671,269175571,1304065000,1351100000,1203420000,799359000,229135000,566583000,458604000,320278000,591620000,1102553000,1062431000,943367000,1332353000
34,Net Receivables,84700000,41100000,60400000,88399342,111599714,124199690,138699363,144853029,255963069,186369216,181337112,182950564,348801023,412025862,511261297,618176299,608347000,489594000,674614000,615563000,437748000,468439000,259551000,264532000,444321000,423172000,338275000,231880000,304337000
35,Inventory,148000000,151700000,220200000,227600384,298700500,344500000,356799769,347141572,354383954,339683664,316434368,386935445,399675544,608309646,437487337,470649587,453224000,542526000,493875000,752999000,1090947000,1032684000,1465810000,1457023000,1099638000,557001000,406272000,769797000,504862000
36,Other Current Assets,14500000,16600000,19000000,24499109,37799857,51400929,47699652,45991302,74877428,65893925,96436945,91821455,152788696,- -,210463801,301936620,162105000,190079000,213425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,247200000,229900000,345800000,355099356,557799857,556600619,588699363,571117277,718962114,650042493,678277728,851239501,1524458658,1354424511,1291144106,1659938077,2527741000,2573299000,2585334000,2167921000,1757830000,2067706000,2183965000,2041833000,2135579000,2082726000,1806978000,1945044000,2141552000
38,PP&E,995100000,997600000,1115800000,1202599699,1342700500,1989000000,2135800058,2044820036,1994423750,2037612528,2072156383,2281418287,2871337365,3312151678,3437449598,4416293103,3363838000,4337809000,4532107000,5249099000,5040993000,5291021000,5228160000,4655586000,4191892000,3881926000,3720672000,3771557000,3576599000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180231422,180138630,146772271,181901408,- -,- -,- -,- -,93998000,102526000,122314000,118664000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187183825,- -,- -,108711888,101442448,97713000,94270000,98954000,94327000,100033000,98576000,94816000,84646000,70012000,65602000,60410000,55822000,51247000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187183825,180231422,180138630,255484159,283343856,97713000,94270000,98954000,94327000,194031000,201102000,217130000,203310000,70012000,65602000,60410000,55822000,51247000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220226000,212522000,492712000,3230000,2472000,- -,- -,230502000,252681000,219688000,233240000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37166000,81392000,193113000,266203000,486328000,713674000,835985000,861171000,1006012000,956376000,936678000,937579000
44,Other Non-Current Assets,110200000,199300000,205800000,220900369,370200143,393000000,239600694,186043791,233960523,257524394,608977199,732261819,196747296,293713886,387304598,651025984,1352810000,628824000,283818000,298038000,287548000,423280000,449236000,512484000,520073000,751868000,630131000,652042000,577527000
45,Total Non-Current Assets,1105300000,1196900000,1321600000,1423500068,1712900643,2382000000,2375400752,2230863827,2228384273,2295136922,2681133582,3200863931,3248316083,3786004194,4080238355,5350662943,4814361000,5098069000,5216497000,6047099000,6281487000,6404961000,6610672000,6207365000,5643148000,5935910000,5620270000,5635787000,5376192000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1352500000,1426800000,1667400000,1778599424,2270700500,2938600619,2964100115,2801981104,2947346387,2945179415,3359411310,4052103432,4772774741,5140428705,5371382461,7010601020,7342102000,7671368000,7801831000,8215020000,8039317000,8472667000,8794637000,8249198000,7778727000,8018636000,7427248000,7580831000,7517744000
48,Accounts Payable,35500000,47500000,68200000,62699740,93799857,116300310,105899884,101874625,108096148,131932641,156112328,231696664,350398884,402806384,541283146,580903351,534664000,399035000,457307000,320991000,346390000,183120000,199084000,213481000,177040000,124390000,100407000,137190000,213377000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6317280,4330800,- -,156698453,7899581,8816168,99991501,88391000,86125000,106555000,122927000,91456000,- -,- -,- -,- -,499599000,- -,26119000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35042000,- -,36600000,54708000,51719000,56494000,36413000,20133000,19633000,6290000,1480000,4129000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,856244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13400000,16300000,29200000,21300534,191399571,82899380,75500579,56999100,58640560,33127164,37397913,64622031,101950227,90405405,134364883,208022098,140002000,119549000,144157000,263894000,266705000,332694000,472553000,255774000,233954000,251886000,177003000,140474000,200366000
53,Total Current Liabilities,48900000,63800000,97400000,84000274,285199428,199199690,181400463,158873725,166736708,171377085,197841041,296318695,609047564,501967614,684464197,888916950,763057000,604709000,708019000,707812000,704551000,515814000,671637000,469255000,410994000,875875000,277410000,303783000,413743000
54,Long-Term Debt,74900000,61600000,196400000,200000000,129099357,540100619,329000289,269677564,327773002,218289267,238706686,518603312,702109548,696691519,717129804,1212982030,952853000,940317000,932253000,1407116000,1293383000,1491198000,1492237000,1493327000,1494471000,996072000,996718000,995541000,996250000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,57099357,170899381,412400174,445323935,480520535,522979226,501674610,533023758,444942435,339451305,246936141,81352598,134356000,208044000,8165000,5773000,41909000,23882000,35179000,15937000,12467000,- -,- -,- -,- -
57,Other Non-Current Liabilities,58200000,81000000,71900000,74899274,107102215,125100619,119000289,147576485,149369628,164559332,186640474,198027358,292347947,460865564,543184030,533222438,483968000,523832000,1047889000,1150052000,650080000,997969000,1050305000,1012151000,1001136000,1153097000,1158157000,1322946000,1261783000
58,Total Non-Current Liabilities,133100000,142600000,268300000,274899274,293300929,836100619,860400752,862577984,957663165,905827825,927021770,1249654428,1439399930,1497008388,1507249975,1827557066,1571177000,1672193000,1988307000,2562941000,1985372000,2513049000,2577721000,2521415000,2508074000,2149169000,2154875000,2318487000,2258033000
59,Other Liabilities,- -,- -,- -,- -,- -,1672201239,- -,1725155969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,6317280,- -,- -,156698453,197500000,- -,- -,- -,- -,145834000,131013000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,182000000,206400000,365700000,358899548,578500357,1035300310,1041801215,1021451710,1124399873,1077204910,1124862811,1545973122,2048447494,1998976002,2191714172,2716474016,2334234000,2276902000,2696326000,3270753000,2689923000,3028863000,3249358000,2990670000,2919068000,3025044000,2432285000,2622270000,2671776000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,193762984,158021383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1535857000,- -,1851507000,1854671000,1862646000,1862646000,1862646000,1862652000,1862652000,1862749000,1869710000,1903357000
64,Retained Earnings,198200000,253300000,329100000,440200082,494600429,509300310,552200521,437327534,465420248,483657539,665376787,938808495,1114693569,1428205965,1779628563,2153314716,3158506000,3563089000,2874973000,2915437000,3314049000,3333099000,3241902000,3019872000,2650417000,2791321000,2825596000,2735830000,2639650000
65,Other Comprehensive Income/Loss,-503000000,-584000000,-642000000,-710600247,-857399571,-960199690,-1008200231,-991361728,-1105631964,491540762,688114131,471151908,-53396907,-39765843,25433509,167036183,41284000,-24995000,-2525174000,-2966035000,-2837996000,-3284723000,-3943188000,-4520595000,-4948683000,-5127535000,-5300923000,-5502335000,- -
66,Other Total Stockholders Equity,1475300000,1551100000,1614600000,1690100042,2054999285,2354199690,2378298610,2334563588,2463158230,- -,- -,- -,- -,- -,- -,- -,- -,142376000,- -,3142778000,3017541000,3532622000,4385660000,4896448000,5294902000,5466844000,5607303000,5855150000,302834000
67,Total Stockholders Equity,1170500000,1220400000,1301700000,1419699877,1692200143,1903300310,1922298900,1780529394,1822946514,1849896128,2219858302,2160519558,2363630655,2741381640,2743861357,3514923507,4843828000,5216327000,4919567000,4943687000,5348265000,5443644000,5547020000,5258371000,4859288000,4993282000,4994725000,4958355000,4845841000
68,Total Liabilities And Stockholders Equity,1352500000,1426800000,1667400000,1778599425,2270700500,2938600620,2964100115,2801981104,2947346387,2927101038,3344721113,3706492680,4412078149,4740357642,4935575529,6231397523,7178062000,7493229000,7615893000,8214440000,8038188000,8472507000,8796378000,8249041000,7778356000,8018326000,7427010000,7580625000,7517617000
69,Minority Interest,- -,- -,- -,-1,- -,-1,- -,- -,- -,18078377,14690197,345610752,360696592,400071063,435806932,779203497,164040000,178139000,185938000,580000,1129000,160000,-1741000,157000,371000,310000,238000,206000,127000
70,Total Liabilities & Equity,1352500000,1426800000,1667400000,1778599424,2270700500,2938600619,2964100115,2801981104,2947346387,2945179415,3359411310,4052103432,4772774741,5140428705,5371382461,7010601020,7342102000,7671368000,7801831000,8215020000,8039317000,8472667000,8794637000,8249198000,7778727000,8018636000,7427248000,7580831000,7517744000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/999999999702011493/9999999997-02-011493-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009001/000113031904000174/0001130319-04-000174-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000113031905000179/0001130319-05-000179-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/000113031909000163/0001130319-09-000163-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000095012310030961/0000950123-10-030961-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009001/000119312512078090/0001193125-12-078090-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312513071572/0001193125-13-071572-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1009001/000119312516521653/0001193125-16-521653-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312517093880/0001193125-17-093880-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312518099445/0001193125-18-099445-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312519092356/0001193125-19-092356-index.html,https://www.sec.gov/Archives/edgar/data/1009001/000119312520088317/0001193125-20-088317-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,73000000,81100000,102100000,137500343,82000000,45600619,80000000,-78336833,65221267,55459553,216005410,278784497,217631120,375715284,416111828,450116561,1099422000,514749000,450404000,266136000,318495000,185234000,65286000,-61611000,-204942000,166323000,74000000,-53169000,-102577000
74,Depreciation and Amortization,58000000,57500000,67500000,95000685,122700500,126699690,136899595,117005099,129387138,112755744,124489244,180229182,197515990,199664492,225538782,293314716,240600000,251500000,274835000,293429000,282756000,338983000,312518000,371689000,330345000,327973000,275749000,208662000,190415000
75,Deferred Income Tax,- -,- -,- -,- -,58800572,38100619,-11999421,- -,32757084,38602455,-26212804,50233981,-51723456,-184638863,-134128513,-142196455,- -,- -,- -,-46376000,-89758000,-175268000,-142630000,-94355000,-2519000,-126306000,61077000,13666000,-1201000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2772000,16086000,19492000,17550000,19008000,15808000,16853000,14101000,13960000,14976000,14342000,6564000,4536000
77,Change in Working Capital,- -,- -,-33700000,-57200219,-114101501,42597523,21299190,33113377,-70259472,55997797,32122891,-43975282,-77532271,35375116,117970007,-136679213,-84333000,-239442000,-117867000,-18320000,-162986000,-96756000,-81128000,-79426000,76114000,209719000,113238000,-200676000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34556000,-1566000,-158779000,66252000,26972000,-18063000,216266000,1529000,-174613000,-44353000,58488000,143717000,- -
79,Inventory,- -,- -,-26100000,-1100452,-114500357,51399381,47899306,19709058,7468959,10931697,- -,-51912647,-21079195,-102016542,-61809514,10717581,-74938000,-74899000,29105000,-64403000,-167959000,63212000,-285169000,-62966000,315416000,293688000,117000000,-380907000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
