,https://roic.ai/company/COUP,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,50845000,83678000,133775000,186780000,260366000,389719000,541643000,725289000
2,COGS,18724000,31911000,46269000,59906000,83454000,139216000,221701000,313236000
3,Gross Profit,32121000,51767000,87506000,126874000,176912000,250503000,319942000,412053000
4,Gross Profit Ratio,0.6317,0.6186,0.6541,0.6793,0.6795,0.6428,0.5907,0.5681
5,Research and Development Exp.,11887000,22767000,30262000,44536000,61608000,93089000,133842000,166486000
6,General and Administrative Exp.,13146000,19540000,24106000,38578000,57005000,75623000,116341000,161865000
7,Selling and Marketing Exp.,33724000,54713000,68562000,88722000,105659000,155216000,236312000,327786000
8,"Selling, General and Administrative Exp.",46870000,74253000,92668000,127300000,162664000,230839000,352653000,489651000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,58757000,97020000,122930000,171836000,224272000,323928000,486495000,656137000
11,COGS and Expenses,77481000,128931000,169199000,231742000,307726000,463144000,708196000,969373000
12,Interest Income ,- -,- -,- -,- -,3817000,9316000,13321000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,12518000,37658000,91271000,-122741000
14,Depreciation and Amortization,1377000,2758000,4575000,7562000,10442000,28553000,72105000,146392000
15,EBITDA,-25822000,-43063000,-32184000,-34595000,-33101000,-35556000,-81127000,-348057000
16,EBITDA ratio,-0.5079,-0.5146,-0.2406,-0.1852,-0.1271,-0.0912,-0.1498,-0.4799
17,Operating Income,-26636000,-45253000,-35424000,-44962000,-47360000,-73425000,-166553000,-244084000
18,Operating Income ratio,-0.5239,-0.5408,-0.2648,-0.2407,-0.1819,-0.1884,-0.3075,-0.3365
19,Total Other Income Expenses (Gains),-563000,-568000,-1335000,2805000,-8701000,-28342000,-77950000,-127624000
20,Income Before Tax,-27199000,-45821000,-36759000,-42157000,-56061000,-101767000,-244503000,-371708000
21,Income Before Tax Ratio,-0.5349,-0.5476,-0.2748,-0.2257,-0.2153,-0.2611,-0.4514,-0.5125
22,Income Tax expense (Gain),101000,335000,848000,1648000,-537000,-10935000,-64386000,-2602000
23,Net Income,-27300000,-46156000,-37607000,-43805000,-55524000,-90832000,-180117000,-369106000
24,Net Income ratio,-0.5369,-0.5516,-0.2811,-0.2345,-0.2133,-0.2331,-0.3325,-0.5089
25,EPS,-0.57,-0.96,-1.88,-0.83,-0.96,-1.45,-2.63,-5.13
26,EPS Diluted,-0.57,-0.96,-1.88,-0.83,-0.96,-1.45,-2.63,-5.13
27,Weighted Average Shares Outstanding,48110957,48110957,19988000,52999000,57716000,62484000,68559000,73816000
28,Weighted Average Shares Outstanding Diluted,48110957,48110957,19988000,52999000,57716000,62484000,68559000,73816000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1385867/000156459017005877/0001564590-17-005877-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459018006986/0001564590-18-006986-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459019009608/0001564590-19-009608-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459020011878/0001564590-20-011878-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000138586721000011/0001385867-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1385867/000138586722000010/0001385867-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,41974000,92348000,201721000,412903000,141250000,268045000,323284000,506459000
32,Short-Term Investments,- -,- -,- -,- -,180169000,499160000,283036000,- -
33,Cash and Short-Term Investments,41974000,92348000,201721000,412903000,321419000,767205000,606320000,506459000
34,Net Receivables,19612000,27979000,47614000,61366000,95274000,118508000,196009000,226191000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3465000,7686000,12241000,14708000,17667000,43618000,51922000,282398000
37,Total Current Assets,65051000,128013000,261576000,488977000,434360000,929331000,854251000,1015048000
38,PP&E,2064000,3775000,4642000,5186000,10549000,50828000,69571000,73235000
39,Goodwill,174000,1605000,6306000,44410000,209560000,442112000,1480847000,1514550000
40,Intangible Assets,63000,1369000,5848000,20020000,55925000,128660000,632173000,510663000
41,Intangible Assets,237000,2974000,12154000,64430000,265485000,570772000,2113020000,2025213000
42,Investments,- -,- -,- -,- -,- -,- -,- -,223032000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2254000,5164000,5492000,13857000,29670000,43142000,68323000,-143349000
45,Total Non-Current Assets,4555000,11913000,22288000,83473000,305704000,664742000,2250914000,2178131000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,69606000,139926000,283864000,572450000,740064000,1594073000,3105165000,3193179000
48,Accounts Payable,770000,1096000,1175000,1342000,5485000,3517000,4831000,4610000
49,Short-Term Debt,- -,- -,- -,- -,174615000,195314000,620290000,12760000
50,Tax Payable,- -,- -,- -,- -,2231000,1535000,2396000,- -
51,Deferred Revenue,39300000,63870000,89872000,125714000,179967000,257692000,356115000,468783000
52,Other Current Liabilities,11703000,14446000,17490000,26643000,41792000,54245000,80271000,80799000
53,Total Current Liabilities,51773000,79412000,108537000,153699000,401859000,510768000,1061507000,566952000
54,Long-Term Debt,- -,- -,- -,163010000,- -,562612000,929370000,32811000
55,Deferred Revenue,1439000,1056000,968000,2316000,2620000,4091000,5773000,22655000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,88963000,165697000,467000,12880000,22304000,54110000,67915000,1665099000
58,Total Non-Current Liabilities,90402000,166753000,1435000,178206000,24924000,620813000,1003058000,1720565000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,33689000,43067000,- -
61,Total Liabilities,142175000,246165000,109972000,331905000,426783000,1131581000,2064565000,2287517000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,5000,6000,6000,7000,7000,7000
64,Retained Earnings,-76713000,-122869000,-160476000,-204481000,-254857000,-345689000,-525806000,-894912000
65,Other Comprehensive Income/Loss,-3347000,-5824000,-9607000,-298000,335000,871000,9165000,9643000
66,Other Total Stockholders Equity,7490000,22453000,343970000,445318000,567797000,807303000,1557234000,1778840000
67,Total Stockholders Equity,-72569000,-106239000,173892000,240545000,313281000,462492000,1040600000,893578000
68,Total Liabilities And Stockholders Equity,69606000,139926000,283864000,572450000,740064000,1594073000,3105165000,3181095000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,12084000
70,Total Liabilities & Equity,69606000,139926000,283864000,572450000,740064000,1594073000,3105165000,3193179000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1385867/000156459017005877/0001564590-17-005877-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459018006986/0001564590-18-006986-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459019009608/0001564590-19-009608-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459020011878/0001564590-20-011878-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000138586721000011/0001385867-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1385867/000138586722000010/0001385867-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-27300000,-46156000,-37607000,-43805000,-55524000,-90832000,-180117000,-369106000
74,Depreciation and Amortization,1377000,2758000,4575000,7562000,10442000,28553000,72105000,146392000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1807000,10568000,9452000,29694000,52945000,81376000,149423000,- -
77,Change in Working Capital,10753000,35323000,104438000,182239000,-302777000,386062000,-625819000,655352000
78,Accounts Receivable,-8659000,-8314000,-20041000,-10710000,-28493000,-11154000,-36757000,-25752000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,368000,-121000,224000,-4005000,3182000,-3720000,-851000,-326000
81,Other Working Capital,13278000,48601000,153039000,335278000,32501000,418563000,-207256000,448096000
82,Other Non-Cash Items,1434000,-24562000,-101813000,-155920000,332350000,-337003000,662610000,-264548000
83,Cash Provided by Operating Activities,-11929000,-22069000,-20955000,19770000,37436000,68156000,78202000,168090000
84,CAPEX,-2370000,-3868000,-4491000,-4488000,-7528000,-11970000,-11492000,-13853000
85,Acquisitions Net,- -,-1426000,-6750000,-46075000,-143885000,-308406000,-863597000,-47312000
86,Purchases of Investments,- -,- -,- -,- -,-302922000,-583151000,-1017751000,-186716000
87,Sales/Maturities of Investments,- -,- -,- -,- -,124139000,265677000,1231718000,235216000
88,Other Investing Activites,- -,- -,- -,34000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2370000,-5294000,-11241000,-50529000,-330196000,-637850000,-661122000,-12665000
90,Debt Repayment,- -,- -,- -,- -,-639000,- -,-555352000,-1338000
91,Common Stock Issued,- -,- -,137216000,22264000,- -,- -,- -,9446000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40438000,77737000,4353000,219677000,21742000,696655000,1197143000,19436000
95,Cash Used/Provided by Financing Activities,40438000,77737000,141569000,241941000,21103000,696655000,641791000,27544000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,438000,-219000
97,Net Change In Cash,26139000,50374000,109373000,211182000,-271657000,126961000,59309000,182750000
98,Cash at the End of Period,41974000,92348000,201721000,412903000,141319000,268280000,327589000,510339000
99,Cash at the Beginning of Period,15835000,41974000,92348000,201721000,412976000,141319000,268280000,327589000
100,Free Cash Flow,-14299000,-25937000,-25446000,15282000,29908000,56186000,66710000,154237000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1385867/000156459017005877/0001564590-17-005877-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459018006986/0001564590-18-006986-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459019009608/0001564590-19-009608-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000156459020011878/0001564590-20-011878-index.html,https://www.sec.gov/Archives/edgar/data/1385867/000138586721000011/0001385867-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1385867/000138586722000010/0001385867-22-000010-index.htm
102,false,,,,,,,,
