,https://roic.ai/company/ISSC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,22487882,33273890,34384562,28345620,28168752,46099777,63264359,16721967,18348128,30533311,36734150,25257323,25737652,24578198,31567307,44095023,20067084,27969703,16786674,13850372,17572589,21595199,23044796
2,COGS,10570009,14819043,14477868,11290085,11346057,15663108,20888729,8631761,14154425,20551857,17895984,11520029,11945184,14067933,18942737,30508823,13135349,11482323,8668349,7311923,7676119,9793224,10263166
3,Gross Profit,11917873,18454847,19906694,17055535,16822695,30436669,42375630,8090206,4193703,9981454,18838166,13737294,13792468,10510265,12624570,13586200,6931735,16487380,8118325,6538449,9896470,11801975,12781630
4,Gross Profit Ratio,0.5300,0.5546,0.5789,0.6017,0.5972,0.6602,0.6698,0.4838,0.2286,0.3269,0.5128,0.5439,0.5359,0.4276,0.3999,0.3081,0.3454,0.5895,0.4836,0.4721,0.5632,0.5465,0.5546
5,Research and Development Exp.,1915634,3274708,4371570,4755422,3376849,4811156,6057889,6749426,5180360,10304279,5313007,5234240,5500924,2693554,2578034,2618054,2705208,4873328,4456657,3575801,2489806,2955976,2622919
6,General and Administrative Exp.,- -,4951732,5777929,5732886,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3333977,4951732,5777929,5732886,5890362,7567959,8898622,9863758,15840255,22306016,8647506,8099587,7683637,7400199,8119071,11111014,7847270,9170865,3739234,6674187,5877920,6100545,6257732
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5249611,8226440,10149499,10488308,9267211,12379115,14956511,16613184,21020615,35085295,13960513,13333827,13184561,10093753,10697105,13729068,10552478,14044193,8195891,10249988,8367726,9056521,8880651
11,COGS and Expenses,15819620,23045483,24627367,21778393,20613268,28042223,35845240,25244945,35175040,55637152,31856497,24853856,25129745,24161686,29639842,44237891,23687827,25526516,16864240,17561911,16043845,18849745,19143817
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398041,188171,143942,101012,41174,21756,24804,33504,35888,53561,249620,154950,1234
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82276,2356,1509,598,- -,- -,- -,- -,- -,- -,- -,154950,1234
14,Depreciation and Amortization,264785,391257,554943,860943,714210,729993,797990,858641,946215,1048267,1085316,826748,672196,529325,545620,576478,570314,493361,449189,436208,451278,433510,432176
15,EBITDA,6963184,11184219,12508539,8151020,8720115,19192274,29981355,-4572351,-12994095,-5339842,6411109,1468386,1574055,1111854,2552379,493124,-2992342,3048492,5265736,-3154046,2303379,3549361,4410529
16,EBITDA ratio,0.3096,0.3361,0.3638,0.2876,0.3096,0.4163,0.4739,-0.2734,-0.7082,-0.1749,0.1745,0.0581,0.0612,0.0452,0.0809,0.0112,-0.1491,0.1090,0.3137,-0.2277,0.1311,0.1644,0.1914
17,Operating Income,6668262,10228407,9757195,6567227,7555484,18057554,27419119,-8522978,-16826912,-25103841,4877653,403467,607907,416512,1927465,-142868,-3620743,2443187,-77565,-3711539,1528744,2745454,3900979
18,Operating Income ratio,0.2965,0.3074,0.2838,0.2317,0.2682,0.3917,0.4334,-0.5097,-0.9171,-0.8222,0.1328,0.0160,0.0236,0.0169,0.0611,-0.0032,-0.1804,0.0874,-0.0046,-0.2680,0.0870,0.1271,0.1693
19,Total Other Income Expenses (Gains),30137,564555,2196401,722850,450421,404727,1764246,3091988,2886602,18715732,365864,235815,292443,165419,79294,59514,58087,111944,4894112,121285,323357,215447,76140
20,Income Before Tax,6698399,10792962,11953596,7290077,8005905,18462281,29183365,-5430990,-13940310,-6388109,5243517,639282,900350,581931,2006759,-83354,-3562656,2555131,4816547,-3590254,1852101,2960901,3977119
21,Income Before Tax Ratio,0.2979,0.3244,0.3476,0.2572,0.2842,0.4005,0.4613,-0.3248,-0.7598,-0.2092,0.1427,0.0253,0.0350,0.0237,0.0636,-0.0019,-0.1775,0.0914,0.2869,-0.2592,0.1054,0.1371,0.1726
22,Income Tax expense (Gain),2517764,4043405,4422831,1879799,2464715,6530084,10598563,-2548600,-5095022,1509139,234856,-109094,183760,-2397063,119842,-283622,2303478,568330,247920,63651,1805,-308882,-1087783
23,Net Income,4180635,6749557,7530765,5410278,5541190,11932197,18584802,-2882392,-8845288,-7897248,5008661,748376,716590,2978994,1886917,200268,-5866134,1986801,4568627,-3653905,1850296,3269783,5064902
24,Net Income ratio,0.1859,0.2028,0.2190,0.1909,0.1967,0.2588,0.2938,-0.1724,-0.4821,-0.2586,0.1363,0.0296,0.0278,0.1212,0.0598,0.0045,-0.2923,0.0710,0.2722,-0.2638,0.1053,0.1514,0.2198
25,EPS,0.28,0.57,0.39,0.28,0.30,0.69,1.04,-0.17,-0.52,-0.47,0.30,0.04,0.04,0.18,0.11,0.01,-0.28,0.12,0.27,-0.22,0.11,0.19,0.29
26,EPS Diluted,0.20,0.44,0.38,0.27,0.29,0.67,1.02,-0.17,-0.52,-0.47,0.30,0.04,0.04,0.18,0.11,0.01,-0.28,0.12,0.27,-0.22,0.11,0.19,0.29
27,Weighted Average Shares Outstanding,15173109,11840445,19097092,19246341,18391626,17400379,17873780,17388524,16865028,16887049,16745379,16751528,16782223,16641895,16753068,16927879,16924189,16927055,16742461,16805991,16867550,16939302,17225423
28,Weighted Average Shares Outstanding Diluted,20699424,15347896,19926726,19604080,18743661,17928180,18259856,17388524,16865028,16887049,16760500,16777886,16824621,16641900,16855854,17149106,16924189,17039296,16855644,16805991,16942447,17114191,17226620
