,https://roic.ai/company/DXC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,838600000,1031500000,1152400000,1304400000,1500400000,1737800000,2113400000,2479800000,2582700000,3372500000,4242400000,5616000000,6600800000,7660000000,9370694000,10687000000,11426000000,11346500000,14767600000,14058600000,14615600000,14856600000,16499500000,16739900000,16128000000,16042000000,15877000000,14993000000,12998000000,12173000000,7106000000,7607000000,24556000000,20753000000,19577000000,17729000000
2,COGS,756100000,925600000,1026400000,1166100000,1349500000,1567600000,1718400000,1977700000,2065000000,2685600000,3349700000,4413200000,5149200000,5973800000,7352544000,8425100000,9222800000,9068200000,12006800000,11315100000,11719800000,11817800000,13151900000,13260700000,12797000000,12925000000,14914000000,11851000000,9567000000,9534000000,5185000000,5545000000,17944000000,14946000000,14901000000,14086000000
3,Gross Profit,82500000,105900000,126000000,138300000,150900000,170200000,395000000,502100000,517700000,686900000,892700000,1202800000,1451600000,1686200000,2018150000,2261900000,2203200000,2278300000,2760800000,2743500000,2895800000,3038800000,3347600000,3479200000,3331000000,3117000000,963000000,3142000000,3431000000,2639000000,1921000000,2062000000,6612000000,5807000000,4676000000,3643000000
4,Gross Profit Ratio,0.0984,0.1027,0.1093,0.1060,0.1006,0.0979,0.1869,0.2025,0.2004,0.2037,0.2104,0.2142,0.2199,0.2201,0.2154,0.2116,0.1928,0.2008,0.1869,0.1951,0.1981,0.2045,0.2029,0.2078,0.2065,0.1943,0.0607,0.2096,0.2640,0.2168,0.2703,0.2711,0.2693,0.2798,0.2389,0.2055
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2010000000,1959000000,2050000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11800000,13800000,16300000,19400000,20900000,23400000,185100000,239000000,227000000,311200000,378900000,485100000,602700000,695800000,779367000,796600000,706300000,716900000,850300000,807800000,842200000,916400000,975400000,1082800000,991000000,965000000,1141000000,1195000000,1278000000,1537000000,1040000000,1279000000,2010000000,1959000000,2050000000,2066000000
9,Other Expenses,22300000,28400000,32000000,31100000,34000000,40200000,81700000,118700000,130700000,172600000,252100000,333200000,386900000,445000000,545723000,649300000,857600000,810300000,980300000,1051000000,1091800000,1073600000,1150200000,1208900000,1077000000,1053000000,1146000000,1076000000,1018000000,977000000,658000000,647000000,1964000000,1968000000,1942000000,1970000000
10,Operating Expenses,34100000,42200000,48300000,50500000,54900000,63600000,266800000,357700000,357700000,483800000,631000000,818300000,989600000,1140800000,1325090000,1445900000,1563900000,1527200000,1830600000,1858800000,1934000000,1990000000,2125600000,2291700000,2068000000,2018000000,2287000000,2271000000,2296000000,2514000000,1698000000,1926000000,3974000000,3927000000,3992000000,4036000000
11,COGS and Expenses,790200000,967800000,1074700000,1216600000,1404400000,1631200000,1985200000,2335400000,2422700000,3169400000,3980700000,5231500000,6138800000,7114600000,8677634000,9871000000,10786700000,10595400000,13837400000,13173900000,13653800000,13807800000,15277500000,15552400000,14865000000,14943000000,17201000000,14122000000,11863000000,12048000000,6883000000,7471000000,21918000000,18873000000,18893000000,18122000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,8500000,9200000,16100000,40800000,49500000,37100000,41000000,27000000,37000000,38000000,22000000,16000000,20000000,38000000,35000000,89000000,128000000,165000000,98000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,142800000,169800000,156800000,104200000,175200000,185400000,260500000,252000000,168000000,176000000,183000000,147000000,148000000,123000000,117000000,335000000,334000000,383000000,361000000
14,Depreciation and Amortization,22300000,28400000,32000000,31100000,34000000,40200000,81700000,118700000,130700000,172600000,252100000,333200000,386900000,445000000,545723000,649300000,857600000,857500000,1038100000,1145500000,1187500000,1162000000,1286400000,1270000000,1156000000,1140000000,1212000000,1134000000,1018000000,977000000,767000000,658000000,2014000000,2023000000,1960000000,1988000000
15,EBITDA,65000000,86500000,103300000,115600000,137200000,142800000,190900000,246900000,284700000,346300000,483500000,636500000,577800000,956400000,1157195000,979600000,1509200000,1611900000,1954800000,2331500000,2169800000,1944200000,2389700000,2479600000,2429000000,2291000000,-2975000000,2243000000,2128000000,805000000,1079000000,578000000,3989000000,3902000000,-2896000000,3000000000
16,EBITDA ratio,0.0775,0.0839,0.0896,0.0886,0.0914,0.0822,0.0903,0.0996,0.1102,0.1027,0.1140,0.1133,0.0875,0.1249,0.1235,0.0917,0.1321,0.1421,0.1324,0.1658,0.1485,0.1309,0.1448,0.1481,0.1506,0.1428,-0.1874,0.1496,0.1637,0.0661,0.1518,0.0760,0.1624,0.1880,-0.1479,0.1692
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
