,https://roic.ai/company/LBPS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,211000,534000,718000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1823000,6895000,10220000,16911000,24908000,26512000,22041000,21632000
6,General and Administrative Exp.,868000,2238000,1928000,2128000,2239000,1572000,4096000,15888000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",868000,2238000,1928000,2128000,2239000,1572000,4096000,15888000
9,Other Expenses,782000,1457000,940000,1322000,1972000,2741000,4938000,- -
10,Operating Expenses,3473000,10590000,13088000,20361000,29119000,30825000,31075000,37520000
11,COGS and Expenses,3473000,10590000,13088000,20361000,29119000,30825000,31075000,37520000
12,Interest Income ,92000,451000,652000,482000,282000,61000,5000,1000
13,Interest Expense (Gain),5000,- -,71000,123000,348000,514000,173000,581000
14,Depreciation and Amortization,114000,253000,618000,982000,1201000,1281000,1206000,1353000
15,EBITDA,-3649000,-9804000,-11019000,-19328000,-26887000,-27631000,-28967000,-30026000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-130.9526,-54.2453,-41.8189
17,Operating Income,-3476000,-10510000,-12287000,-24345000,-28371000,-31632000,-30178000,-37261000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-149.9147,-56.5131,-51.8955
19,Total Other Income Expenses (Gains),1096000,451000,581000,359000,-66000,2206000,-168000,5301000
20,Income Before Tax,-2380000,-10059000,-11706000,-23986000,-28437000,-29426000,-30346000,-31960000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-139.4597,-56.8277,-44.5125
22,Income Tax expense (Gain),- -,-2328000,-1843000,-3541000,-4747000,-5360000,-4383000,-22000
23,Net Income,-2021000,-7547000,-9863000,-20445000,-23690000,-24066000,-25963000,-31938000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-114.0569,-48.6199,-44.4819
25,EPS,-0.38,-1.01,-1.22,-2.51,-2.89,-2.94,-1.82,-0.30
26,EPS Diluted,-0.38,-1.01,-1.22,-2.51,-2.89,-2.94,-1.82,-0.30
27,Weighted Average Shares Outstanding,5250231,7477969,8107269,8135570,8186730,8186730,14231495,104899000
28,Weighted Average Shares Outstanding Diluted,5250231,7477969,8107269,8135570,8186730,8186730,14231495,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,28823000,1777000,28661000,11865000,16053000,3836000,8775000,20973000
32,Short-Term Investments,3007000,83664000,40111000,38133000,10174000,- -,- -,- -
33,Cash and Short-Term Investments,31830000,85441000,68772000,49998000,26227000,3836000,8775000,20973000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,115000,28000,238000,253000,290000,198000,291000,367101
36,Other Current Assets,590000,4636000,5966000,7546000,6641000,7240000,7659000,13160899
37,Total Current Assets,32535000,90105000,74976000,57797000,33158000,11274000,16725000,34501000
38,PP&E,417000,1115000,3859000,5211000,4865000,5160000,4494000,4879000
39,Goodwill,3316000,3316000,8999000,9390000,9453000,9187000,9412000,13018000
40,Intangible Assets,2950000,2855000,5300000,5284000,4992000,4801000,4613000,6127000
41,Intangible Assets,6266000,6171000,14299000,14674000,14445000,13988000,14025000,19145000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,23000,56000,137000,188000,177000,269000
45,Total Non-Current Assets,6683000,7286000,18181000,19941000,19447000,19336000,18696000,24293000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
