,https://roic.ai/company/KDP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,3065000000,3205000000,4735000000,5748000000,5710000000,5531000000,5636000000,5903000000,5995000000,5997000000,6121000000,6282000000,6440000000,6690000000,7442000000,11120000000,11618000000,12683000000
2,COGS,1051000000,1120000000,1994000000,2617000000,2590000000,2234000000,2243000000,2485000000,2500000000,2499000000,2491000000,2559000000,2582000000,2695000000,3560000000,4778000000,5132000000,5706000000
3,Gross Profit,2014000000,2085000000,2741000000,3131000000,3120000000,3297000000,3393000000,3418000000,3495000000,3498000000,3630000000,3723000000,3858000000,3995000000,3882000000,6342000000,6486000000,6977000000
4,Gross Profit Ratio,0.6571,0.6505,0.5789,0.5447,0.5464,0.5961,0.6020,0.5790,0.5830,0.5833,0.5930,0.5926,0.5991,0.5972,0.5216,0.5703,0.5583,0.5501
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2018000000,2075000000,2135000000,2233000000,2257000000,2268000000,2328000000,2334000000,2313000000,2329000000,2556000000,2635000000,3962000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1135000000,1179000000,1659000000,2018000000,2075000000,2135000000,2233000000,2257000000,2268000000,2328000000,2334000000,2313000000,2329000000,2556000000,2635000000,3962000000,3978000000,4153000000
9,Other Expenses,9000000,-10000000,37000000,109000000,1156000000,77000000,127000000,126000000,135000000,124000000,116000000,112000000,96000000,51000000,10000000,2000000,-39000000,-70000000
10,Operating Expenses,1144000000,1169000000,1696000000,2127000000,3231000000,2212000000,2360000000,2383000000,2403000000,2452000000,2450000000,2425000000,2425000000,2607000000,2645000000,3964000000,3939000000,4083000000
11,COGS and Expenses,2195000000,2289000000,3690000000,4744000000,5821000000,4446000000,4603000000,4868000000,4903000000,4951000000,4941000000,4984000000,5007000000,5302000000,6205000000,8742000000,9071000000,9789000000
12,Interest Income ,- -,40000000,46000000,64000000,32000000,4000000,3000000,3000000,2000000,2000000,2000000,2000000,3000000,3000000,- -,- -,- -,- -
13,Interest Expense (Gain),177000000,210000000,257000000,253000000,257000000,243000000,128000000,114000000,125000000,123000000,109000000,117000000,147000000,164000000,452000000,654000000,604000000,500000000
14,Depreciation and Amortization,- -,79000000,139000000,169000000,208000000,207000000,223000000,232000000,240000000,234000000,235000000,227000000,224000000,229000000,462000000,484000000,653000000,708000000
15,EBITDA,893000000,1087000000,1204000000,1241000000,92000000,1320000000,1173000000,1272000000,1343000000,900000000,1418000000,1528000000,1652000000,1564000000,1702000000,2832000000,3010000000,4007000000
16,EBITDA ratio,0.2914,0.3392,0.2543,0.2159,0.0161,0.2387,0.2081,0.2155,0.2240,0.1501,0.2317,0.2432,0.2565,0.2338,0.2287,0.2547,0.2591,0.3159
17,Operating Income,834000000,906000000,1018000000,1004000000,-168000000,1085000000,1025000000,1024000000,1092000000,1046000000,1180000000,1298000000,1433000000,1388000000,1237000000,2378000000,2480000000,2894000000
18,Operating Income ratio,0.2721,0.2827,0.2150,0.1747,-0.0294,0.1962,0.1819,0.1735,0.1822,0.1744,0.1928,0.2066,0.2225,0.2075,0.1662,0.2138,0.2135,0.2282
19,Total Other Income Expenses (Gains),-131000000,-119000000,-213000000,-187000000,-207000000,-217000000,-204000000,-99000000,-114000000,-504000000,-107000000,-114000000,-150000000,-215000000,-446000000,-684000000,-727000000,-96000000
20,Income Before Tax,703000000,787000000,805000000,817000000,-375000000,868000000,821000000,925000000,978000000,542000000,1073000000,1184000000,1283000000,1173000000,791000000,1694000000,1753000000,2798000000
21,Income Before Tax Ratio,0.2294,0.2456,0.1700,0.1421,-0.0657,0.1569,0.1457,0.1567,0.1631,0.0904,0.1753,0.1885,0.1992,0.1753,0.1063,0.1523,0.1509,0.2206
22,Income Tax expense (Gain),270000000,321000000,298000000,322000000,-61000000,315000000,294000000,320000000,349000000,-81000000,371000000,420000000,434000000,95000000,202000000,440000000,428000000,653000000
23,Net Income,446000000,477000000,510000000,497000000,-312000000,555000000,528000000,606000000,629000000,624000000,703000000,764000000,847000000,1076000000,586000000,1254000000,1325000000,2146000000
24,Net Income ratio,0.1455,0.1488,0.1077,0.0865,-0.0546,0.1003,0.0937,0.1027,0.1049,0.1041,0.1149,0.1216,0.1315,0.1608,0.0787,0.1128,0.1140,0.1692
25,EPS,1.76,1.88,2.01,1.79,-1.23,2.18,2.19,2.77,2.99,3.08,3.59,4.00,4.57,5.91,0.54,0.89,0.94,1.52
26,EPS Diluted,1.76,1.88,2.01,1.79,-1.23,2.17,2.17,2.74,2.96,3.05,3.56,3.97,4.54,5.89,0.53,0.88,0.93,1.50
27,Weighted Average Shares Outstanding,253700000,253700000,253500000,253500000,254000000,254200000,240400000,218700000,210600000,202900000,195800000,190900000,185400000,182000000,1086300000,1406700000,1407200000,1415700000
28,Weighted Average Shares Outstanding Diluted,253700000,253700000,253500000,253500000,254000000,255200000,242600000,221200000,212300000,204500000,197400000,192400000,186600000,182800000,1097600000,1419100000,1422100000,1427900000
