,https://roic.ai/company/APTS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,7150703,12491235,28531935,56536370,109305512,200118915,294004615,397271000,470427000,502197000,451142000
2,COGS,- -,1868320,3534181,7377541,12704975,29713327,57955455,82785033,115547000,137883000,159915000,145158000
3,Gross Profit,- -,5282383,8957054,21154394,43831395,79592185,142163460,211219582,281724000,332544000,342282000,305984000
4,Gross Profit Ratio,- -,0.7387,0.7171,0.7414,0.7753,0.7282,0.7104,0.7184,0.7091,0.7069,0.6816,0.6782
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2462,633360,2932569,4680668,7954673,13452346,25306895,35040714,37978000,45203000,214532000,33403000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2462,633360,2932569,4680668,7954673,13452346,25306895,35040714,37978000,45203000,214532000,33403000
9,Other Expenses,- -,8867599,3746229,13299934,16328715,38096334,78139798,116776809,173669000,187103000,207780000,170067000
10,Operating Expenses,- -,9500959,6678798,17980602,24283388,51548680,103446693,151817523,211647000,232306000,422312000,203470000
11,COGS and Expenses,2462,11369279,10212979,25358143,36988363,81262007,161402148,234602556,327194000,370189000,582227000,348628000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),15292,1514581,2504679,4582350,10188187,21315731,44284144,67468042,95564000,111964000,118558000,102414000
14,Depreciation and Amortization,- -,2698305,3595298,15250130,16328715,38096334,78139798,116776809,171136000,179300000,201677000,169193000
15,EBITDA,745983,-4282538,5953347,15849392,28610391,57011397,112890819,211925847,310167000,284020000,142447000,292053000
16,EBITDA ratio,Infinity,-0.5989,0.4766,0.5555,0.5061,0.5216,0.5641,0.7208,0.7807,0.6037,0.2836,0.6474
17,Operating Income,- -,-6071403,4516447,1644626,12315390,18889742,30169224,59388057,139782000,101805000,-56888000,122958000
18,Operating Income ratio,- -,-0.8491,0.3616,0.0576,0.2178,0.1728,0.1508,0.2020,0.3519,0.2164,-0.1133,0.2725
19,Total Other Income Expenses (Gains),-748445,-2762267,-4663077,-4582350,-10188187,-21315731,-40012638,-30721456,-95244000,-109263000,-124715000,-102426000
20,Income Before Tax,- -,- -,-146630,-2937724,2127203,-2425989,-9843414,28666601,44538000,-7458000,-181603000,20532000
21,Income Before Tax Ratio,- -,- -,-0.0117,-0.1030,0.0376,-0.0222,-0.0492,0.0975,0.1121,-0.0159,-0.3616,0.0455
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-766199,-8495424,-146630,-3983088,2093489,-2400668,-9533123,27680996,43467000,-7244000,-177788000,20446000
24,Net Income ratio,-Infinity,-1.1881,-0.0117,-0.1396,0.0370,-0.0220,-0.0476,0.0942,0.1094,-0.0154,-0.3540,0.0453
25,EPS,-20.90,-2.23,-0.12,-1.59,-0.31,-0.95,-2.11,-1.13,-1.08,-2.73,-6.95,-2.59
26,EPS Diluted,-20.90,-2.23,-0.12,-1.59,-0.31,-0.95,-2.11,-1.13,-1.08,-2.73,-6.95,-2.59
27,Weighted Average Shares Outstanding,36666,3822303,5172260,9456228,17399147,22182971,23969494,31926472,40032000,44265000,48743000,51499000
28,Weighted Average Shares Outstanding Diluted,36666,3822303,5172260,9456228,17399147,22182971,23969494,31926472,40032000,44265000,48743000,51499000
