,https://roic.ai/company/PLOW,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,140065000,180108000,174342000,176795000,208798000,140033000,194320000,303512000,400408000,416268000,474927000,524067000,571710000,480154000,541453000
2,COGS,97249000,117911000,117264000,116494000,136981000,96070000,128670000,187185000,267545000,282294000,331841000,369177000,402893000,351874000,399581000
3,Gross Profit,42816000,62197000,57078000,60301000,71817000,43963000,65650000,116327000,132863000,133974000,143086000,154890000,168817000,128280000,141872000
4,Gross Profit Ratio,0.3057,0.3453,0.3274,0.3411,0.3440,0.3139,0.3378,0.3833,0.3318,0.3218,0.3013,0.2956,0.2953,0.2672,0.2620
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,32892000,26435000,19895000,31872000,38239000,48150000,54260000,61594000,69958000,71288000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,32892000,26435000,19895000,31872000,38239000,48150000,54260000,61594000,69958000,71288000,- -,78844000
9,Other Expenses,22180000,26561000,27639000,6001000,5201000,5199000,5625000,5803000,7362000,10596000,11401000,11472000,10956000,75548000,10682000
10,Operating Expenses,22180000,26561000,27639000,38893000,31636000,25094000,37497000,44042000,55512000,64856000,72995000,81430000,82244000,75548000,89526000
11,COGS and Expenses,119429000,144472000,144903000,155387000,168617000,121164000,166167000,231227000,323057000,347150000,404836000,450607000,485137000,427422000,489107000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),19622000,17299000,15520000,10943000,8918000,8393000,8328000,8129000,10895000,15195000,18336000,16943000,16782000,20238000,11839000
14,Depreciation and Amortization,10796000,10810000,11958000,11705000,8176000,8018000,8693000,9225000,12281000,16742000,18584000,19085000,19212000,19737000,20316000
15,EBITDA,28612000,46373000,41307000,25182000,47466000,26567000,36038000,79351000,89439000,95633000,89835000,91787000,98611000,-58854000,66743000
16,EBITDA ratio,0.2043,0.2575,0.2369,0.1424,0.2273,0.1897,0.1855,0.2614,0.2234,0.2297,0.1892,0.1751,0.1725,-0.1226,0.1233
17,Operating Income,20636000,35636000,29439000,21408000,40181000,18869000,27506000,72217000,77351000,69118000,70091000,73460000,86573000,-75140000,51135000
18,Operating Income ratio,0.1473,0.1979,0.1689,0.1211,0.1924,0.1347,0.1416,0.2379,0.1932,0.1660,0.1476,0.1402,0.1514,-0.1565,0.0944
19,Total Other Income Expenses (Gains),-22442000,-17372000,-15610000,-18874000,-9809000,-8713000,-8489000,-10220000,-11088000,-5422000,-17176000,-17701000,-23956000,-23689000,-16547000
20,Income Before Tax,-1806000,18264000,13829000,2534000,30372000,10156000,19017000,61997000,66263000,63696000,52915000,55759000,62617000,-98829000,34588000
21,Income Before Tax Ratio,-0.0129,0.1014,0.0793,0.0143,0.1455,0.0725,0.0979,0.2043,0.1655,0.1530,0.1114,0.1064,0.1095,-0.2058,0.0639
22,Income Tax expense (Gain),-749000,6793000,3986000,872000,11332000,4144000,7378000,22036000,22087000,24687000,-2409000,11854000,13451000,-12276000,3897000
23,Net Income,-1057000,11471000,9843000,1662000,19040000,6012000,11639000,39961000,44176000,39009000,55324000,43905000,49166000,-86553000,30691000
24,Net Income ratio,-0.0075,0.0637,0.0565,0.0094,0.0912,0.0429,0.0599,0.1317,0.1103,0.0937,0.1165,0.0838,0.0860,-0.1803,0.0567
25,EPS,-0.07,0.80,0.68,0.09,0.87,0.27,0.52,1.78,1.95,1.71,2.42,1.91,2.13,-3.81,1.34
26,EPS Diluted,-0.07,0.80,0.67,0.09,0.85,0.26,0.51,1.77,1.94,1.70,2.40,1.89,2.11,-3.81,1.33
27,Weighted Average Shares Outstanding,14421736,14421736,14423470,18799761,21650736,21894569,22029374,22168500,22329044,22480679,22576381,22681888,22779057,22846467,22980951
28,Weighted Average Shares Outstanding Diluted,14421736,14421736,14748798,19287446,21814617,21964311,22067174,22188846,22341775,22480679,22587648,22704856,22813711,22846467,22992793
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287213/000104746911001850/a2202358z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000104746912002516/0001047469-12-002516-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746913002601/0001047469-13-002601-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746914002150/a2218556z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837015000337/plow-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837016003908/0001558370-16-003908-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837017001675/0001558370-17-001675-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837018001358/0001558370-18-001358-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837019001106/0001558370-19-001106-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837020001328/0001558370-20-001328-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837021001470/0001558370-21-001470-index.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837022001580/0001558370-22-001580-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35519000,53552000,69073000,20149000,39432000,24136000,19864000,24195000,36844000,18609000,36875000,27820000,35665000,41030000,36964000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35519000,53552000,69073000,20149000,39432000,24136000,19864000,24195000,36844000,18609000,36875000,27820000,35665000,41030000,36964000
34,Net Receivables,31766000,28588000,32172000,37040000,34019000,30295000,44991000,60918000,72557000,80130000,79120000,81485000,87871000,83195000,72257000
35,Inventory,17086000,28802000,26697000,23481000,24005000,30292000,27977000,48248000,51584000,74810000,79235000,86200000,84481000,87628000,106674000
36,Other Current Assets,7120000,4472000,5592000,8302000,6006000,4859000,5540000,9160000,8258000,8612000,2883000,3590000,3511000,5334000,4536000
37,Total Current Assets,91491000,115414000,133534000,88972000,103462000,89582000,98372000,142521000,169243000,182161000,198113000,199095000,211528000,217187000,220431000
38,PP&E,25812000,24261000,26661000,21962000,21340000,19887000,24866000,37546000,42636000,52141000,53962000,55195000,81001000,85761000,85249000
39,Goodwill,107222000,107222000,107222000,107222000,107222000,107222000,113132000,160962000,160932000,238286000,241006000,241006000,241006000,113134000,113134000
40,Intangible Assets,145271000,139111000,132950000,126948000,121747000,116548000,123422000,135009000,127647000,194851000,186150000,174678000,163722000,152791000,142109000
41,Intangible Assets,252493000,246333000,240172000,234170000,228969000,223770000,236554000,295971000,288579000,433137000,427156000,415684000,404728000,265925000,255243000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5853000,5256000,4252000,2939000,5246000,5132000,4547000,4405000,5045000,4460000,5945000,6219000,8438000,10329000,11553000
45,Total Non-Current Assets,284158000,275850000,271085000,259071000,255555000,248789000,265967000,337922000,336260000,489738000,487063000,477098000,494167000,362015000,352045000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,375649000,391264000,404619000,348043000,359017000,338371000,364339000,480443000,505503000,671899000,685176000,676193000,705695000,579202000,572476000
48,Accounts Payable,4617000,4952000,5170000,2847000,5040000,5370000,7709000,9753000,14555000,17299000,16323000,18703000,16113000,16284000,27375000
49,Short-Term Debt,- -,- -,- -,1183000,11071000,971000,13971000,1629000,1629000,2829000,32749000,32749000,22143000,13877000,18415000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5214000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,14396000,18906000,20017000,11946000,16500000,10329000,14418000,34312000,25549000,31264000,31711000,27616000,39847000,36045000,36126000
53,Total Current Liabilities,19013000,23858000,25187000,15976000,32611000,16670000,36098000,45694000,41733000,51392000,80783000,79068000,78103000,66206000,81916000
54,Long-Term Debt,233513000,232663000,231813000,119971000,111866000,110995000,110023000,186471000,184843000,306726000,274872000,242946000,222081000,254110000,221466000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,17266000,16142000,18913000,22650000,26957000,33805000,45046000,49853000,54932000,60289000,39269000,48198000,47211000,26681000,29789000
57,Other Non-Current Liabilities,13915000,20542000,20484000,19953000,24194000,23169000,17851000,25136000,23499000,33029000,33574000,23225000,45137000,32001000,24695000
58,Total Non-Current Liabilities,264694000,269347000,271210000,162574000,163017000,167969000,172920000,261460000,263274000,400044000,347715000,314369000,314429000,312792000,275950000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22803000,21760000,20031000
61,Total Liabilities,283707000,293205000,296397000,178550000,195628000,184639000,209018000,307154000,305007000,451436000,428498000,393437000,392532000,378998000,357866000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6000,6000,6000,216000,220000,221000,222000,223000,224000,225000,226000,227000,228000,229000,230000
64,Retained Earnings,31855000,43212000,53055000,46495000,39742000,27523000,20463000,40826000,64829000,82387000,115737000,136765000,160748000,47712000,51881000
65,Other Comprehensive Income/Loss,-15580000,-19852000,-25570000,-4000000,-7000000,-7000000,-1000000,-6000000,-6000000,-7000000,-7000000,-6000000,-3000000,-5495000,-1053000
66,Other Total Stockholders Equity,75661000,74693000,80731000,126782000,130427000,132988000,135636000,138240000,141443000,144851000,147715000,151764000,155187000,157758000,- -
67,Total Stockholders Equity,91942000,98059000,108222000,169493000,163389000,153732000,155321000,173289000,200496000,220463000,256678000,282756000,313163000,200204000,214610000
68,Total Liabilities And Stockholders Equity,375649000,391264000,404619000,348043000,359017000,338371000,364339000,480443000,505503000,671899000,685176000,676193000,705695000,579202000,572476000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,375649000,391264000,404619000,348043000,359017000,338371000,364339000,480443000,505503000,671899000,685176000,676193000,705695000,579202000,572476000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287213/000104746911001850/a2202358z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000104746912002516/0001047469-12-002516-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746913002601/0001047469-13-002601-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746914002150/a2218556z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837015000337/plow-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837016003908/0001558370-16-003908-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837017001675/0001558370-17-001675-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837018001358/0001558370-18-001358-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837019001106/0001558370-19-001106-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837020001328/0001558370-20-001328-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837021001470/0001558370-21-001470-index.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837022001580/0001558370-22-001580-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1057000,11471000,9843000,1662000,19040000,6012000,11639000,39961000,44176000,39009000,55324000,43905000,49166000,-86553000,30691000
74,Depreciation and Amortization,10796000,10810000,11958000,11705000,8176000,8018000,8693000,9225000,12281000,16742000,18584000,19085000,19212000,19737000,20316000
75,Deferred Income Tax,3511000,3946000,1810000,641000,6497000,8090000,10728000,-326000,5807000,5413000,-15242000,9551000,-2123000,-19598000,1618000
76,Stock Based Compensation,- -,- -,732000,4029000,1873000,2166000,2587000,2868000,3275000,2898000,3500000,4550000,3239000,2830000,5794000
77,Change in Working Capital,2787000,19078000,16791000,-35351000,-2145000,2061000,-10638000,34553000,30683000,3259000,-13439000,2697000,13398000,17556000,-5348000
78,Accounts Receivable,-7318000,-1182000,-3717000,-5313000,2974000,8335000,-16643000,-4201000,-7094000,2419000,-1154000,-511000,-7747000,3038000,12093000
79,Inventory,10200000,-11716000,2105000,3216000,-524000,-6287000,6445000,-3963000,-5292000,605000,894000,-12347000,4054000,-1801000,-24276000
80,Accounts Payable,539000,335000,218000,-2323000,2193000,330000,1559000,-3199000,4802000,-113000,-2487000,3039000,-2562000,-21000,10418000
81,Other Working Capital,72478000,91556000,108347000,72996000,70851000,72912000,62274000,96827000,127510000,130769000,117330000,120027000,133425000,150981000,-1911000
82,Other Non-Cash Items,4003000,-21894000,-15563000,33091000,14287000,-10728000,9239000,-32534000,-39757000,2599000,17627000,-21607000,-5596000,119394000,7464000
83,Cash Provided by Operating Activities,20040000,23411000,25571000,15777000,47728000,15619000,32248000,53747000,56465000,69920000,66354000,58181000,77296000,53366000,60535000
84,CAPEX,-1049000,-3160000,-8200000,-3009000,-2373000,-1446000,-2775000,-5254000,-10009000,-9830000,-7563000,-9690000,-11533000,-14490000,-11208000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-26734000,-86693000,-11818000,-181344000,-7385000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1045000,-3113000,-8200000,-2783000,-2306000,-1366000,-2775000,-4236000,-10009000,-9830000,-7563000,-9690000,-11533000,-14490000,-11208000
89,Cash Used for Investing Activites,-1045000,-3113000,-8200000,-2783000,-2306000,-1366000,-29509000,-90929000,-21827000,-191174000,-14948000,-9690000,-11533000,-14490000,-11208000
90,Debt Repayment,-78245000,-850000,-850000,-155385000,-122450000,-11150000,-1152000,-124760000,-1900000,-2560000,-3148000,-33140000,-32685000,-277255000,-249938000
91,Common Stock Issued,- -,- -,- -,63929000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1101000,-1000000,-166000,- -,- -,-160000,-97000,-27000,- -,-923000,-23000,-50000,- -,- -
93,Dividends Paid,- -,- -,- -,-8222000,-25793000,-18231000,-18699000,-19598000,-20173000,-21451000,-21974000,-24383000,-25183000,-25926000,-26522000
94,Other Financing Activites,82328000,-314000,- -,37926000,122104000,-168000,13000000,185968000,111000,127030000,-7095000,- -,- -,269670000,223067000
95,Cash Used/Provided by Financing Activities,4083000,-2265000,-1850000,-61918000,-26139000,-29549000,-7011000,41513000,-21989000,103019000,-33140000,-57546000,-57918000,-33511000,-53393000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23078000,18033000,15521000,-48924000,19283000,-15296000,-4272000,4331000,12649000,-18235000,18266000,-9055000,7845000,5365000,-4066000
98,Cash at the End of Period,35519000,53552000,69073000,20149000,39432000,24136000,19864000,24195000,36844000,18609000,36875000,27820000,35665000,41030000,36964000
99,Cash at the Beginning of Period,12441000,35519000,53552000,69073000,20149000,39432000,24136000,19864000,24195000,36844000,18609000,36875000,27820000,35665000,41030000
100,Free Cash Flow,18991000,20251000,17371000,12768000,45355000,14173000,29473000,48493000,46456000,60090000,58791000,48491000,65763000,38876000,49327000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287213/000104746911001850/a2202358z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000104746912002516/0001047469-12-002516-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746913002601/0001047469-13-002601-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000104746914002150/a2218556z10-k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837015000337/plow-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837016003908/0001558370-16-003908-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837017001675/0001558370-17-001675-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837018001358/0001558370-18-001358-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837019001106/0001558370-19-001106-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837020001328/0001558370-20-001328-index.html,https://www.sec.gov/Archives/edgar/data/1287213/000155837021001470/0001558370-21-001470-index.htm,https://www.sec.gov/Archives/edgar/data/1287213/000155837022001580/0001558370-22-001580-index.htm
102,false,,,,,,,,,,,,,,,
