,https://roic.ai/company/SRGZ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347,1665,1666,1318
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-347,-1665,-1666,-1318
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,314071,799862,701976,- -,- -,- -,105945,119975,- -,246088
6,General and Administrative Exp.,- -,- -,- -,- -,334913,643520,1205428,834608,605385,146458,404005,292606,194247,271662,369567
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,334913,643520,1205428,834608,605385,146458,404005,292606,194247,271662,369567
9,Other Expenses,24053,102881,93298,142296,- -,1350,5915,5915,370450,270845,215783,28369,21297,180960,25146
10,Operating Expenses,24053,102881,93298,142296,334913,958941,2011205,1542499,975835,417303,619788,426920,335519,452622,640801
11,COGS and Expenses,24053,102881,93298,142296,334913,958941,2011205,1542499,975835,417303,619788,427267,337184,454288,642119
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,206,21,128,896,2313,760,232
13,Interest Expense (Gain),- -,- -,- -,- -,- -,784524,120880,- -,745,3162,2721,778,833,1322,2313
14,Depreciation and Amortization,- -,- -,- -,- -,- -,1350,5915,5915,6359,5401,4051,347,1665,1666,1318
15,EBITDA,-24053,-102881,-93298,-142296,-324967,-957591,-2005290,-1536584,-969476,-411902,-615737,-426920,-335519,-452622,-640569
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-24053,-102881,-93298,-142296,-334913,-958941,-2011205,-1542499,-1172335,-417303,-619788,-427267,-337184,-454288,-642119
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-9947,-2424099,-120880,821,-539,-3141,-2593,118,1480,-562,-2081
20,Income Before Tax,-24053,-102881,- -,-142296,-344860,-3383040,-2132085,-1541678,-1172874,-420444,-622381,-427149,-335704,-454850,-644200
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-24053,-102881,-93298,-142296,-344860,-3383040,-2132085,-1541678,-1172874,-420444,-622381,-427149,-335704,-454850,-644200
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.06,-0.01,-0.01,-0.03,-0.32,-0.09,-0.05,-0.03,-0.01,-0.01,-0.01,-0.00,-0.01,-0.01
26,EPS Diluted,-0.00,-0.06,-0.01,-0.01,-0.03,-0.32,-0.09,-0.05,-0.03,-0.01,-0.01,-0.01,-0.00,-0.01,-0.01
27,Weighted Average Shares Outstanding,5687418,1893910,10025020,10271915,10403251,10684249,23360565,33138045,36197655,38890037,48546315,66375222,76923842,77394841,90800018
28,Weighted Average Shares Outstanding Diluted,5687418,1893910,10025020,10271915,10403251,10684249,23360565,33138045,36197655,38890037,48546315,66375222,76923842,77394841,90800018
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1401835/000109635008000126/tenka.htm,https://www.sec.gov/Archives/edgar/data/1401835/000109635009000079/0001096350-09-000079-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401835/000105652013000169/0001056520-13-000169-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000105652014000128/0001056520-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000105652015000119/0001056520-15-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000105652016000284/0001056520-16-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000100201417000133/0001002014-17-000133-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000114070518000189/0001140705-18-000189-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000165495419008377/0001654954-19-008377-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000119983520000185/0001199835-20-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000119983521000463/0001199835-21-000463-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,76477,27066,15018,114632,12220,225940,353571,542757,5358,1785,109380,832426,440316,26617,265944
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,76477,27066,15018,114632,12220,225940,353571,542757,5358,1785,109380,832426,440316,26617,265944
34,Net Receivables,- -,- -,- -,- -,- -,- -,334000,- -,- -,- -,- -,- -,- -,1916,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,133554,68482,31549,70837,8767,15437,22636,22845,18415,33331
37,Total Current Assets,76477,27066,15018,114632,12220,359494,756053,574306,76195,10552,124817,855062,463161,46948,299275
38,PP&E,- -,- -,- -,- -,205499,326655,384725,432811,297951,326050,360874,414522,467107,543485,554167
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,20000,- -,21600,21600,21600,21600,21600,32711,37335,24157,89400,89400
45,Total Non-Current Assets,- -,- -,- -,20000,205499,348255,406325,454411,319551,347650,393585,451857,491264,632885,643567
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,76477,27066,15018,134632,217719,707749,1162378,1028717,395746,358202,518402,1306919,954425,679833,942842
48,Accounts Payable,14030,7500,- -,- -,32908,40352,8897,39734,24839,53742,53052,95911,19246,24460,- -
49,Short-Term Debt,- -,- -,- -,200,- -,- -,- -,- -,101916,15000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,8750,15460,40200,9500,11700,7396,16571,12381,- -,- -,- -,89000,32336
53,Total Current Liabilities,14030,7500,8750,15660,73108,49852,20597,47130,143326,81123,53052,95911,19246,113460,32336
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1016526,- -,- -,- -,18000,- -,- -,- -,20000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1016526,- -,- -,- -,18000,- -,- -,- -,70000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,14030,7500,8750,15660,73108,1066378,20597,47130,143326,99123,53052,95911,19246,183460,32336
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10025,30075,30675,62020,62960,12018,30612,34981,36596,40837,54837,76434,77395,77395,97291
64,Retained Earnings,-24053,-126934,-220232,- -,-667388,-4050428,-6182513,-7724191,-8897065,-9317509,-9939890,-10367039,-10702743,-11157593,-11801793
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1351,-7266,-13181,-216040,-22956,-27007,-27354,-29019,-3677,- -
66,Other Total Stockholders Equity,76475,116425,195825,56952,749039,3681132,7300948,8683978,9328929,9558707,10377410,11528967,11589546,11580248,12615008
67,Total Stockholders Equity,62447,19566,6268,118972,144611,-358629,1141781,981587,252420,259079,465350,1211008,935179,496373,910506
68,Total Liabilities And Stockholders Equity,76477,27066,15018,134632,217719,707749,1162378,1028717,395746,358202,518402,1306919,954425,679833,942842
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,76477,27066,15018,134632,217719,707749,1162378,1028717,395746,358202,518402,1306919,954425,679833,942842
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1401835/000109635008000126/tenka.htm,https://www.sec.gov/Archives/edgar/data/1401835/000109635009000079/0001096350-09-000079-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401835/000105652013000169/0001056520-13-000169-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000105652014000128/0001056520-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000105652015000119/0001056520-15-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000105652016000284/0001056520-16-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000100201417000133/0001002014-17-000133-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000114070518000189/0001140705-18-000189-index.html,https://www.sec.gov/Archives/edgar/data/1401835/000165495419008377/0001654954-19-008377-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000119983520000185/0001199835-20-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1401835/000119983521000463/0001199835-21-000463-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-24053,-102881,-93298,-142296,-344860,-3383040,-2132085,-1541678,-1172874,-420444,-622381,-427149,-335704,-454850,-644200
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1350,5915,5915,6359,5401,4051,347,1665,1666,1318
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,332876,708521,282434,104294,1503,126777,90923,- -,89000,161015
77,Change in Working Capital,14030,-42881,-13298,92704,-159860,370530,425814,-208280,-594307,-3440,142336,687386,-315236,-510427,333451
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,27544,-31455,30836,-14893,16566,-690,42859,-19040,5214,- -
81,Other Working Capital,62447,19566,6268,98972,-60888,309642,735456,527176,-67131,-70571,71765,759151,443915,-66512,266939
82,Other Non-Cash Items,- -,36351,14548,-85994,177308,1964111,-250380,279995,745801,77886,-173188,-656350,309165,540712,-427575
83,Cash Provided by Operating Activities,-10023,-109411,-92048,-135586,-327412,-714173,-1242215,-1181614,-910727,-339094,-522405,-304843,-340110,-333899,-575991
84,CAPEX,- -,- -,- -,-20000,-65000,-78007,-42986,-44000,-65000,-32000,-37000,-51995,-52000,-62000,-12000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-21600,- -,- -,- -,- -,- -,- -,- -,-67800,- -
89,Cash Used for Investing Activites,- -,- -,- -,-20000,-65000,-99607,-42986,-44000,-65000,-32000,-37000,-51995,-52000,-129800,-12000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-30000,- -,- -,-129579,-85000,- -,- -,- -,-80000
91,Common Stock Issued,86500,- -,- -,255000,250000,- -,357846,1080800,336412,442100,682000,1079884,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,60000,80000,200,40000,1027500,1084986,334000,101916,55000,70000,- -,- -,50000,907318
95,Cash Used/Provided by Financing Activities,86500,60000,80000,255200,290000,1027500,1412832,1414800,438328,367521,667000,1079884,- -,50000,827318
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-49411,-12048,99614,-102412,213720,127631,189186,-537399,-3573,107595,723046,-392110,-413699,239327
98,Cash at the End of Period,76477,27066,15018,114632,12220,225940,353571,542757,5358,1785,109380,832426,440316,26617,265944
99,Cash at the Beginning of Period,- -,76477,27066,15018,114632,12220,225940,353571,542757,5358,1785,109380,832426,440316,26617
