,https://roic.ai/company/IMII,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3524439,5954560,3631760,3967870,4955030,4
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3840353,3895960,3754070,3740710,3656130,3
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-315914,2058600,-122310,227160,1298900,1
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0896,0.3457,-0.0337,0.0572,0.2621,0.3179
5,Research and Development Exp.,- -,- -,- -,- -,- -,1080000,2170000,10000,10000,30000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,70514,31265,265350,433376,87385,253841,701167,1445964,4887048,1449735,2035203,2066886,1
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,70514,31265,265350,433376,87385,253841,701167,1445964,4887048,1449735,2035203,2066886,1
9,Other Expenses,- -,- -,4860,- -,- -,-1080000,-2170000,-10000,-10000,4494,- -,- -,- -,- -,- -,3
10,Operating Expenses,- -,- -,4860,70514,31265,265350,433376,87385,253841,735661,1445964,4887048,1449735,2035203,2066886,4
11,COGS and Expenses,- -,- -,10000,70000,30000,1350000,2600000,90000,260000,880000,5286317,8924905,5323060,5822660,5906050,7
12,Interest Income ,- -,- -,- -,- -,- -,2,20,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,19,41,256,821,1071,3416,11187,783231,5395737,4933633,2127518,4756764,8488221,4793005
14,Depreciation and Amortization,- -,- -,- -,- -,- -,2215,8972,820,207,- -,362172,799474,639097,225395,212006,49794
