,https://roic.ai/company/FORD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15500000,17900000,12700000,13000000,20600000,14410035,13176558,16362708,18899231,20073236,51868962,30607843,22150513,19973869,17440425,18996827,22777040,29403004,30910506,33359918,30013891,27479896,24764613,34499503,37409030,34478358,39021996
2,COGS,11900000,14600000,8100000,9100000,14200000,9781782,9044036,10732692,12777627,13293080,33282203,22772938,17346913,15946020,13858122,14764840,17712425,25429096,24533154,26805193,24220698,22399734,20572970,27931427,30828148,27839851,30887577
3,Gross Profit,3600000,3300000,4600000,3900000,6400000,4628253,4132522,5630016,6121604,6780156,18586759,7834905,4803600,4027849,3582303,4231987,5064615,3973908,6377352,6554725,5793193,5080162,4191643,6568076,6580882,6638507,8134419
4,Gross Profit Ratio,0.2323,0.1844,0.3622,0.3000,0.3107,0.3212,0.3136,0.3441,0.3239,0.3378,0.3583,0.2560,0.2169,0.2017,0.2054,0.2228,0.2224,0.1352,0.2063,0.1965,0.1930,0.1849,0.1693,0.1904,0.1759,0.1925,0.2085
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4900000,3400000,3700000,1800000,4090860,4507343,4925655,- -,- -,- -,- -,- -,- -,2316072,3636309,4688236,5562019,3484222,3847759,4943184,2571799,2090473,4525286,7713035,5655186,6395900
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2615685,2166542,3391396,1675680,2187315,2805643,2362553,1891409,1502700,1782138,1965230,1950704,2503518
8,"Selling, General and Administrative Exp.",3500000,4900000,3400000,3700000,1800000,4090860,4507343,4925655,4984352,5118276,6248372,6109418,6618660,5693054,4931757,5802851,8079632,7237699,5671537,6653402,7305737,4463208,3593173,6307424,9678265,7605890,8899418
9,Other Expenses,300000,200000,200000,200000,100000,154557,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
