,https://roic.ai/company/BB,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7160602,23348227,46750084,84967000,221327000,293982788,307005275,594616000,1350447000,2062443299,3036648945,6028325691,11065186000,14953224000,19907000000,18435000000,11073000000,6813000000,3335000000,2160000000,1309000000,932000000,904000000,1040000000,893000000,718000000
2,COGS,4164840,15066591,28430457,48574000,133374000,195446321,187455860,323365000,635914000,923691505,1379094791,2938040299,5967888000,8368958000,11082000000,11856000000,7639000000,6856000000,1731000000,1219000000,692000000,262000000,206000000,277000000,250000000,251000000
3,Gross Profit,2995762,8281636,18319626,36393000,87953000,98536467,119549414,271251000,714533000,1138751794,1657554154,3090285392,5097298000,6584266000,8825000000,6579000000,3434000000,-43000000,1604000000,941000000,617000000,670000000,698000000,763000000,643000000,467000000
4,Gross Profit Ratio,0.4184,0.3547,0.3919,0.4283,0.3974,0.3352,0.3894,0.4562,0.5291,0.5521,0.5458,0.5126,0.4607,0.4403,0.4433,0.3569,0.3101,-0.0063,0.4810,0.4356,0.4714,0.7189,0.7721,0.7337,0.7200,0.6504
5,Research and Development Exp.,3288032,4589822,4304611,7738000,18281000,37437059,55965817,62638000,101180000,157369441,236137691,360961524,684702000,964841000,1351000000,1559000000,1509000000,1286000000,711000000,469000000,306000000,239000000,219000000,259000000,215000000,219000000
6,General and Administrative Exp.,- -,2793805,6506971,13904000,65200000,102334559,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1826684,2793805,6506971,13904000,65200000,102334559,105071527,108492000,190730000,310907204,537841579,884258829,1495697000,2071198000,2400000000,2604000000,2111000000,2103000000,938000000,712000000,553000000,467000000,406000000,493000000,344000000,- -
9,Other Expenses,438404,1496681,2702896,4683000,9123000,17480825,80605750,63098000,388569000,251327472,76867507,108452572,194803000,310357000,438000000,571000000,714000000,606000000,298000000,277000000,186000000,153000000,136000000,194000000,182000000,- -
10,Operating Expenses,5553120,8880308,13514478,26325000,92604000,157252444,241643094,234228000,680479000,719604117,850846777,1353672925,2375202000,3346396000,4189000000,4734000000,4334000000,3995000000,1947000000,1458000000,1045000000,859000000,761000000,946000000,741000000,219000000
11,COGS and Expenses,9717960,23946899,41944935,74899000,225978000,352698765,429098954,557593000,1316393000,1643295622,2229941568,4291713224,8343090000,11715354000,15271000000,16590000000,11973000000,10851000000,3678000000,2677000000,1737000000,1121000000,967000000,1223000000,991000000,470000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,438404,1496681,2702896,4683000,9123000,17735764,31174750,54529000,66760000,85731598,126336109,177924735,327896000,615621000,927000000,1523000000,1918000000,1270000000,694000000,616000000,239000000,177000000,149000000,212000000,198000000,176000000
15,EBITDA,-2118954,2195132,11212011,20719000,12643000,-20597081,-86034582,102158000,137921000,570988237,985152695,1994148203,3128259000,3882131000,5571000000,3034000000,680000000,-5914000000,309000000,334000000,-969000000,583000000,226000000,64000000,-915000000,195000000
