,https://roic.ai/company/GOL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,230473000,677879000,1400590000,1960886000,2669090000,3802017000,4938331000,6406193000,6025382000,6979447000,7539308000,8103559000,8956212000,10066214000,9778007000,9867335000,10576022000,11411354000,13864704000,6371817000,7433384000
2,COGS,- -,- -,970773650,1197744448,1775806767,2649193400,4485201280,2371956000,1536069000,2250685000,5481508000,8008574000,7856072000,8418295000,8736603000,8181357000,8385687000,9954458000,10751733000,7522056000,8593696000
3,Gross Profit,- -,- -,429816350,763141552,893283233,1152823600,453129720,4034237000,4489313000,4728762000,2057800000,94985000,1100140000,1647919000,1041404000,1685978000,2190335000,1456896000,3112971000,-1150239000,-1160312000
4,Gross Profit Ratio,- -,- -,0.3069,0.3892,0.3347,0.3032,0.0918,0.6297,0.7451,0.6775,0.2729,0.0117,0.1228,0.1637,0.1065,0.1709,0.2071,0.1277,0.2245,-0.1805,-0.1561
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,234844770,253050400,332540168,864208785,793429660,1356479000,1529329000,1606550000,1592357000,457005000,- -,606735000,682140000,709460000,976065000,995258000,1722168000,1319981000,1943322000
7,Selling and Marketing Exp.,35299000,- -,191280000,261756000,335722000,- -,367866000,588735000,364551000,367757000,402568000,423682000,516061000,667372000,617403000,555984000,590814000,581977000,670392000,324185000,583684000
8,"Selling, General and Administrative Exp.",35299000,- -,426124770,514806400,668262168,864208785,1161295660,1945214000,1893880000,1974307000,1994925000,880687000,516061000,1274107000,1299543000,1265444000,1566879000,1577235000,2392560000,1644166000,2527006000
9,Other Expenses,193466000,615797000,867584000,1122829000,1712017000,2685963000,4593438000,125127000,142853000,281604000,307379000,119911000,318090000,-133620000,-30715000,-254250000,-341362000,-1499542000,-1385433000,-1804447000,147277000
10,Operating Expenses,228765000,615797000,1293708770,1637635400,2380279168,3550171785,5754733660,2070341000,2036733000,2255911000,2302304000,1000598000,834151000,1140487000,1268828000,1011194000,1225517000,77693000,1007127000,-160281000,2674283000
11,COGS and Expenses,228765000,615797000,2264482420,2835379848,4156085935,6199365185,10239934940,4442297000,3572802000,4506596000,7783812000,9009172000,8690223000,9558782000,10005431000,9192551000,9611204000,10032151000,11758860000,7361775000,11267979000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,78349000,40940000,- -,477524000,8871000,149505000,- -,332567000,568504000,18245000,- -,7451000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,242099000,275466000,297256000,834541000,491396000,585599000,592443000,885947000,787661000,788996000,710787000,488278000,818529000,1834693000
14,Depreciation and Amortization,- -,7885000,13844000,31300000,35519000,69313000,121570000,125127000,142853000,281604000,395807000,519631000,560966000,463296000,419691000,447668000,505425000,668516000,1727982000,1870552000,1335813000
15,EBITDA,-3639000,60884000,277979000,618580000,753041000,868275000,221281000,-827816000,1174455000,965356000,229930000,-573795000,421381000,-25829000,-2311105000,2344006000,1006392000,591038000,2308594000,-3221089000,-4243455000
16,EBITDA ratio,-0.0158,0.0898,0.1985,0.3155,0.2821,0.2284,0.0448,-0.1292,0.1949,0.1383,0.0305,-0.0708,0.0470,-0.0026,-0.2364,0.2376,0.0952,0.0518,0.1665,-0.5055,-0.5709
17,Operating Income,1708000,62082000,341726000,576301000,621351000,701457000,-22973000,-88648000,413292000,697795000,-244504000,-905613000,265989000,504942000,-183777000,696545000,989800000,1399962000,2132739000,-951844000,-3834595000
18,Operating Income ratio,0.0074,0.0916,0.2440,0.2939,0.2328,0.1845,-0.0047,-0.0138,0.0686,0.1000,-0.0324,-0.1118,0.0297,0.0502,-0.0188,0.0706,0.0936,0.1227,0.1538,-0.1494,-0.5159
19,Total Other Income Expenses (Gains),-5347000,-9083000,-77591000,10979000,96171000,97505000,122684000,-1106394000,342844000,-311299000,-755914000,-679209000,-919216000,-1457622000,-3263323000,664877000,-918804000,-1882558000,-1743794000,-4865449000,-3541632000
20,Income Before Tax,-3639000,52999000,264135000,587280000,717522000,798962000,99711000,-1195042000,756136000,386496000,-1000418000,-1584822000,-653227000,-952680000,-3447100000,1361422000,70996000,-482596000,388945000,-5817293000,-7376227000
21,Income Before Tax Ratio,-0.0158,0.0782,0.1886,0.2995,0.2688,0.2101,0.0202,-0.1865,0.1255,0.0554,-0.1327,-0.1956,-0.0729,-0.0946,-0.3525,0.1380,0.0067,-0.0423,0.0281,-0.9130,-0.9923
