,https://roic.ai/company/IPHA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,1300000,6195000,14290000,12924000,7716000,4320000,11740000,10377000,12469000,907000,17906000,56160000,32631000,79892000,68973000,56833000,12112000
2,COGS,944000,2201000,2766000,2558000,3347000,3427000,1638000,6863000,7579000,12087000,- -,- -,- -,- -,45158000,3042000,- -
3,Gross Profit,356000,3994000,11524000,10366000,4369000,893000,10102000,3514000,4890000,-11180000,17906000,56160000,32631000,- -,23815000,53791000,- -
4,Gross Profit Ratio,0.2738,0.6447,0.8064,0.8021,0.5662,0.2067,0.8605,0.3386,0.3922,-12.3264,1.0000,1.0000,1.0000,- -,0.3453,0.9465,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29906000,48628000,67000000,69555000,1596000,58613000,47004000
6,General and Administrative Exp.,938000,1635000,- -,- -,8517000,6270000,- -,9327000,10384000,12503000,5590000,8879000,15655000,18142000,40733000,26507000,- -
7,Selling and Marketing Exp.,139000,207000,- -,- -,10059000,7056000,9788000,406000,283000,314000,288000,450000,527000,1109000,8848000,-441000,- -
8,"Selling, General and Administrative Exp.",1077000,1842000,- -,- -,18576000,13326000,9788000,9733000,10667000,12817000,5878000,9329000,16182000,19251000,49581000,26066000,25524000
9,Other Expenses,5694000,9340000,20615000,21372000,1328000,1257000,7884000,-2850000,-3004000,-4056000,-7105000,-9368000,-10570000,-14060000,-309000,-12341000,-12591000
10,Operating Expenses,6771000,11182000,20615000,21372000,19904000,14583000,17672000,6883000,7663000,8761000,28679000,48589000,72612000,74746000,50868000,72338000,59937000
11,COGS and Expenses,7715000,13383000,23381000,23930000,23251000,18010000,19310000,13746000,15242000,20848000,28679000,48589000,72612000,74746000,96026000,75380000,59937000
12,Interest Income ,280000,1200000,- -,- -,- -,- -,945000,- -,- -,- -,- -,- -,- -,- -,1620000,564000,6344000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,520000,225000,194000,165000,139000,124000,113000,102000,204000,341000,3997000
14,Depreciation and Amortization,301000,298000,536000,539000,1023000,1100000,901000,839000,880000,2344000,2655000,3263000,4393000,7401000,16529000,56797000,4596000
15,EBITDA,-5828000,-5744000,-8382000,-9313000,-13603000,-12558000,-5559000,-2135000,-1818000,-17138000,-3912000,16328000,-43511000,10219000,-4026000,-6846000,-44216000
16,EBITDA ratio,-4.4831,-0.9272,-0.5866,-0.7206,-1.7630,-2.9069,-0.4735,-0.2057,-0.1458,-18.8953,-0.2185,0.2907,-1.3334,0.1279,-0.0584,-0.1205,-3.6506
17,Operating Income,-6415000,-7239000,-9091000,-11006000,-15535000,-13690000,-7570000,-3386000,-2793000,-19966000,-10772000,7571000,-39983000,5146000,-27052000,-62076000,-47825000
18,Operating Income ratio,-4.9346,-1.1685,-0.6362,-0.8516,-2.0133,-3.1690,-0.6448,-0.3263,-0.2240,-22.0132,-0.6016,0.1348,-1.2253,0.0644,-0.3922,-1.0923,-3.9486
19,Total Other Income Expenses (Gains),286000,1197000,173000,1154000,909000,32000,590000,187000,-99000,319000,4066000,5370000,-8033000,-2428000,6293000,-1908000,2347000
20,Income Before Tax,-6129000,-6042000,-8918000,-9852000,-14626000,-13658000,-6980000,-3199000,-2892000,-19647000,-6706000,12941000,-48016000,2718000,-20759000,-63984000,-45478000
