,https://roic.ai/company/SNDR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3624366000,3940576000,3959372000,4045736000,4383600000,4977000000,4747000000,4552800000,5608700000
2,COGS,2889674000,3108519000,3033460000,3114247000,3107800000,3516600000,3395300000,3539200000,4847200000
3,Gross Profit,734692000,832057000,925912000,931489000,1275800000,1460400000,1351700000,1013600000,761500000
4,Gross Profit Ratio,0.2027,0.2112,0.2339,0.2302,0.2910,0.2934,0.2847,0.2226,0.1358
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,165978000,156953000,207183000,191213000,196100000,246500000,225700000,192900000,217200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",165978000,156953000,207183000,191213000,196100000,246500000,225700000,192900000,217200000
9,Other Expenses,397465000,435753000,452452000,449871000,799400000,836100000,819900000,533000000,- -
10,Operating Expenses,563443000,592706000,659635000,641084000,995500000,1082600000,1045600000,725900000,217200000
11,COGS and Expenses,3453117000,3701225000,3693095000,3755331000,4103300000,4599200000,4440900000,4265100000,5064400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,8500000,3300000,2100000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,16600000,13600000,12500000
14,Depreciation and Amortization,212557000,230008000,236330000,266031000,279000000,291300000,292900000,290500000,296200000
15,EBITDA,369095000,455871000,475054000,531629000,542400000,655900000,507600000,587000000,850700000
16,EBITDA ratio,0.1018,0.1157,0.1200,0.1314,0.1237,0.1318,0.1069,0.1289,0.1517
17,Operating Income,171249000,239351000,260240000,290405000,280300000,375800000,207800000,286700000,533700000
18,Operating Income ratio,0.0472,0.0607,0.0657,0.0718,0.0639,0.0755,0.0438,0.0630,0.0952
19,Total Other Income Expenses (Gains),-14711000,-13488000,-21516000,-24807000,-16900000,-11200000,-9700000,-3800000,8300000
20,Income Before Tax,156538000,225863000,238724000,265598000,263400000,364600000,198100000,282900000,542000000
21,Income Before Tax Ratio,0.0432,0.0573,0.0603,0.0656,0.0601,0.0733,0.0417,0.0621,0.0966
22,Income Tax expense (Gain),61064000,92295000,97792000,108747000,-126500000,95700000,51100000,71200000,136600000
23,Net Income,95474000,133568000,140932000,156851000,389900000,268900000,147000000,211700000,405400000
24,Net Income ratio,0.0263,0.0339,0.0356,0.0388,0.0889,0.0540,0.0310,0.0465,0.0723
25,EPS,0.55,0.77,0.81,0.90,2.28,1.52,0.83,1.19,2.28
26,EPS Diluted,0.55,0.77,0.81,0.90,2.28,1.52,0.83,1.19,2.28
27,Weighted Average Shares Outstanding,173538390,173538390,173538390,173538390,171100000,177000000,177100000,177300000,177700000
28,Weighted Average Shares Outstanding Diluted,173538390,173538390,173538390,173538390,171300000,177200000,177300000,177600000,177900000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692063/000169206318000056/0001692063-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206319000043/0001692063-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206320000032/0001692063-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206321000056/0001692063-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1692063/000169206322000050/0001692063-22-000050-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,149885000,160676000,130787000,238500000,378700000,551600000,395500000,244800000
32,Short-Term Investments,- -,47739000,50318000,52489000,41600000,51300000,48300000,47100000,49300000
33,Cash and Short-Term Investments,- -,197624000,210994000,183276000,280100000,430000000,599900000,442600000,294100000
34,Net Receivables,- -,545465000,590108000,586002000,655200000,754000000,616200000,655300000,851900000
35,Inventory,- -,44944000,68466000,74126000,83100000,60800000,71900000,44900000,27400000
36,Other Current Assets,- -,40295000,43430000,80244000,75600000,79500000,117700000,77900000,75100000
37,Total Current Assets,- -,828328000,912998000,923648000,1094000000,1324300000,1405700000,1220700000,1248500000
