,https://roic.ai/company/NOVN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,112000,- -,- -,2140000,5991000,4896000,4920000,2958000
2,COGS,- -,- -,- -,- -,- -,23045000,25172000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,-17054000,-20276000,4920000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-2.8466,-4.1413,1.0000,- -
5,Research and Development Exp.,- -,6770000,16569000,46489000,25212000,23045000,25172000,19814000,20416000
6,General and Administrative Exp.,- -,5170000,9265000,13337000,13113000,11507000,10412000,11271000,12343000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5170000,9265000,13337000,13113000,11507000,10412000,11271000,12343000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,11940000,25834000,59826000,38325000,34552000,35584000,31085000,32759000
11,COGS and Expenses,- -,11940000,25834000,59826000,38325000,34552000,35584000,31085000,32759000
12,Interest Income ,- -,58000,48000,81000,- -,297000,177000,51000,13000
13,Interest Expense (Gain),- -,701000,1000,2000,- -,1047000,2000,- -,- -
14,Depreciation and Amortization,- -,462000,631000,757000,1423000,1664000,2033000,1170000,344000
15,EBITDA,- -,-10225000,-25203000,-59069000,-35704000,-9962000,-28606000,-28123000,-29348000
16,EBITDA ratio,- -,-91.2946,-Infinity,-Infinity,-16.6841,-1.6628,-5.8427,-5.7161,-9.9216
17,Operating Income,- -,-11828000,-25834000,-59826000,-36185000,-28561000,-30688000,-30214000,-29915000
18,Operating Income ratio,- -,-105.6071,-Infinity,-Infinity,-16.9089,-4.7673,-6.2680,-6.1411,-10.1133
19,Total Other Income Expenses (Gains),- -,-1275000,48000,127000,-942000,15888000,47000,921000,223000
20,Income Before Tax,- -,-13103000,-25786000,-59699000,-37127000,-12673000,-30641000,-29293000,-29692000
21,Income Before Tax Ratio,- -,-116.9911,-Infinity,-Infinity,-17.3491,-2.1153,-6.2584,-5.9539,-10.0379
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-11388000,-28060000,-59699000,-37127000,-12673000,-30641000,-29293000,-29692000
24,Net Income ratio,- -,-101.6786,-Infinity,-Infinity,-17.3491,-2.1153,-6.2584,-5.9539,-10.0379
25,EPS,- -,-10.19,-29.20,-99.70,-23.20,-4.90,-11.70,-3.00,-1.58
26,EPS Diluted,- -,-10.19,-29.20,-99.70,-23.20,-4.90,-11.70,-3.00,-1.58
27,Weighted Average Shares Outstanding,- -,1117518,962534,598598,1598124,2579572,2625411,9880811,18813653
28,Weighted Average Shares Outstanding Diluted,- -,1117518,962534,598598,1598124,2579572,2625411,9880811,18813653
