,https://roic.ai/company/FELE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,172500000,179000000,184100000,198600000,206400000,241400000,276400000,300700000,- -,303300000,272500000,325700000,322900000,354900000,- -,359500000,439559000,557900000,602000000,745627000,- -,713792000,821077000,891300000,965500000,- -,1047777000,949856000,1124909000,1298129000,1314578000,1247331000,1661865000
2,COGS,130400000,133300000,135200000,144400000,149100000,171900000,206200000,216600000,- -,212700000,187900000,235600000,224800000,250400000,- -,248500000,291745000,366400000,429200000,518702000,- -,483492000,548772000,589700000,633900000,- -,703367000,618450000,747927000,865763000,886475000,814192000,1085776000
3,Gross Profit,42100000,45700000,48900000,54200000,57300000,69500000,70200000,84100000,- -,90600000,84600000,90100000,98100000,104500000,- -,111000000,147814000,191500000,172800000,226925000,- -,230300000,272305000,301600000,331600000,- -,344410000,331406000,376982000,432366000,428103000,433139000,576089000
4,Gross Profit Ratio,0.2441,0.2553,0.2656,0.2729,0.2776,0.2879,0.2540,0.2797,- -,0.2987,0.3105,0.2766,0.3038,0.2944,- -,0.3088,0.3363,0.3433,0.2870,0.3043,- -,0.3226,0.3316,0.3384,0.3434,- -,0.3287,0.3489,0.3351,0.3331,0.3257,0.3473,0.3467
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,4700000,4800000,- -,5100000,4700000,5000000,5200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,40700000,45900000,- -,49200000,42000000,45000000,47500000,54600000,- -,59400000,- -,-102375500000,119700000,- -,- -,- -,- -,186800000,204000000,- -,227711000,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102478000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,40700000,45900000,- -,49200000,42000000,45000000,47500000,54600000,- -,59400000,- -,102500000,119700000,147987000,- -,160864000,- -,186800000,204000000,- -,227711000,- -,- -,- -,- -,- -,386275000
9,Other Expenses,28200000,27700000,29600000,31100000,35200000,39700000,100000,100000,- -,0,-0,3100000,100000,-0,- -,-0,75448000,- -,4000000,- -,- -,- -,177320000,-10300000,3800000,- -,16611000,221209000,265686000,298706000,298451000,300122000,- -
10,Operating Expenses,28200000,27700000,29600000,31100000,35200000,39700000,45500000,50800000,- -,54300000,46700000,53100000,52800000,54600000,- -,59400000,75448000,102500000,123700000,147987000,- -,160864000,177320000,176500000,207800000,- -,244322000,221209000,265686000,298706000,298451000,300122000,386275000
