,https://roic.ai/company/EFSH,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,40000,175000,131250,- -,6410620,7333847,41048138,15448045,30660984
2,COGS,- -,- -,- -,- -,5792626,3487802,31144689,9406228,24468147
3,Gross Profit,- -,175000,- -,- -,617994,3846045,9903449,6041817,6192837
4,Gross Profit Ratio,- -,1.0000,- -,- -,0.0964,0.5244,0.2413,0.3911,0.2020
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,70000,353046,342573,269844,2006092,3922742,11315534,4185442,7296736
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",70000,353046,342573,269844,2006092,3922742,11315534,4185442,7296736
9,Other Expenses,- -,- -,- -,- -,- -,1441898,1623908,13785009,24468147
10,Operating Expenses,70000,353046,342573,269844,2006092,5364640,12939442,17970451,31764883
11,COGS and Expenses,70000,353046,342573,269844,7798718,8852442,44084131,27376679,56233030
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,616383,1099120,1759552,665634,1296537
14,Depreciation and Amortization,- -,- -,- -,- -,1125667,1441898,1982230,276913,379753
15,EBITDA,-30000,-178046,-211323,-269844,178125,764458,292460,-9960139,-4357673
16,EBITDA ratio,-0.7500,-1.0174,-1.6101,-Infinity,0.0278,0.1042,0.0071,-0.6448,-0.1421
17,Operating Income,-30000,-178046,-211323,-269844,-1388098,-1518595,-3035993,-2522406,-1103899
18,Operating Income ratio,-0.7500,-1.0174,-1.6101,-Infinity,-0.2165,-0.2071,-0.0740,-0.1633,-0.0360
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-370166,-804478,-1547793,-941837,-2399119
20,Income Before Tax,-30000,-178046,-211323,-269844,-1758264,-2323073,-4583786,-3464243,-3503018
21,Income Before Tax Ratio,-0.7500,-1.0174,-1.6101,-Infinity,-0.2743,-0.3168,-0.1117,-0.2243,-0.1143
22,Income Tax expense (Gain),- -,- -,- -,- -,-1090088,-781200,-1202363,-698303,-218139
23,Net Income,-30000,-178046,-211323,-269844,-473837,-995360,-2246959,-10204383,-5815824
24,Net Income ratio,-0.7500,-1.0174,-1.6101,-Infinity,-0.0739,-0.1357,-0.0547,-0.6606,-0.1897
25,EPS,-0.75,-0.06,-0.07,-0.09,-0.15,-0.50,-1.07,-2.60,-1.57
26,EPS Diluted,-0.75,-0.06,-0.07,-0.09,-0.15,-0.50,-1.07,-2.60,-1.57
27,Weighted Average Shares Outstanding,40000,3095386,3115500,3115500,3115625,3115625,3152349,3692429,3692429
28,Weighted Average Shares Outstanding Diluted,40000,3095386,3115500,3115500,3115625,3115625,3152349,3692429,3692429
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793215002460/0001477932-15-002460-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793216009759/0001477932-16-009759-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793217001780/0001477932-17-001780-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793219002147/0001477932-19-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390020007912/0001213900-20-007912-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390021021766/0001213900-21-021766-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390022016805/0001213900-22-016805-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,415,- -,501422,333880,238760,1393368,1383533
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,276270,276429
33,Cash and Short-Term Investments,- -,- -,415,- -,501422,333880,238760,1669638,1659962
34,Net Receivables,12500,62500,100000,- -,310363,549568,2453455,859720,3378996
35,Inventory,- -,- -,- -,- -,836571,487690,1615432,2327833,5427302
36,Other Current Assets,15369,369,369,369,174877,145978,1418446,1017339,670514
37,Total Current Assets,27869,62869,100784,369,1823233,1517116,5726093,5874530,11136774
38,PP&E,- -,- -,- -,- -,6099219,4491089,5933262,2324347,4887915
39,Goodwill,- -,- -,- -,- -,22166,22166,4998182,6011984,19452270
40,Intangible Assets,- -,- -,- -,- -,28333,21533,1893577,3893400,11443897
41,Intangible Assets,- -,- -,- -,- -,50499,43699,6891759,9905384,30896167
42,Investments,6,6,6,6,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,635503,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,111504,375,45375,- -,85691
45,Total Non-Current Assets,6,6,6,6,6261222,4535163,13505899,12229731,35869773
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27875,62875,100790,375,8084455,6052279,19231992,18104261,47006547
48,Accounts Payable,23468,208585,402681,561378,1229106,1203435,4017630,3043412,- -
49,Short-Term Debt,- -,446,- -,- -,2329596,826447,8177750,1368236,1406870
50,Tax Payable,- -,- -,- -,- -,126000,8000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,179704,174333,4164296,- -,3465259
52,Other Current Liabilities,15075,42558,98146,108878,126000,8000,303677,3672182,7560337
53,Total Current Liabilities,38543,251589,500827,670256,3864406,2212215,16663353,8083830,12432466
54,Long-Term Debt,- -,- -,- -,- -,453654,4287434,3305717,- -,2607862
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,988601,364601,- -,- -,2070000
57,Other Non-Current Liabilities,- -,- -,- -,- -,3262988,1215096,3261716,- -,28339144
58,Total Non-Current Liabilities,- -,- -,- -,- -,4705243,5867131,6567433,- -,33017006
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,7909960,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3878337,1062396,3200293,859811,- -
61,Total Liabilities,38543,251589,500827,670256,8569649,8079346,23230786,15993790,45449472
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2971427,- -
63,Common Stock,7,7,7,7,623,3115,3165,- -,- -
64,Retained Earnings,-26674,-204720,-416043,-685887,-1159724,-2155084,-4402043,- -,-19914957
