,https://roic.ai/company/TRIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,298246000,352089000,484635000,637063000,762966000,944661000,1246000000,1492000000,1480000000,1556000000,1615000000,1560000000,604000000,902000000
2,COGS,2414000,4569000,7345000,10873000,12074000,17714000,40000000,58000000,71000000,72000000,86000000,94000000,55000000,74000000
3,Gross Profit,295832000,347520000,477290000,626190000,750892000,926947000,1206000000,1434000000,1409000000,1484000000,1529000000,1466000000,549000000,828000000
4,Gross Profit Ratio,0.9919,0.9870,0.9848,0.9829,0.9842,0.9812,0.9679,0.9611,0.9520,0.9537,0.9467,0.9397,0.9089,0.9180
5,Research and Development Exp.,30240000,37074000,53667000,57448000,86640000,130673000,171000000,207000000,243000000,243000000,275000000,- -,- -,- -
6,General and Administrative Exp.,22937000,15873000,34344000,44770000,162281000,228794000,299000000,417000000,386000000,400000000,452000000,481000000,393000000,379000000
7,Selling and Marketing Exp.,98291000,105679000,140470000,209176000,266239000,368353000,502000000,692000000,756000000,849000000,778000000,672000000,316000000,469000000
8,"Selling, General and Administrative Exp.",121228000,121552000,174814000,253946000,428520000,597147000,801000000,1109000000,1142000000,1249000000,1230000000,1153000000,709000000,848000000
9,Other Expenses,11161000,13806000,14609000,25885000,-60564000,-95447000,-106000000,-114000000,-142000000,-132000000,-159000000,126000000,125000000,111000000
10,Operating Expenses,162629000,172432000,243090000,337279000,454596000,632373000,866000000,1202000000,1243000000,1360000000,1346000000,1279000000,834000000,959000000
11,COGS and Expenses,165043000,177001000,250435000,348152000,466670000,650087000,906000000,1260000000,1314000000,1432000000,1432000000,1373000000,889000000,1033000000
12,Interest Income ,4035000,978000,241000,544000,- -,1738000,1000000,1000000,1000000,1000000,7000000,17000000,3000000,1000000
13,Interest Expense (Gain),- -,- -,- -,153000,- -,10074000,9000000,10000000,12000000,15000000,12000000,7000000,35000000,45000000
14,Depreciation and Amortization,16183000,23136000,27480000,25885000,26076000,35226000,65000000,93000000,101000000,111000000,116000000,126000000,125000000,111000000
15,EBITDA,135342000,189888000,251717000,297818000,307532000,330002000,396000000,342000000,264000000,236000000,301000000,327000000,-209000000,-29000000
16,EBITDA ratio,0.4538,0.5393,0.5194,0.4675,0.4031,0.3493,0.3178,0.2292,0.1784,0.1517,0.1864,0.2096,-0.3460,-0.0322
17,Operating Income,124883000,168178000,226300000,272757000,296296000,294574000,340000000,232000000,166000000,124000000,183000000,187000000,-329000000,-131000000
18,Operating Income ratio,0.4187,0.4777,0.4669,0.4281,0.3883,0.3118,0.2729,0.1555,0.1122,0.0797,0.1133,0.1199,-0.5447,-0.1452
19,Total Other Income Expenses (Gains),-243993000,-334718000,-450715000,-863000,-14321000,-9872000,-18000000,7000000,-15000000,-14000000,-10000000,7000000,-40000000,-54000000
20,Income Before Tax,-119110000,-166540000,-224415000,271894000,281975000,284702000,322000000,239000000,151000000,110000000,173000000,194000000,-369000000,-185000000
21,Income Before Tax Ratio,-0.3994,-0.4730,-0.4631,0.4268,0.3696,0.3014,0.2584,0.1602,0.1020,0.0707,0.1071,0.1244,-0.6109,-0.2051
22,Income Tax expense (Gain),46788000,64325000,85461000,94103000,87387000,79259000,96000000,41000000,31000000,129000000,60000000,68000000,-80000000,-37000000
23,Net Income,72371000,102427000,138776000,177677000,194069000,205443000,226000000,198000000,120000000,-19000000,113000000,126000000,-289000000,-148000000
24,Net Income ratio,0.2427,0.2909,0.2864,0.2789,0.2544,0.2175,0.1814,0.1327,0.0811,-0.0122,0.0700,0.0808,-0.4785,-0.1641
25,EPS,0.54,0.77,1.04,1.33,1.39,1.44,1.58,1.38,0.83,-0.14,0.82,0.91,-2.14,-1.10
26,EPS Diluted,0.54,0.77,1.04,1.32,1.37,1.41,1.55,1.36,0.82,-0.14,0.81,0.89,-2.14,-1.10
27,Weighted Average Shares Outstanding,133461000,133461000,133461000,133461000,139461886,142854000,143000000,144000000,145000000,140000000,138000000,139000000,135000000,135000000
28,Weighted Average Shares Outstanding Diluted,133461000,133461000,133461000,134865000,141341351,145263000,146000000,146000000,147000000,140000000,140000000,141000000,135000000,135000000
