,https://roic.ai/company/ONTF,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,82608000,89133000,156941000,203613000
2,COGS,24921000,27141000,33335000,47365000
3,Gross Profit,57687000,61992000,123606000,156248000
4,Gross Profit Ratio,0.6983,0.6955,0.7876,0.7674
5,Research and Development Exp.,14343000,15730000,19275000,34835000
6,General and Administrative Exp.,13299000,14590000,21848000,40940000
7,Selling and Marketing Exp.,46980000,47773000,60640000,104063000
8,"Selling, General and Administrative Exp.",60279000,62363000,82488000,145003000
9,Other Expenses,-850000,- -,- -,- -
10,Operating Expenses,73772000,78093000,101763000,179838000
11,COGS and Expenses,98693000,105234000,135098000,227203000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),1052000,1029000,869000,464000
14,Depreciation and Amortization,1982000,2329000,2974000,4592000
15,EBITDA,-14359000,-13814000,24893000,-19485000
16,EBITDA ratio,-0.1738,-0.1550,0.1586,-0.0957
17,Operating Income,-16085000,-16101000,21843000,-23590000
18,Operating Income ratio,-0.1947,-0.1806,0.1392,-0.1159
19,Total Other Income Expenses (Gains),-1308000,-1071000,-793000,-951000
20,Income Before Tax,-17393000,-17172000,21050000,-24541000
21,Income Before Tax Ratio,-0.2105,-0.1927,0.1341,-0.1205
22,Income Tax expense (Gain),198000,355000,297000,-285000
23,Net Income,-17591000,-17527000,20753000,-24256000
24,Net Income ratio,-0.2129,-0.1966,0.1322,-0.1191
25,EPS,-0.55,-0.49,0.09,-0.51
26,EPS Diluted,-0.55,-0.49,0.09,-0.51
27,Weighted Average Shares Outstanding,37170339,35564370,44472896,47101200
28,Weighted Average Shares Outstanding Diluted,40752755,35564370,44472896,47101200
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1110611/000156459021016284/0001564590-21-016284-index.htm,https://www.sec.gov/Archives/edgar/data/1110611/000111061122000011/0001110611-22-000011-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,6945000,18844000,58243000,164948000
32,Short-Term Investments,2000000,5000000,3000000,217609000
33,Cash and Short-Term Investments,8945000,23844000,61243000,382557000
34,Net Receivables,17914000,22602000,48617000,46117000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,2137000,7791000,17607000,20388000
37,Total Current Assets,28996000,54237000,127467000,449062000
38,PP&E,5676000,5370000,9051000,8780000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,217609000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,34000,8929000,20200000,-194962000
45,Total Non-Current Assets,5710000,14299000,29251000,31427000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,34706000,68536000,156718000,480489000
48,Accounts Payable,1880000,2109000,4730000,3123000
49,Short-Term Debt,1118000,1007000,2359000,2039000
