,https://roic.ai/company/NWYU,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,648678,526652,216382,- -,898153,2832426,2008493
2,COGS,- -,- -,- -,- -,- -,- -,- -,112440,64603,22133,- -,197415,454760,285159
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,536238,462049,194249,- -,700738,2377666,1723334
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.8267,0.8773,0.8977,- -,0.7802,0.8394,0.8580
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27165,51841,101226,14429,28783,206877,385428,1412837,4147709,2212666,- -,689991,3040377,4387337
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437953,1028787,571335
8,"Selling, General and Administrative Exp.",27165,51841,101226,14429,28783,206877,385428,1412837,4147709,2212666,- -,1127944,4069164,4958672
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,1050,1800,1950,- -,- -,- -,- -
10,Operating Expenses,27165,51841,101226,14429,28783,206877,385428,1413887,4149509,2214616,- -,1127944,4069164,4958672
11,COGS and Expenses,27165,51841,101226,14429,28783,206877,385428,1526327,4214112,2236749,- -,1325359,4523924,5243831
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1159,30924,81017,1277320,628110,594931,- -,- -,- -,744152
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,1050,1800,1950,- -,2414,110083,59721
15,EBITDA,-26592,-46841,-51226,-14429,-28783,-206877,-385428,-2538582,-3642830,-7547483,- -,-424792,-1581415,-4242038
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.9135,-6.9170,-34.8804,- -,-0.4730,-0.5583,-2.1121
17,Operating Income,-27165,-51841,-101226,-14429,-28783,-206877,-385428,-2258872,-3691136,-2020367,- -,-427206,-1691498,-3235338
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.4823,-7.0087,-9.3370,- -,-0.4756,-0.5972,-1.6108
19,Total Other Income Expenses (Gains),-573,-5000,-50000,- -,- -,- -,-81017,-1558080,-549418,-6306627,- -,- -,- -,-1810573
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-466445,-3816952,-4240554,-8326994,- -,-427206,-1691498,-5045911
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-5.8842,-8.0519,-38.4828,- -,-0.4756,-0.5972,-2.5123
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800,800,800
23,Net Income,-27738,-56841,-151226,-14429,-29942,-237801,-466445,-3816952,-4272740,-8144364,- -,-428006,-1692298,-5046711
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.8842,-8.1130,-37.6388,- -,-0.4765,-0.5975,-2.5127
25,EPS,-57.79,-118.42,-315.05,-30.06,-62.38,-495.42,-971.76,-4397.41,-3814.95,-55.00,- -,-0.05,-0.06,-0.15
26,EPS Diluted,-57.79,-118.42,-315.05,-30.06,-62.38,-625.00,-1250.00,-4397.41,-3814.95,-55.00,- -,-0.05,-0.06,-0.15
27,Weighted Average Shares Outstanding,480,480,480,480,480,480,480,868,1120,147898,- -,8218053,26343136,34480966
28,Weighted Average Shares Outstanding Diluted,480,480,480,480,480,480,480,868,1120,147898,- -,8218053,26343136,34480966
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372184/000117892413000063/0001178924-13-000063-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246314000537/0001262463-14-000537-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246315000435/0001262463-15-000435-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246318000119/0001262463-18-000119-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1372184/000126246320000128/0001262463-20-000128-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246321000128/0001262463-21-000128-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,58730,20326,4431,2531,197266,4581,8583,120875,15293,2433,- -,27310,1125,45102
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,58730,20326,4431,2531,197266,4581,8583,120875,15293,2433,- -,27310,1125,45102
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,123227,75447,95524,- -,30085,23715,1952
35,Inventory,- -,- -,- -,- -,- -,- -,- -,64701,39752,71911,- -,49862,147780,79438
36,Other Current Assets,5000,5000,5000,- -,- -,- -,- -,8410,15150,- -,- -,34415,5000,8212
37,Total Current Assets,63730,25326,9431,2531,197266,4581,8583,317213,145642,169868,- -,141672,177620,134704
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62384
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13935,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13935,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,8968,8935,6985,- -,31587,122105,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,8968,8935,20920,- -,31587,122105,62384
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63730,25326,9431,2531,197266,4581,8583,326181,154577,190788,- -,173259,299725,197088
48,Accounts Payable,433,945,15191,19230,19159,3570,- -,16828,13100,52564,- -,244593,672112,450112
49,Short-Term Debt,- -,- -,110000,110000,321089,370000,720000,95000,259237,1200496,- -,229672,497147,969223
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,8925,11010,10000,23659,35453,159470,653508,898526,245115,- -,- -,63410,1176087
53,Total Current Liabilities,433,9870,136201,139230,363907,409023,879470,765336,1170863,1498175,- -,474265,1232669,2595422
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,730448,232237,190000,- -,- -,- -,128877
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,38025,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,730448,232237,189999,- -,- -,38025,128877
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101435,82281
61,Total Liabilities,433,9870,136201,139230,363907,409023,879470,1495784,1403100,1688174,- -,474265,1270694,2724299
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,210,230,- -,- -,- -,- -
63,Common Stock,60,60,60,60,60,300,300,543,700,231,- -,160,330,395
64,Retained Earnings,-47253,-104094,-255320,-269749,-299691,-537492,-1003937,-4820889,-9093629,-17205242,- -,-428006,-2120304,-7167015
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,110490,119490,128490,132990,132990,132750,132750,3650743,7812010,15387552,- -,126840,1149005,4639409
67,Total Stockholders Equity,63297,15456,-126770,-136699,-166641,-404442,-870887,-1169603,-1280709,-1817229,- -,-301006,-970969,-2527211
68,Total Liabilities And Stockholders Equity,63730,25326,9431,2531,197266,4581,8583,326181,122391,-129055,- -,173259,299725,197088
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,32186,319843,- -,- -,- -,- -
70,Total Liabilities & Equity,63730,25326,9431,2531,197266,4581,8583,326181,154577,190788,- -,173259,299725,197088
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372184/000117892413000063/0001178924-13-000063-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246314000537/0001262463-14-000537-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246315000435/0001262463-15-000435-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246318000119/0001262463-18-000119-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1372184/000126246320000128/0001262463-20-000128-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246321000128/0001262463-21-000128-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-27738,-56841,-151226,-14429,-29942,-237801,-466445,-3816952,-4272740,-8144364,- -,-428006,-1692298,-5046711
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,1050,1800,1950,- -,2414,110083,59721
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,10000,- -,978724,- -,- -,677605,2787568
77,Change in Working Capital,-10082,9437,16331,8029,13588,-3795,110447,-16463,216775,20135,- -,130231,543630,5863
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-51045,51045,- -,- -,-19603,-122804,21763
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-31394,24949,-32159,- -,-49862,-97918,68342
80,Accounts Payable,-5082,512,14246,4039,-71,-15589,27530,- -,- -,- -,- -,244593,818496,-61876
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-1100,-72182,-3265,-20077,- -,- -,- -,- -
82,Other Non-Cash Items,9000,9000,9000,4500,- -,- -,- -,3379825,3798401,6036257,- -,- -,- -,1707190
83,Cash Provided by Operating Activities,-28820,-38404,-125895,-1900,-16354,-241596,-355998,-442540,-255764,-1107298,- -,-295361,-360980,-486369
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-10018,-1767,-13935,- -,-34001,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13935,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-10018,-1767,-13935,- -,-34001,- -,- -
90,Debt Repayment,-12450,- -,- -,- -,-2366,- -,- -,-92600,-170986,-220737,- -,- -,-424505,-244712
91,Common Stock Issued,100000,- -,- -,- -,- -,- -,- -,1388700,150002,1169110,- -,127000,361300,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1030000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,110000,- -,213455,48911,360000,298750,172933,160000,- -,229672,398000,775058
95,Cash Used/Provided by Financing Activities,87550,- -,110000,- -,211089,48911,360000,564850,151949,1108373,- -,356672,334795,530346
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,87550,-38404,-15895,-1900,194735,-192685,4002,112292,-105582,-12860,- -,356672,-26185,43977
98,Cash at the End of Period,58730,20326,4431,2531,197266,4581,8583,120875,15293,2433,- -,27310,1125,45102
99,Cash at the Beginning of Period,- -,58730,20326,4431,2531,197266,4581,8583,120875,15293,- -,- -,27310,1125
100,Free Cash Flow,-28820,-38404,-125895,-1900,-16354,-241596,-355998,-452558,-257531,-1121233,- -,-329362,-360980,-486369
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372184/000117892413000063/0001178924-13-000063-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246314000537/0001262463-14-000537-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246315000435/0001262463-15-000435-index.htm,https://www.sec.gov/Archives/edgar/data/1372184/000126246318000119/0001262463-18-000119-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1372184/000126246320000128/0001262463-20-000128-index.html,https://www.sec.gov/Archives/edgar/data/1372184/000126246321000128/0001262463-21-000128-index.htm
102,false,,,,,,,,,,,,,,
