,https://roic.ai/company/LH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,313900000,402400000,501900000,603900000,721400000,760500000,872500000,1432000000,1607700000,1519000000,1612600000,1698700000,1919300000,2199800000,2507700000,2939400000,3084800000,3327600000,3590800000,4068200000,4505200000,4694700000,5003900000,5542300000,5671400000,5808300000,6011600000,8680100000,9641800000,10441400000,11333400000,11554800000,13978500000,16120900000
2,COGS,- -,211300000,260900000,310500000,376500000,421400000,568900000,978900000,1129000000,1024300000,995800000,1016300000,1096600000,1274200000,1445900000,1714800000,1795500000,1937300000,2061400000,2377000000,2631400000,2723800000,2906100000,3267600000,3421700000,3585100000,3808500000,5776800000,6461300000,6977400000,8157000000,8302300000,9025700000,10496600000
3,Gross Profit,- -,191100000,241000000,293400000,344900000,339100000,303600000,453100000,478700000,494700000,616800000,682400000,822700000,925600000,1061800000,1224600000,1289300000,1390300000,1529400000,1691200000,1873800000,1970900000,2097800000,2274700000,2249700000,2223200000,2203100000,2903300000,3180500000,3464000000,3176400000,3252500000,4952800000,5624300000
4,Gross Profit Ratio,- -,0.4749,0.4802,0.4858,0.4781,0.4459,0.3480,0.3164,0.2978,0.3257,0.3825,0.4017,0.4286,0.4208,0.4234,0.4166,0.4180,0.4178,0.4259,0.4157,0.4159,0.4198,0.4192,0.4104,0.3967,0.3828,0.3665,0.3345,0.3299,0.3318,0.2803,0.2815,0.3543,0.3489
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,149300000,313500000,490000000,499900000,405000000,448200000,483000000,516500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,65000000,82200000,97900000,117900000,121400000,149300000,313500000,490000000,499900000,405000000,448200000,483000000,516500000,585500000,651800000,649100000,703900000,779100000,808700000,935100000,958900000,1034300000,1159600000,1114600000,1128800000,1198200000,1622000000,1630200000,1812400000,1570900000,1624500000,1729300000,1952100000
9,Other Expenses,- -,13300000,18400000,22000000,26900000,32200000,44400000,72400000,84500000,86800000,84200000,84500000,89600000,41500000,23800000,37600000,42700000,51400000,52200000,54900000,57900000,62600000,72700000,85800000,86300000,81700000,76700000,164500000,179500000,216500000,231700000,243200000,275400000,369600000
