,https://roic.ai/company/HUIZ,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,263332000,508828000,993319000,1220222000,2245016000
2,COGS,166669000,318302000,631368000,816353000,1690757000
3,Gross Profit,96663000,190526000,361951000,403869000,554259000
4,Gross Profit Ratio,0.3671,0.3744,0.3644,0.3310,0.2469
5,Research and Development Exp.,50107000,24944000,33831000,49135000,120478000
6,General and Administrative Exp.,35000000,39090000,148849000,135420000,197619000
7,Selling and Marketing Exp.,104980000,94613000,164665000,230438000,350573000
8,"Selling, General and Administrative Exp.",139980000,133703000,313514000,365858000,548192000
9,Other Expenses,2792000,3337000,4961000,5720000,- -
10,Operating Expenses,192879000,161984000,352306000,420713000,668670000
11,COGS and Expenses,359548000,480286000,983674000,1237066000,2359427000
12,Interest Income ,655000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,27111000,190000,1157000,3206000
14,Depreciation and Amortization,3562000,3082000,3779000,13516000,- -
15,EBITDA,-93205000,33623000,18928000,-1851000,-104460000
16,EBITDA ratio,-0.3539,0.0661,0.0191,-0.0015,-0.0465
17,Operating Income,-100301000,24792000,1639000,-25911000,-114411000
18,Operating Income ratio,-0.3809,0.0487,0.0017,-0.0212,-0.0510
19,Total Other Income Expenses (Gains),2673000,-22896000,13566000,9148000,4034000
20,Income Before Tax,-97628000,1896000,15205000,-16763000,-110377000
21,Income Before Tax Ratio,-0.3707,0.0037,0.0153,-0.0137,-0.0492
22,Income Tax expense (Gain),406000,278000,57000,1768000,- -
23,Net Income,-97173000,3152000,14902000,-18292000,-107666000
24,Net Income ratio,-0.3690,0.0062,0.0150,-0.0150,-0.0480
25,EPS,-1.66,0.08,-0.49,-0.40,-1.03
26,EPS Diluted,-1.66,0.08,-0.49,-0.40,-1.00
27,Weighted Average Shares Outstanding,45477370,44034818,51317829,48190881,104899000
28,Weighted Average Shares Outstanding Diluted,45558009,44034818,51317829,48190881,107486000
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,12261000,6640000,88141000,404618000,381158000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12261000,6640000,88141000,404618000,381158000
34,Net Receivables,83272000,129612000,190555000,235906000,778607000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,42900000,164738000,182829000,367831000,260919000
37,Total Current Assets,138433000,300990000,461525000,1008355000,1420684000
38,PP&E,8373000,6354000,8006000,277603000,296280000
39,Goodwill,- -,- -,- -,461000,461000
40,Intangible Assets,1206000,1197000,1652000,2030000,21626000
41,Intangible Assets,1206000,1197000,1652000,2491000,- -
42,Investments,17765000,21575000,23395000,46084000,73001000
43,Tax Assets,- -,137000,64000,605000,605000
44,Other Non-Current Assets,- -,3831000,14163000,838000,66884000
45,Total Non-Current Assets,27344000,33094000,47280000,327621000,436770000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,165777000,334084000,508805000,1335976000,1857454000
48,Accounts Payable,15453000,73448000,124441000,227532000,680369000
49,Short-Term Debt,- -,33061000,36880000,44303000,231596000
50,Tax Payable,2480000,5537000,7675000,15237000,2440000
51,Deferred Revenue,- -,- -,- -,- -,7236000
52,Other Current Liabilities,145192000,174661000,200462000,284731000,303040000
53,Total Current Liabilities,160645000,281170000,361783000,556566000,1222241000
54,Long-Term Debt,23026000,15804000,- -,305966000,269183000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,248000,575000,530000,605000,4892000
57,Other Non-Current Liabilities,367228000,- -,455145000,4156000,225000
58,Total Non-Current Liabilities,390502000,16379000,455675000,310727000,274300000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,264869000,264069000
61,Total Liabilities,551147000,297549000,817458000,867293000,1496541000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,31000,62000,33000,72000,72000
64,Retained Earnings,-392036000,-388884000,-373982000,-392274000,-499940000
65,Other Comprehensive Income/Loss,- -,295000,414000,-21972000,-27295000
66,Other Total Stockholders Equity,5901000,424520000,64882000,882857000,887227000
67,Total Stockholders Equity,-386104000,35993000,-308653000,468683000,360064000
68,Total Liabilities And Stockholders Equity,165043000,333542000,508805000,1335976000,1856605000
69,Minority Interest,734000,542000,- -,- -,849000
70,Total Liabilities & Equity,165777000,334084000,508805000,1335976000,1857454000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-97173000,3152000,14902000,-18292000,- -
