,https://roic.ai/company/OPNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1550000,9897595,18445996,13982177,40519800,29625181,47785478
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491099,7720280,6196706,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,1550000,- -,- -,12491078,32799520,23428475,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,0.8934,0.8095,0.7908,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,506169,282670,464609,2414973,1747077,3171599,8478817,9079351,9240020,16833537
6,General and Administrative Exp.,- -,17924,14719,2016710,9435787,11829537,4001904,10838760,6034520,15571080,6530533,11263804,12197111,11742540,12152935
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,317917,1651099,213897,611571,4686932,4576263
8,"Selling, General and Administrative Exp.",- -,17924,14719,2016710,9435787,11829537,4001904,10838760,6034520,15888997,8181632,11477701,12808682,16429472,16729198
9,Other Expenses,33605,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13725000,- -,- -,9066432
10,Operating Expenses,33605,17924,14719,2016710,9435787,12335706,4284574,11303369,8449493,17636074,11353231,33681518,21888033,25669492,42629167
11,COGS and Expenses,33605,17924,14719,2016710,9435787,12335706,4284574,11303369,8449493,17636074,11353231,35172617,29608313,31866198,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23682,- -,- -,93877,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,61389,553045,160303,28232,11890,3716,- -,- -,131007,-2128962
14,Depreciation and Amortization,- -,- -,- -,508,1016,1373,1373,1372,1373,2389,5140,2556,237789,608473,- -
15,EBITDA,-33605,-17924,-57882,-2016202,-9434771,-12334333,-4283201,-11301997,-7008268,-7799977,7139943,-21141477,11653604,-1547648,904098
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.5215,-0.7881,0.3871,-1.5120,0.2876,-0.0522,0.0189
17,Operating Income,-33605,-17924,-14719,-2016710,-9435787,-12335706,-4284574,-11303369,-6899493,-7738479,7092765,-21190440,10911487,-2241017,5156311
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.4513,-0.7819,0.3845,-1.5155,0.2693,-0.0756,0.1079
19,Total Other Income Expenses (Gains),- -,- -,43163,- -,- -,-85482,-370919,-179449,-138380,-75777,38322,46407,504328,-46111,-2123251
20,Income Before Tax,- -,- -,28444,-2016710,-9435787,-12421188,-4655493,-11482818,-7037873,-7814256,7131087,-21144033,11415815,-2287128,3033060
21,Income Before Tax Ratio,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.5406,-0.7895,0.3866,-1.5122,0.2817,-0.0772,0.0635
