,https://roic.ai/company/BBIO,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,40560000,8249000,69716000
2,COGS,- -,- -,2500000,- -,- -
3,Gross Profit,- -,- -,38060000,8249000,- -
4,Gross Profit Ratio,- -,- -,0.9384,1.0000,- -
5,Research and Development Exp.,30556000,140073000,209947000,337047000,454138000
6,General and Administrative Exp.,13302000,43587000,94353000,145684000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13302000,43587000,94353000,145684000,192210000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,43858000,183660000,304300000,482731000,646348000
11,COGS and Expenses,43858000,183660000,306800000,482731000,646348000
12,Interest Income ,39000,2004000,8915000,4015000,1133000
13,Interest Expense (Gain),13000,2547000,8765000,36655000,46778000
14,Depreciation and Amortization,260000,245000,- -,3088000,5843000
15,EBITDA,-43819000,-182977000,-251822000,-408981000,-509918000
16,EBITDA ratio,-Infinity,-Infinity,-6.2086,-49.5795,-7.3142
17,Operating Income,-43858000,-183660000,-266240000,-474482000,-576632000
18,Operating Income ratio,-Infinity,-Infinity,-6.5641,-57.5199,-8.2712
19,Total Other Income Expenses (Gains),26000,14209000,-22345000,-31006000,-9822000
20,Income Before Tax,-43832000,-169451000,-288585000,-505488000,-586454000
21,Income Before Tax Ratio,-Infinity,-Infinity,-7.1150,-61.2787,-8.4120
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-30565000,-130749000,-260587000,-448724000,-562539000
24,Net Income ratio,-Infinity,-Infinity,-6.4247,-54.3974,-8.0690
25,EPS,-0.33,-2.33,-2.48,-3.80,-4.77
26,EPS Diluted,-0.33,-2.33,-2.48,-3.80,-4.77
27,Weighted Average Shares Outstanding,92330072,61724592,105099089,117995457,117995457
28,Weighted Average Shares Outstanding Diluted,92330072,61724592,105099089,117995457,117995457
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743881/000156459020008260/0001564590-20-008260-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000156459021008969/0001564590-21-008969-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000095017022002030/0000950170-22-002030-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,91995000,436086000,363773000,356082000,393772000
32,Short-Term Investments,- -,- -,182220000,251011000,- -
33,Cash and Short-Term Investments,91995000,436086000,545993000,607093000,393772000
34,Net Receivables,- -,- -,- -,- -,19749000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,5136000,9137000,22629000,35731000,426189000
37,Total Current Assets,97131000,445223000,568622000,642824000,839710000
38,PP&E,440000,1575000,5625000,36833000,45973000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,44934000
42,Investments,- -,17050000,31144000,- -,49148000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,473000,1093000,26288000,23931000,33027000
45,Total Non-Current Assets,913000,19718000,63057000,60764000,173082000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,98044000,464941000,631679000,703588000,1012792000
48,Accounts Payable,1885000,13509000,8852000,8945000,11884000
49,Short-Term Debt,- -,- -,8000000,5253000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,6665000,19068000,43533000,81450000,118247000
53,Total Current Liabilities,8550000,32577000,60385000,95648000,130131000
54,Long-Term Debt,- -,54507000,91791000,475857000,1726171000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,145012000,479482000,5770000,25827000,23492000
58,Total Non-Current Liabilities,145012000,533989000,97561000,501684000,1749663000
59,Other Liabilities,- -,- -,- -,- -,- -
