,https://roic.ai/company/CPHC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8400000,17700000,17400000,18200000,19200000,20300000,32463416,39492037,41701314,47845739,54899292,55223259,55839697,52879556,46025407,39588583,39920184,40586426,45460647,46736437,48469837,52263053,52460203,56952776,59141570,59226857,33140272,60399698
2,COGS,5800000,11300000,9900000,10900000,10400000,11200000,13873915,12213608,34718119,11142456,20897779,19779679,15676463,18948107,3318263,2937619,11057218,10703164,31072454,32144955,31836620,33962609,34878923,36007674,37554572,38967384,23538271,2436618
3,Gross Profit,2600000,6400000,7500000,7300000,8800000,9100000,18589501,27278429,6983195,36703283,34001513,35443580,40163234,33931449,42707144,36650964,28862966,29883262,14388193,14591482,16633217,18300444,17581280,20945102,21586998,20259473,9602001,57963080
4,Gross Profit Ratio,0.3095,0.3616,0.4310,0.4011,0.4583,0.4483,0.5726,0.6907,0.1675,0.7671,0.6193,0.6418,0.7193,0.6417,0.9279,0.9258,0.7230,0.7363,0.3165,0.3122,0.3432,0.3502,0.3351,0.3678,0.3650,0.3421,0.2897,0.9597
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2000000,5900000,6000000,5900000,7000000,7500000,15924723,22944173,1810993,27607359,22886813,25222953,30308817,25244693,34208335,26452619,18812625,18615912,- -,- -,- -,- -,- -,4376420,4491719,4983587,3340116,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2247878,2372159,2376076,1843832,1592930,1493401,1330485,1314649,1090772,1495186,1728192,1901646,1978290,2331719,2715245,2499345,2152260,377412,1677424
8,"Selling, General and Administrative Exp.",2000000,5900000,6000000,5900000,7000000,7500000,15924723,22944173,1810993,29855237,25258972,27599029,32152649,26837623,35701736,27783104,20127274,19706684,1495186,1728192,1901646,1978290,2331719,7091665,6991064,7135847,3717528,1677424
9,Other Expenses,1600000,1100000,1200000,1200000,1300000,1000000,1170341,1247429,1370338,1588986,1975296,2398602,2831051,2937588,6290301,8642673,10012811,9129677,10933233,11153233,11589743,13210662,13441883,9470634,9219915,9437149,7612783,41204368
10,Operating Expenses,3600000,7000000,7200000,7100000,8300000,8500000,17095064,24191602,3181331,31444223,27234268,29997631,34983700,29775211,41992037,36425777,30140085,28836361,12428419,12881425,13491389,15188952,15773602,16562299,16210979,16572996,11330311,42881792
11,COGS and Expenses,9400000,18300000,17100000,18000000,18700000,19700000,30968979,36405210,37899450,42586679,48132047,49777310,50660163,48723318,45310300,39363396,41197303,39539525,43500873,45026380,45328009,49151561,50652525,52569973,53765551,55540380,34868582,45318410
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280729,333066,120162,40172,13138,6650,6702,2684,2407,3005,29807,49624,61515,- -,663571,- -
13,Interest Expense (Gain),200000,200000,200000,- -,100000,- -,126045,6836,8321,3116,16406,11419,1521,3863,12389,4589,225,802,- -,- -,- -,201,51059,- -,- -,- -,- -,- -
14,Depreciation and Amortization,400000,700000,800000,900000,900000,800000,909345,1064407,1152298,1158458,1311124,1672827,1834012,1999006,2141023,2094174,2043758,1894277,1772760,1861702,2137778,2297613,2547772,2529437,2563579,2679728,2748514,2844647
15,EBITDA,-700000,- -,1100000,1000000,1400000,1300000,2517599,4214698,4991423,6460355,8128254,7249568,7294275,6488310,2976292,2359533,779777,2947828,3739236,3598195,6240110,6914485,9718811,7100218,10272023,6642265,2559683,18642200
