,https://roic.ai/company/CMMB,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,3783000,6334000
6,General and Administrative Exp.,7180000,6033000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",7180000,6033000
9,Other Expenses,- -,- -
10,Operating Expenses,10963000,12367000
11,COGS and Expenses,10963000,12367000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),6000,- -
14,Depreciation and Amortization,80000,34000
15,EBITDA,-10863000,-12367000
16,EBITDA ratio,-Infinity,-Infinity
17,Operating Income,-10963000,- -
18,Operating Income ratio,-Infinity,- -
19,Total Other Income Expenses (Gains),-646000,-111000
20,Income Before Tax,-11609000,-12478000
21,Income Before Tax Ratio,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -
23,Net Income,-11609000,-12478000
24,Net Income ratio,-Infinity,-Infinity
25,EPS,-1.02,-0.34
26,EPS Diluted,-1.02,-0.34
27,Weighted Average Shares Outstanding,11404500,11404500
28,Weighted Average Shares Outstanding Diluted,11404500,11404500
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1534248/000110465921033822/0001104659-21-033822-index.htm,https://www.sec.gov/Archives/edgar/data/1534248/000117891322001304/0001178913-22-001304-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,5392000,14686000
32,Short-Term Investments,- -,46475000
33,Cash and Short-Term Investments,5392000,61161000
34,Net Receivables,- -,1527000
35,Inventory,- -,- -
36,Other Current Assets,724000,- -
37,Total Current Assets,6116000,62688000
38,PP&E,12000,702000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,51000,963000
45,Total Non-Current Assets,63000,1665000
46,Other Assets,- -,- -
47,Total Assets,6179000,64353000
48,Accounts Payable,678000,1336000
49,Short-Term Debt,16000,106000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,1892000,1208000
53,Total Current Liabilities,2586000,2650000
54,Long-Term Debt,16000,237000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,- -,- -
58,Total Non-Current Liabilities,16000,237000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,343000
61,Total Liabilities,2602000,2887000
62,Preferred Stock,- -,- -
63,Common Stock,- -,- -
64,Retained Earnings,-117040000,-36173000
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,120617000,97639000
67,Total Stockholders Equity,3577000,61466000
68,Total Liabilities And Stockholders Equity,6179000,64353000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,6179000,64353000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1534248/000110465921033822/0001104659-21-033822-index.htm,https://www.sec.gov/Archives/edgar/data/1534248/000117891322001304/0001178913-22-001304-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-11609000,-12478000
74,Depreciation and Amortization,80000,34000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,-20000,- -
77,Change in Working Capital,-1405000,56508000
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,-197000,- -
81,Other Working Capital,3530000,60038000
82,Other Non-Cash Items,242000,-56438000
83,Cash Provided by Operating Activities,-12712000,-12374000
84,CAPEX,-34000,-239000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,136000,-44947000
89,Cash Used for Investing Activites,102000,-45186000
90,Debt Repayment,- -,- -
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,297000,61074000
95,Cash Used/Provided by Financing Activities,297000,61074000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,-12313000,9849000
98,Cash at the End of Period,5392000,15241000
99,Cash at the Beginning of Period,17705000,5392000
100,Free Cash Flow,-12746000,-12613000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1534248/000110465921033822/0001104659-21-033822-index.htm,https://www.sec.gov/Archives/edgar/data/1534248/000117891322001304/0001178913-22-001304-index.htm
102,false,,
