,https://roic.ai/company/GTES,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,3042200000,2745100000,2747000000,3041700000,3347600000,3087100000,- -,2793000000
2,COGS,2015200000,1709000000,1686200000,1823700000,2017000000,1944600000,- -,1758300000
3,Gross Profit,1027000000,1036100000,1060800000,1218000000,1330600000,1142500000,- -,1034700000
4,Gross Profit Ratio,0.3376,0.3774,0.3862,0.4004,0.3975,0.3701,- -,0.3705
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,815700000,784500000,744100000,779600000,805800000,777300000,- -,776900000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",815700000,784500000,744100000,779600000,805800000,777300000,- -,776900000
9,Other Expenses,-5500000,-400000,2900000,-300000,14300000,18400000,- -,-1000000
10,Operating Expenses,810200000,784100000,747000000,779300000,820100000,795700000,- -,775900000
11,COGS and Expenses,2825400000,2493100000,2433200000,2603000000,2837100000,2740300000,- -,2534200000
12,Interest Income ,2000000,1800000,3000000,4600000,3700000,5700000,- -,4300000
13,Interest Expense (Gain),173100000,212600000,216300000,234600000,150300000,157800000,- -,140800000
14,Depreciation and Amortization,248500000,269900000,240800000,212200000,218500000,222200000,- -,218600000
15,EBITDA,227600000,498200000,535900000,525600000,645900000,574200000,- -,419500000
16,EBITDA ratio,0.0748,0.1815,0.1951,0.1728,0.1929,0.1860,- -,0.1502
17,Operating Income,-400000,184600000,298800000,400400000,496800000,346800000,- -,211100000
18,Operating Income ratio,-0.0001,0.0672,0.1088,0.1316,0.1484,0.1123,- -,0.0756
19,Total Other Income Expenses (Gains),-124600000,-142900000,-205900000,-290900000,-193300000,-148000000,- -,-140100000
20,Income Before Tax,-125000000,41700000,92900000,109500000,303500000,198800000,- -,71000000
21,Income Before Tax Ratio,-0.0411,0.0152,0.0338,0.0360,0.0907,0.0644,- -,0.0254
22,Income Tax expense (Gain),-51900000,-9200000,21100000,-72500000,31800000,-495900000,- -,-19300000
23,Net Income,-142100000,24900000,57700000,151300000,245300000,690100000,- -,79400000
24,Net Income ratio,-0.0467,0.0091,0.0210,0.0497,0.0733,0.2235,- -,0.0284
25,EPS,-0.50,0.09,0.13,0.53,0.86,2.38,- -,0.27
26,EPS Diluted,-0.50,0.09,0.13,0.53,0.84,2.37,- -,0.27
27,Weighted Average Shares Outstanding,283974605,283974605,283974605,283974605,285232558,289957983,- -,294074074
28,Weighted Average Shares Outstanding Diluted,283974605,283974605,283974605,283974605,291698273,291627461,- -,294074074
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1718512/000119312518082737/0001193125-18-082737-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1718512/000171851220000013/0001718512-20-000013-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1718512/000171851221000012/0001718512-21-000012-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,335700000,527200000,564400000,423400000,635300000,- -,521400000
32,Short-Term Investments,- -,3500000,2600000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,339200000,529800000,564400000,423400000,635300000,- -,521400000
34,Net Receivables,- -,625900000,659400000,727900000,749500000,716800000,- -,723600000
35,Inventory,- -,415700000,366900000,457100000,537600000,475100000,- -,508200000
36,Other Current Assets,- -,66400000,68600000,76800000,104100000,131400000,- -,153400000
37,Total Current Assets,- -,1447200000,1624700000,1826200000,1814600000,1958600000,- -,1906600000
38,PP&E,- -,660600000,599600000,686200000,756300000,850900000,- -,825900000
39,Goodwill,- -,2006200000,1912300000,2085500000,2045900000,2060500000,- -,2120200000
40,Intangible Assets,- -,2334300000,2144100000,2126800000,1990600000,1876000000,- -,1788600000
41,Intangible Assets,- -,4340500000,4056400000,4212300000,4036500000,3936500000,- -,3908800000
42,Investments,- -,4100000,3900000,- -,- -,- -,- -,- -
43,Tax Assets,- -,3100000,2400000,- -,- -,369300000,- -,672600000
44,Other Non-Current Assets,- -,110100000,96300000,129000000,115200000,296000000,- -,112400000
45,Total Non-Current Assets,- -,5118400000,4758600000,5027500000,4908000000,5452700000,- -,5519700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6565600000,6383300000,6853700000,6722600000,7411300000,- -,7426300000
48,Accounts Payable,- -,274000000,313100000,392000000,424000000,374700000,- -,417400000
49,Short-Term Debt,- -,88400000,47000000,66400000,51600000,46100000,- -,42700000
50,Tax Payable,- -,20800000,20300000,29000000,19200000,48500000,- -,14000000
51,Deferred Revenue,- -,- -,- -,- -,- -,587000000,- -,- -
52,Other Current Liabilities,- -,202800000,219400000,239400000,203400000,-349700000,- -,266200000
53,Total Current Liabilities,- -,565200000,579500000,697800000,679000000,658100000,- -,726300000
54,Long-Term Debt,- -,3819300000,3790000000,3889300000,2953400000,2913700000,- -,2666000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,714700000,652300000,517100000,439500000,369300000,- -,360400000
57,Other Non-Current Liabilities,- -,273800000,293100000,321100000,317000000,819200000,- -,488600000
58,Total Non-Current Liabilities,- -,4807800000,4735400000,4727500000,3709900000,4102200000,- -,3515000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1600000,1400000,- -,- -,116200000,- -,113600000
61,Total Liabilities,- -,5373000000,5314900000,5425300000,4388900000,4760300000,- -,4241300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2500000,2900000,2900000,- -,2900000
64,Retained Earnings,- -,-72000000,-14300000,136900000,381900000,1072000000,- -,1151400000
65,Other Comprehensive Income/Loss,- -,-759900000,-915900000,-747400000,-854300000,-858400000,- -,-805400000
66,Other Total Stockholders Equity,- -,1417800000,1315500000,1622600000,- -,2434500000,- -,2456800000
67,Total Stockholders Equity,- -,786300000,691300000,1014600000,1947400000,2651000000,- -,2805700000
68,Total Liabilities And Stockholders Equity,- -,6159300000,6006200000,6439900000,6336300000,7411300000,- -,7047000000
69,Minority Interest,- -,406300000,377100000,413800000,386300000,- -,- -,379300000
70,Total Liabilities & Equity,- -,6565600000,6383300000,6853700000,6722600000,7411300000,- -,7426300000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1718512/000119312518082737/0001193125-18-082737-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1718512/000171851220000013/0001718512-20-000013-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1718512/000171851221000012/0001718512-21-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-142100000,24900000,57700000,151300000,245300000,690100000,- -,79400000
74,Depreciation and Amortization,248500000,269900000,240800000,212200000,218500000,222200000,- -,218600000
75,Deferred Income Tax,-117100000,-67400000,-54300000,-162800000,-64900000,-648400000,- -,-47700000
76,Stock Based Compensation,11800000,4300000,4200000,5400000,6000000,15000000,- -,19800000
77,Change in Working Capital,72700000,163200000,83200000,7200000,164900000,-120200000,- -,200700000
78,Accounts Receivable,-38200000,4300000,-44800000,-24600000,-49600000,41800000,- -,9700000
79,Inventory,127000000,9500000,39500000,-45400000,-96100000,65100000,- -,-22100000
80,Accounts Payable,-14500000,46500000,50200000,49900000,42100000,-48200000,- -,28600000
81,Other Working Capital,882000000,1045200000,1128400000,1135600000,1300500000,1180300000,- -,1381000000
82,Other Non-Cash Items,7700000,-119000000,40000000,100200000,-256300000,190200000,- -,-161800000
83,Cash Provided by Operating Activities,81500000,275900000,371600000,313500000,313500000,348900000,- -,309000000
84,CAPEX,-103200000,-85800000,-68100000,-111100000,-182700000,-83100000,- -,-67400000
85,Acquisitions Net,-3710600000,- -,-600000,-110700000,-50900000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,700000,- -,- -,- -,- -,- -
88,Other Investing Activites,5600000,18000000,-1200000,-8800000,-26600000,-5900000,- -,-19300000
89,Cash Used for Investing Activites,-3801700000,-60500000,-60100000,-220600000,-243600000,-78000000,- -,-77500000
90,Debt Repayment,-1813400000,-52500000,-67300000,-676900000,-960500000,-593100000,- -,-331200000
91,Common Stock Issued,1599000000,12200000,1100000,600000,799700000,1800000,- -,3100000
92,Common Stock Repurchased,-12900000,-1500000,-2000000,-1600000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3969600000,-32100000,-42600000,602600000,-38100000,532000000,- -,-25700000
95,Cash Used/Provided by Financing Activities,3742300000,-73900000,-110800000,-75300000,-198900000,-59300000,- -,-353800000
96,Effect of Forex Changes on Cash,-10000000,-14200000,-9200000,19600000,-12400000,400000,- -,9800000
97,Net Change In Cash,12100000,127300000,191500000,37200000,-141400000,212000000,- -,-112500000
98,Cash at the End of Period,350200000,335700000,527200000,564400000,424600000,636600000,- -,524100000
99,Cash at the Beginning of Period,338100000,208400000,335700000,527200000,566000000,424600000,- -,636600000
100,Free Cash Flow,-21700000,190100000,303500000,202400000,130800000,265800000,- -,241600000
