,https://roic.ai/company/VRDN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,4406042,4316484,4320000,2538000,3337000,4003000,8386000,4461000,1050000,2963000
2,COGS,3042184,2498940,3243000,2472000,2548000,- -,- -,- -,- -,- -
3,Gross Profit,1363858,1817544,1077000,66000,789000,- -,- -,- -,1050,- -
4,Gross Profit Ratio,0.3095,0.4211,0.2493,0.0260,0.2364,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,225378,96847,293000,1002000,888000,19623000,30421000,34794000,28304000,56886000
6,General and Administrative Exp.,2907947,1788141,7034000,7692000,7906000,10912000,11049000,11646000,13265000,25805000
7,Selling and Marketing Exp.,1325245,378769,717000,2559000,1669000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4233192,2166910,7751000,10251000,9575000,10912000,11049000,11646000,13265000,25805000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-41457570,- -
10,Operating Expenses,4458570,2263757,8044000,11253000,10463000,30535000,41470000,46440000,111430,82691000
11,COGS and Expenses,7500754,4762697,11287000,13725000,13011000,30535000,41470000,46440000,41569000,82691000
12,Interest Income ,- -,- -,- -,- -,- -,403000,1254000,941000,173000,318000
13,Interest Expense (Gain),1591341,1963456,1023000,141000,95000,383000,873000,835000,508000,3000
14,Depreciation and Amortization,144289,148315,144000,184000,189000,308000,281000,288000,239000,120000
15,EBITDA,-5475655,-47898,-6723000,-11003000,-12390000,-25821000,-31549000,-40750000,-109968000,-79290000
16,EBITDA ratio,-1.2428,-0.0111,-1.5562,-4.3353,-3.7129,-6.4504,-3.7621,-9.1347,-104.7314,-26.7600
17,Operating Income,-4026999,-196213,-6867000,-11187000,-12508000,-26532000,-33084000,-41979000,-110380000,-79728000
18,Operating Income ratio,-0.9140,-0.0455,-1.5896,-4.4078,-3.7483,-6.6280,-3.9451,-9.4102,-105.1238,-26.9079
19,Total Other Income Expenses (Gains),-1591341,-1963456,-1023000,-141000,-166000,20000,381000,106000,-335000,315000
20,Income Before Tax,-5618340,-2159669,-7890000,-11328000,-12674000,-26512000,-32703000,-41873000,-110715000,-79413000
21,Income Before Tax Ratio,-1.2751,-0.5003,-1.8264,-4.4634,-3.7980,-6.6230,-3.8997,-9.3865,-105.4429,-26.8016
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7211285,-2159669,-7890000,-11328000,-12674000,-26512000,-32703000,-41873000,-110715000,-79413000
24,Net Income ratio,-1.6367,-0.5003,-1.8264,-4.4634,-3.7980,-6.6230,-3.8997,-9.3865,-105.4429,-26.8016
25,EPS,-612.71,-198.00,-787.49,-315.00,-263.70,-20.70,-16.50,-20.10,-31.13,-6.66
26,EPS Diluted,-612.71,-198.00,-787.49,-315.00,-263.70,-20.70,-16.50,-20.10,-31.13,-6.66
27,Weighted Average Shares Outstanding,12406,12406,10026,35964,48094,1282980,1973365,2089104,3557065,11918712
28,Weighted Average Shares Outstanding Diluted,12406,12406,10026,35964,48094,1282980,1973365,2089104,3557065,11918712
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590750/000117184316011862/0001171843-16-011862-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000117184317001747/0001171843-17-001747-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000119312518125053/0001193125-18-125053-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075019000013/0001590750-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075020000021/0001590750-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075021000029/0001590750-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075022000004/0001590750-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , 
