,https://roic.ai/company/PRKA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,6978066,9329283,4907037,3106902,3310000,3380000,3020000,3690342,3750000,4010000,4379160,5026440,6238260,6046758,6184250,9507264,11862491
2,COGS,5640825,7098801,2227420,426490,520000,500000,390000,531350,490000,500000,531490,542940,607990,672777,673670,962047,1489196
3,Gross Profit,1337241,2230482,2679617,2680412,2790000,2880000,2630000,3158992,3260000,3510000,3847670,4483500,5630270,5373981,5510580,8545217,10373295
4,Gross Profit Ratio,0.1916,0.2391,0.5461,0.8627,0.8429,0.8521,0.8709,0.8560,0.8693,0.8753,0.8786,0.8920,0.9025,0.8887,0.8911,0.8988,0.8745
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2165844,3002012,2570000,2490000,1910000,2305694,2600000,2660000,2617290,2645550,3081630,3205334,3399150,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2165844,3002012,2570000,2490000,1910000,2305694,2600000,2660000,2617290,2645550,3081630,3205334,3399150,- -,- -
9,Other Expenses,1957026,3504791,181421,266694,590000,330000,230000,316487,180000,630000,336950,421970,403810,425647,567100,4691462,6522002
10,Operating Expenses,1957026,3504791,2347265,3268706,3160000,2820000,2140000,2622181,2780000,3290000,2954240,3067520,3485440,3630981,3966250,4691462,6522002
11,COGS and Expenses,7597851,10603592,4574685,3695196,3680000,3320000,2530000,3153531,3270000,3790000,3485730,3610460,4093430,4303758,4639920,5653509,8011198
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,263180,336426,330617,- -,274030,248148,209964,216350,204087,200258,177828,76003,182926,335944
14,Depreciation and Amortization,106517,267266,181421,260778,322705,313858,230000,316487,311708,318955,326399,342008,386065,425647,453968,576139,704016
15,EBITDA,-721100,689865,482018,-937554,249131,484475,500000,886369,799856,528919,1217849,1756935,2622273,2026067,2025411,4452934,4720506
16,EBITDA ratio,-0.1033,0.0739,0.0982,-0.3018,0.0753,0.1433,0.1656,0.2402,0.2133,0.1319,0.2781,0.3495,0.4204,0.3351,0.3275,0.4684,0.3979
17,Operating Income,-619785,-1274309,332352,-588294,-321477,83238,490000,544806,375927,217774,893422,1415978,2144839,1710748,1544337,3849007,3761188
