,https://roic.ai/company/INSP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,8012000,16427000,28567000,50593000,82050000,115381000,233394000
2,COGS,2809000,3905000,6018000,10056000,13643000,17623000,33279000
3,Gross Profit,5203000,12522000,22549000,40537000,68407000,97758000,200115000
4,Gross Profit Ratio,0.6494,0.7623,0.7893,0.8012,0.8337,0.8473,0.8574
5,Research and Development Exp.,7079000,7091000,6194000,7388000,12839000,26092000,37350000
6,General and Administrative Exp.,2631000,- -,3806000,53527000,90465000,- -,- -
7,Selling and Marketing Exp.,15291000,- -,28552000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17922000,- -,32358000,53527000,90465000,- -,202615000
9,Other Expenses,- -,22684000,- -,- -,- -,127874000,- -
10,Operating Expenses,25001000,29775000,38552000,60915000,103304000,153966000,239965000
11,COGS and Expenses,27810000,33680000,44570000,70971000,116947000,171589000,273244000
12,Interest Income ,66000,57000,203000,1870000,3801000,1092000,125000
13,Interest Expense (Gain),1564000,1303000,1753000,3304000,2119000,2117000,2128000
14,Depreciation and Amortization,120000,103000,285000,393000,495000,840000,1218000
15,EBITDA,-19653000,-17122000,-15473000,-18131000,-30589000,-54131000,-38624000
16,EBITDA ratio,-2.4529,-1.0423,-0.5416,-0.3584,-0.3728,-0.4692,-0.1655
17,Operating Income,-19798000,-17253000,-16003000,-20378000,-34897000,-56208000,-39850000
18,Operating Income ratio,-2.4710,-1.0503,-0.5602,-0.4028,-0.4253,-0.4872,-0.1707
19,Total Other Income Expenses (Gains),-1539000,-1275000,-1508000,-1450000,1694000,-880000,-2120000
20,Income Before Tax,-21337000,-18528000,-17511000,-21828000,-33203000,-57088000,-41970000
21,Income Before Tax Ratio,-2.6631,-1.1279,-0.6130,-0.4314,-0.4047,-0.4948,-0.1798
22,Income Tax expense (Gain),- -,- -,- -,- -,40000,115000,72000
23,Net Income,-21337000,-18528000,-17511000,-21828000,-33243000,-57203000,-42042000
24,Net Income ratio,-2.6631,-1.1279,-0.6130,-0.4314,-0.4052,-0.4958,-0.1801
25,EPS,-1.71,-1.49,-1.41,-1.50,-1.40,-2.19,-1.54
26,EPS Diluted,-1.71,-1.49,-1.41,-1.50,-1.40,-2.19,-1.54
27,Weighted Average Shares Outstanding,12462504,12462504,12462504,14579662,23804452,26073418,27300377
28,Weighted Average Shares Outstanding Diluted,12462504,12462504,12462504,14579662,23804452,26073418,27300377
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609550/000160955019000013/0001609550-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955020000011/0001609550-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955021000010/0001609550-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1609550/000160955022000014/0001609550-22-000014-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,6685000,8955000,97288000,22860000,190518000,214467000
32,Short-Term Investments,- -,- -,7188000,90922000,126605000,43844000,- -
33,Cash and Short-Term Investments,- -,6685000,16143000,188210000,149465000,234362000,214467000
34,Net Receivables,- -,2091000,3858000,6667000,13131000,25063000,34179000
35,Inventory,- -,3355000,3670000,2667000,5834000,8479000,17231000
36,Other Current Assets,- -,118000,426000,1734000,2206000,1965000,2660000
37,Total Current Assets,- -,12249000,24097000,199278000,170636000,269869000,268537000
38,PP&E,- -,867000,994000,802000,3960000,11116000,16405000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,6276000,- -,9938000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,381000,204000,204000
45,Total Non-Current Assets,- -,867000,994000,802000,10617000,11320000,26547000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13116000,25091000,200080000,181253000,281189000,295084000
48,Accounts Payable,- -,1173000,2998000,3429000,4459000,7209000,11665000
49,Short-Term Debt,- -,3310000,- -,- -,- -,- -,9500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2807000,4149000,7726000,12397000,13516000,20142000
53,Total Current Liabilities,- -,7290000,7147000,11155000,16856000,20725000,41307000
54,Long-Term Debt,- -,12381000,16460000,24926000,24522000,30632000,24595000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,53000,- -,- -,40000,85000,134000
58,Total Non-Current Liabilities,- -,12434000,16460000,24926000,24562000,30717000,24729000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5886000,9108000
61,Total Liabilities,- -,19724000,23607000,36081000,41418000,51442000,66036000
62,Preferred Stock,- -,94138000,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,13000,23000,24000,27000,27000
64,Retained Earnings,- -,-107574000,-125085000,-146913000,-180156000,-237347000,-279389000
65,Other Comprehensive Income/Loss,- -,- -,- -,-52000,102000,29000,-55000
66,Other Total Stockholders Equity,- -,6827000,126556000,310941000,319865000,467038000,508465000
67,Total Stockholders Equity,- -,-6608000,1484000,163999000,139835000,229747000,229048000
68,Total Liabilities And Stockholders Equity,- -,13116000,25091000,200080000,181253000,281189000,295084000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,13116000,25091000,200080000,181253000,281189000,295084000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1609550/000160955019000013/0001609550-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955020000011/0001609550-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955021000010/0001609550-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1609550/000160955022000014/0001609550-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-21337000,-18528000,-17511000,-21828000,-33243000,-57203000,-42042000
74,Depreciation and Amortization,120000,103000,285000,393000,495000,840000,1218000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,305000,248000,243000,1219000,6197000,12817000,26178000
77,Change in Working Capital,-1404000,4959000,11991000,171173000,-34343000,95364000,-6855000
78,Accounts Receivable,-261000,-760000,-1767000,-2836000,-6480000,-11842000,-9244000
79,Inventory,-1514000,612000,-315000,1003000,-3167000,-2645000,-8752000
80,Accounts Payable,418000,-480000,1825000,439000,1034000,2048000,4779000
81,Other Working Capital,- -,4959000,16950000,188123000,153780000,249144000,- -
82,Other Non-Cash Items,62000,-4731000,-10799000,-169651000,28048000,-104863000,1382000
83,Cash Provided by Operating Activities,-22254000,-17949000,-15791000,-18694000,-32846000,-53045000,-20119000
84,CAPEX,-346000,-306000,-412000,-250000,-2739000,-2455000,-4668000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-8969000,-115481000,-178074000,-52721000,-9993000
87,Sales/Maturities of Investments,23910000,- -,1781000,32342000,137254000,141803000,43800000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,23564000,-306000,-7600000,-83389000,-43559000,86627000,29139000
90,Debt Repayment,-7000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,181825000,- -,124654000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9542000,12814000,25661000,8558000,1964000,9411000,14948000
95,Cash Used/Provided by Financing Activities,2542000,12814000,25661000,190383000,1964000,134065000,14948000
96,Effect of Forex Changes on Cash,- -,- -,- -,33000,13000,11000,-19000
97,Net Change In Cash,3852000,-5441000,2270000,88333000,-74428000,167658000,23949000
98,Cash at the End of Period,12126000,6685000,8955000,97288000,22860000,190518000,214467000
99,Cash at the Beginning of Period,8274000,12126000,6685000,8955000,97288000,22860000,190518000
100,Free Cash Flow,-22600000,-18255000,-16203000,-18944000,-35585000,-55500000,-24787000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609550/000160955019000013/0001609550-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955020000011/0001609550-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1609550/000160955021000010/0001609550-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1609550/000160955022000014/0001609550-22-000014-index.htm
102,false,,,,,,,
