,https://roic.ai/company/PTGX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,20063000,30925000,231000,28628000,27357000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,7459000,11831000,25705000,46181000,59497000,65003000,74506000,126006000
6,General and Administrative Exp.,1860000,2963000,6961000,11779000,13697000,15749000,18638000,27196000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1860000,2963000,6961000,11779000,13697000,15749000,18638000,27196000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9319000,14794000,32666000,57960000,73194000,80752000,93144000,153202000
11,COGS and Expenses,9319000,14794000,32666000,57960000,73194000,80752000,93144000,153202000
12,Interest Income ,16000,19000,242000,940000,2546000,2813000,900000,443000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,169000,598000,- -
14,Depreciation and Amortization,258000,247000,317000,406000,527000,2495000,2564000,2775000
15,EBITDA,-7292000,-14464000,-32349000,-36551000,-39196000,-75214000,-61683000,-122776000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-1.8218,-1.2675,-325.6017,-2.1546,-4.4879
17,Operating Income,-9319000,-14794000,-32666000,-37897000,-42269000,-80521000,-64516000,-125845000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-1.8889,-1.3668,-348.5758,-2.2536,-4.6001
19,Total Other Income Expenses (Gains),-1753000,-64000,-4511000,940000,2546000,2643000,-329000,294000
20,Income Before Tax,-11072000,-14858000,-37177000,-36957000,-39723000,-77878000,-64845000,-125551000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-1.8420,-1.2845,-337.1342,-2.2651,-4.5894
22,Income Tax expense (Gain),- -,- -,- -,- -,-799000,-691000,1305000,- -
23,Net Income,-11072000,-14858000,-37177000,-36957000,-38924000,-77187000,-66150000,-125551000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1.8420,-1.2587,-334.1429,-2.3107,-4.5894
25,EPS,-1.91,-3.57,-5.80,-2.09,-1.74,-2.98,-1.92,-2.71
26,EPS Diluted,-1.91,-3.57,-5.80,-2.09,-1.74,-2.98,-1.92,-2.71
27,Weighted Average Shares Outstanding,5884892,4313032,6501796,17694505,22364515,25894024,34396446,46322910
28,Weighted Average Shares Outstanding Diluted,5884892,4313032,6501796,17694505,22364515,25894024,34396446,46322910
