,https://roic.ai/company/DOMA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,558043000
2,COGS,- -,- -,- -,298445000
3,Gross Profit,- -,- -,- -,259598000
4,Gross Profit Ratio,- -,- -,- -,0.4652
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,226,3769,- -,238134000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",226,3769,- -,238134000
9,Other Expenses,- -,- -,- -,123423000
10,Operating Expenses,226,3769,- -,361557000
11,COGS and Expenses,226,3769,- -,660002000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,16861000
14,Depreciation and Amortization,- -,- -,- -,10321000
15,EBITDA,-226,-3769,- -,-84947000
16,EBITDA ratio,-Infinity,-Infinity,- -,-0.1522
17,Operating Income,-226,-17468000,-28681000,-101959000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.1827
19,Total Other Income Expenses (Gains),- -,17464231,28536083,-10170000
20,Income Before Tax,-226,-3769,-144917,-112129000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-0.2009
22,Income Tax expense (Gain),- -,- -,- -,927000
23,Net Income,-226,-3769,-144917,-113056000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-0.2026
25,EPS,-0.00,-0.08,-0.11,-0.46
26,EPS Diluted,-0.00,-0.08,-0.11,-0.46
27,Weighted Average Shares Outstanding,7868993,322787486,322787486,245003754
28,Weighted Average Shares Outstanding Diluted,37715978,322787486,322787486,245003754
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1722438/000121390021025423/0001213900-21-025423-index.htm,https://www.sec.gov/Archives/edgar/data/1722438/000172243822000019/0001722438-22-000019-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,92804,26794,1,379702000
32,Short-Term Investments,- -,- -,345,- -
33,Cash and Short-Term Investments,92804,26794,346,379702000
34,Net Receivables,- -,- -,- -,17520000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-344,19818000
37,Total Current Assets,92804,26794,1,417040000
38,PP&E,- -,- -,- -,14887000
39,Goodwill,- -,- -,- -,111487000
40,Intangible Assets,- -,- -,- -,45018000
41,Intangible Assets,- -,- -,- -,156505000
42,Investments,- -,- -,- -,67489000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,103423,138999,345,- -
45,Total Non-Current Assets,103423,138999,345,238881000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,196227,165793,346,655921000
48,Accounts Payable,- -,- -,- -,6930000
49,Short-Term Debt,150000,150000,- -,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,28600,1935,0,- -
53,Total Current Liabilities,178600,151935,0,6930000
54,Long-Term Debt,- -,- -,- -,141769000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,12,156298000
58,Total Non-Current Liabilities,- -,- -,12,298067000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,178600,151935,12,304997000
