,https://roic.ai/company/VINO,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,2844101,2114912,2008145,1526075,1817302,3099608,1272772,635789
2,COGS,2613998,2127086,2225813,1760451,1946900,1441696,1040339,726686
3,Gross Profit,230103,-12174,-217668,-234376,-129598,1657912,232433,-90897
4,Gross Profit Ratio,0.0809,-0.0058,-0.1084,-0.1536,-0.0713,0.5349,0.1826,-0.1430
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7420431,7910767,7270721,6107016,7014919,6423540,6428625,4814312
7,Selling and Marketing Exp.,283628,335754,246432,154626,347808,317404,482677,320768
8,"Selling, General and Administrative Exp.",7704059,8246521,7517153,6261642,7362727,6740944,6911302,5135080
9,Other Expenses,533630,279082,224580,64853,193065,171749,196438,139949
10,Operating Expenses,8237689,8525603,7741733,6326495,7555792,6912693,7107740,5275029
11,COGS and Expenses,10851687,10652689,9967546,8086946,9502692,8354389,8148079,6001715
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,611297,- -,245174
14,Depreciation and Amortization,708730,466592,224580,64853,193065,171749,408879,170189
15,EBITDA,-8084100,-8596835,-8054384,-9977288,-7719447,-4895372,-6254929,-5366320
16,EBITDA ratio,-2.8424,-4.0649,-4.0109,-6.5379,-4.2478,-1.5794,-4.9144,-8.4404
17,Operating Income,-8007586,-8537777,-7959401,-6560871,-7685390,-5254781,-6698134,-5365926
18,Operating Income ratio,-2.8155,-4.0369,-3.9636,-4.2992,-4.2290,-1.6953,-5.2626,-8.4398
19,Total Other Income Expenses (Gains),-785244,-525650,-319563,-1238992,-121371,-423637,-258681,-415757
20,Income Before Tax,-8792830,-9063427,-8278964,-7799863,-7806761,-5678418,-6956815,-5781683
21,Income Before Tax Ratio,-3.0916,-4.2855,-4.1227,-5.1111,-4.2958,-1.8320,-5.4659,-9.0937
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8792830,-9063427,-8278964,-10042141,-7912512,-5678418,-6663808,-5781683
24,Net Income ratio,-3.0916,-4.2855,-4.1227,-6.5804,-4.3540,-1.8320,-5.2357,-9.0937
25,EPS,-6.30,-5.10,-3.30,-3.60,-2.85,-2.10,-2.10,-1.47
26,EPS Diluted,-6.30,-5.10,-3.30,-3.60,-2.85,-2.10,-2.10,-1.48
27,Weighted Average Shares Outstanding,1588125,1913206,2512101,2738590,2866422,2992663,3643343,4310439
28,Weighted Average Shares Outstanding Diluted,1588125,1913206,2512101,2738590,2866422,2992663,3643343,4310439
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559998/000114420415020260/0001144204-15-020260-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000114420416092036/0001144204-16-092036-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315217003130/0001493152-17-003130-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315218004280/0001493152-18-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315219004581/0001493152-19-004581-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315220005292/0001493152-20-005292-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315221008578/0001493152-21-008578-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,207418,442725,110645,131190,358303,58488,40378,134536
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,74485,53066
33,Cash and Short-Term Investments,207418,442725,110645,131190,358303,58488,114863,187602
34,Net Receivables,601614,557951,566700,673168,1039083,529395,375459,255720
35,Inventory,1258281,1487166,1184268,1186189,1388666,1173387,1302752,1172775
36,Other Current Assets,591488,663015,792412,545640,595867,475143,635673,907245
37,Total Current Assets,2658801,3150857,2654025,2536187,3381919,2236413,2428747,2523342
38,PP&E,7063774,5430043,3515418,3971733,- -,- -,- -,2860222
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,318195,294653,127202,42688,26401,7840,3470,457
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2445944,1953271,1360850,399201,4936486,3403238,3488143,-457
45,Total Non-Current Assets,9827913,7677967,5003470,4413622,4962887,3411078,3491613,2860222
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12486714,10828824,7657495,6949809,8344806,5647491,5920360,5383564
48,Accounts Payable,569574,719997,585095,349180,415318,497817,823762,891168
49,Short-Term Debt,1858428,437500,287500,193812,276724,3603760,2776031,1708085
50,Tax Payable,- -,320343,97428,79926,63550,292535,170873,201704
51,Deferred Revenue,1224296,1229029,1384317,1884606,1732664,1038492,899920,933941
52,Other Current Liabilities,2480977,2661675,1874296,1751623,1019677,1285268,1238240,1563247
53,Total Current Liabilities,6133275,5048201,4131208,4179221,3444383,6425337,5737953,5096441
54,Long-Term Debt,810054,- -,- -,- -,634930,234791,96583,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,853827,- -,399119,344127,258989,57786,86398,480269
58,Total Non-Current Liabilities,1663881,- -,399119,344127,893919,292577,182981,480269
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,157826,- -
61,Total Liabilities,7797156,5048201,4530327,4523348,4338302,6717914,5920934,5576710
62,Preferred Stock,68713,- -,- -,- -,9026824,9026824,9026824,9010824
63,Common Stock,237614,357458,388793,429153,430674,467384,603215,52344
64,Retained Earnings,-40247037,-49310464,-57589428,-67631569,-75544081,-81222499,-87886307,- -
65,Other Comprehensive Income/Loss,-6202701,-7770214,-9591274,-10459242,-10795810,-13110219,-12399833,-11932801
66,Other Total Stockholders Equity,50832969,62503843,69919077,80088119,80888897,83768087,90629163,3370257
67,Total Stockholders Equity,4689558,5780623,3127168,2426461,4006504,-1070423,-26938,500624
68,Total Liabilities And Stockholders Equity,12486714,10828824,7657495,6949809,8344806,5647491,5893996,6077334
69,Minority Interest,- -,- -,- -,- -,- -,- -,26364,-693770
70,Total Liabilities & Equity,12486714,10828824,7657495,6949809,8344806,5647491,5920360,5383564
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559998/000114420415020260/0001144204-15-020260-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000114420416092036/0001144204-16-092036-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315217003130/0001493152-17-003130-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315218004280/0001493152-18-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315219004581/0001493152-19-004581-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315220005292/0001493152-20-005292-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315221008578/0001493152-21-008578-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-8792830,-9063427,-8278964,-10042141,-7912512,-5678418,-6663808,-5781683
74,Depreciation and Amortization,708730,466592,224580,64853,193065,171749,408879,170189
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2771383,853169,1118884,2002147,705293,779663,487383,- -
77,Change in Working Capital,1116514,1577130,420161,-165851,1580570,-4126460,879718,736107
