,https://roic.ai/company/TEDU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,161781538,354661398,562594260,844885776,1228184375,1579604000,1973806000,2085371000,2051354000,1897883000,2386520000
2,COGS,54767811,110867628,176159408,242415244,347766564,449104000,599199000,918549000,1173834000,1066842000,1201419000
3,Gross Profit,107013727,243793770,386434852,602470532,880417811,1130500000,1374607000,1166822000,877520000,831041000,1185101000
4,Gross Profit Ratio,0.6615,0.6874,0.6869,0.7131,0.7168,0.7157,0.6964,0.5595,0.4278,0.4379,0.4966
5,Research and Development Exp.,7282084,11182296,23072273,33779969,52666441,65594000,100032000,167254000,132672000,100466000,106098000
6,General and Administrative Exp.,49225974,62098707,98320552,185769035,262001747,307519000,392296000,546568000,723306000,630618000,569985000
7,Selling and Marketing Exp.,48246180,105332653,183332296,264017653,401351202,527553000,713120000,1047632000,1119698000,906337000,878130000
8,"Selling, General and Administrative Exp.",97472154,167431360,281652848,449786689,663352948,835072000,1105416000,1594200000,1843004000,1536955000,1448115000
9,Other Expenses,- -,- -,- -,-0,-0,- -,- -,- -,- -,- -,- -
10,Operating Expenses,104754238,178613656,304725121,483566657,716019390,900666000,1205448000,1761454000,1975676000,1637421000,1554213000
11,COGS and Expenses,159522049,289481285,480884529,725981901,1063785953,1349770000,1804647000,2680003000,3149510000,2704263000,2755632000
12,Interest Income ,1728086,7272676,9339890,27047426,44551816,23974000,21000000,26200000,15859000,- -,- -
13,Interest Expense (Gain),- -,37245,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,7754634,15143805,28203836,43906141,57322673,72757000,100724000,158757000,413120000,347500000,- -
15,EBITDA,13032758,88657021,127096996,211985514,247832084,333387000,311301000,-436282000,-664525000,-454177000,-360490000
16,EBITDA ratio,0.0806,0.2500,0.2259,0.2509,0.2018,0.2111,0.1577,-0.2092,-0.3239,-0.2393,-0.1511
17,Operating Income,2259489,65180113,81709731,118903875,164398421,229834000,169159000,-594632000,-1098156000,-806380000,-369112000
18,Operating Income ratio,0.0140,0.1838,0.1452,0.1407,0.1339,0.1455,0.0857,-0.2851,-0.5353,-0.4249,-0.1547
19,Total Other Income Expenses (Gains),3018635,8295859,17183429,49175498,26110989,30796000,41418000,-2432000,17719000,153000,7389000
20,Income Before Tax,5278124,73475972,98893160,168079373,190509411,260630000,210577000,-597064000,-1080437000,-806227000,-361723000
21,Income Before Tax Ratio,0.0326,0.2072,0.1758,0.1989,0.1551,0.1650,0.1067,-0.2863,-0.5267,-0.4248,-0.1516
22,Income Tax expense (Gain),874338,13851263,13764781,14917340,4135685,18776000,25770000,-4865000,-41559000,-35034000,114057000
23,Net Income,4403786,59624709,85128379,153162034,186373725,241854000,184807000,-590174000,-1036086000,-766643000,-474547000
24,Net Income ratio,0.0272,0.1681,0.1513,0.1813,0.1517,0.1531,0.0936,-0.2830,-0.5051,-0.4039,-0.1988
25,EPS,-5.95,-10.47,-18.12,15.82,17.20,21.75,16.25,-54.25,-97.05,-70.55,-43.66
26,EPS Diluted,-5.95,-10.47,-18.12,13.34,15.90,20.50,15.50,-54.25,-97.05,-70.55,-43.66
27,Weighted Average Shares Outstanding,10131478,10131478,10131478,8201938,10753562,11108134,11369866,10985902,10675796,10868243,10868243
28,Weighted Average Shares Outstanding Diluted,10131478,10131478,10131478,9645968,11750171,11801052,11919742,10985902,10675796,10868243,10868243
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592560/000114420415022976/v401846_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420416095204/v435968_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420417022025/v461874_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420418023413/tv488624_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000110465920050975/tm2015055d1_20f.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,101099970,158410159,264622523,513797015,810672000,686691000,530984000,537701000,320179000,423766000
32,Short-Term Investments,- -,- -,- -,662706351,449754588,416724000,432536000,158585000,83081000,6257000,6257000
33,Cash and Short-Term Investments,- -,101099970,158410159,927328874,963551603,1227396000,1119227000,689569000,620782000,326436000,430023000
34,Net Receivables,- -,93609311,93002552,162379676,160729498,108287000,241285000,90179000,68087000,54410000,49297000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,1774000,5325000,4626000,- -
36,Other Current Assets,- -,19109620,28473547,48339037,202273147,115175000,132006000,144052000,107061000,150781000,140012000
37,Total Current Assets,- -,213818900,279886257,1138047587,1326554248,1450858000,1492518000,925574000,801255000,536253000,619332000
38,PP&E,- -,51006342,77604809,82959816,127828993,437337000,519691000,626068000,1350105000,1050941000,795377000
39,Goodwill,- -,- -,- -,- -,- -,3365000,3365000,52782000,52782000,52782000,52782000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19046000,17669000,13444000,9906000
41,Intangible Assets,- -,- -,- -,- -,- -,3365000,3365000,71828000,70451000,66226000,62688000
42,Investments,- -,4965248,73702318,107394432,138189029,100427000,102425000,60168000,68179000,67592000,46572000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,53752000,99789000,142220000,41000000
44,Other Non-Current Assets,- -,22764973,15282186,23587523,60865461,93025000,164646000,140657000,122241000,96017000,76813000
45,Total Non-Current Assets,- -,78736563,166589313,213941770,326883482,634154000,790127000,952473000,1710765000,1422996000,1022450000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,292555464,446475571,1351989357,1653437730,2085012000,2282645000,1878047000,2512020000,1959249000,1641782000
48,Accounts Payable,- -,504550,1317805,1979642,4411510,4502000,11351000,18529000,16563000,10293000,8914000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,13726000,330872000,209793000,269937000
50,Tax Payable,- -,14494107,25833040,45328441,74619848,121235000,157594000,106578000,80782000,86352000,89000000
51,Deferred Revenue,- -,60271610,93857931,119574497,164478472,266061000,302163000,830019000,1554431000,1980138000,2008078000
52,Other Current Liabilities,- -,30078452,58358433,85810111,136970138,209186000,310617000,438147000,467468000,468901000,653157000
53,Total Current Liabilities,- -,90854613,153534168,207364249,305860119,479749000,624131000,1300421000,2369334000,2669125000,2940086000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,508810000,406251000,272575000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,31539000,18060000,16774000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,419957278,1476002,10159148,9330290,7043000,4329000,5983000,5401000,5082000,4767000
58,Total Non-Current Liabilities,- -,419957278,1476002,10159148,9330290,7043000,4329000,5983000,545750000,429393000,294116000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,750520000,605334000,512512000
61,Total Liabilities,- -,510811891,155010170,217523397,315190410,486792000,628460000,1306404000,2915084000,3098518000,3234202000
