,https://roic.ai/company/AGTI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,565246000,613073000,773312000,1038690000
2,COGS,367837000,423812000,486965000,614073000
3,Gross Profit,197409000,189261000,286347000,424617000
4,Gross Profit Ratio,0.3492,0.3087,0.3703,0.4088
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,320387000
9,Other Expenses,137210000,187156000,250289000,- -
10,Operating Expenses,137210000,187156000,250289000,320387000
11,COGS and Expenses,505047000,610968000,737254000,934460000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),53390000,48199000,61530000,53514000
14,Depreciation and Amortization,79435000,165193000,173195000,103805000
15,EBITDA,34598000,167127000,209013000,197919000
16,EBITDA ratio,0.0612,0.2726,0.2703,0.1905
17,Operating Income,-44510000,2105000,36058000,104230000
18,Operating Income ratio,-0.0787,0.0034,0.0466,0.1003
19,Total Other Income Expenses (Gains),-53390000,-48199000,-61530000,-63630000
20,Income Before Tax,-97900000,-46094000,-25472000,40600000
21,Income Before Tax Ratio,-0.1732,-0.0752,-0.0329,0.0391
22,Income Tax expense (Gain),-66348000,-14857000,-3234000,40439000
23,Net Income,-31879000,-31408000,-22478000,161000
24,Net Income ratio,-0.0564,-0.0512,-0.0291,0.0002
25,EPS,-0.25,-0.25,-0.18,0.20
26,EPS Diluted,-0.25,-0.25,-0.18,0.19
27,Weighted Average Shares Outstanding,125299085,125299085,125299085,120877480
28,Weighted Average Shares Outstanding Diluted,132177688,132177688,132177688,128497220
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749704/000155837022003066/0001558370-22-003066-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,7340000,- -,206505000,74325000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,7340000,- -,206505000,74325000
34,Net Receivables,105254000,106374000,154625000,209308000
35,Inventory,11122000,13414000,27062000,55307000
36,Other Current Assets,10339000,10404000,14175000,18944000
37,Total Current Assets,134055000,130192000,402367000,357884000
38,PP&E,117792000,272690000,265630000,339046000
39,Goodwill,346168000,780835000,817113000,1213121000
40,Intangible Assets,13226000,427193000,402095000,573159000
41,Intangible Assets,359394000,1208028000,1219208000,1786280000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,143307000
44,Other Non-Current Assets,- -,8506000,16151000,-110770000
45,Total Non-Current Assets,477186000,1489224000,1500989000,2157863000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,611241000,1619416000,1903356000,2515747000
48,Accounts Payable,37642000,39203000,37215000,53851000
49,Short-Term Debt,685189000,24214000,30199000,40360000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,31844000,- -,- -,5808000
52,Other Current Liabilities,-637906000,49858000,92117000,108511000
53,Total Current Liabilities,116769000,113275000,159531000,208530000
54,Long-Term Debt,5810000,931815000,1185338000,1238209000
55,Deferred Revenue,- -,- -,- -,143307000
56,Deferred Tax Liabilities,- -,68170000,62748000,143307000
57,Other Non-Current Liabilities,10659000,49187000,53794000,-113678000
58,Total Non-Current Liabilities,16469000,1049172000,1301880000,1411145000
59,Other Liabilities,644658000,- -,- -,- -
60,Capital Lease Obligations,- -,31260000,54438000,- -
61,Total Liabilities,744958000,1162447000,1461411000,1619675000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,13000
64,Retained Earnings,- -,-46014000,-68492000,-44486000
65,Other Comprehensive Income/Loss,-6633000,-940000,-3619000,1537000
66,Other Total Stockholders Equity,6633000,503637000,513902000,939008000
67,Total Stockholders Equity,- -,456693000,441801000,896072000
68,Total Liabilities And Stockholders Equity,744958000,1619140000,1903212000,2515747000
69,Minority Interest,-133717000,276000,144000,- -
70,Total Liabilities & Equity,611241000,1619416000,1903356000,2515747000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749704/000155837022003066/0001558370-22-003066-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-31879000,-31408000,-22478000,161000
74,Depreciation and Amortization,79435000,165193000,173195000,103805000
75,Deferred Income Tax,-67297000,-23888000,7987000,- -
