,https://roic.ai/company/FA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,481767000,- -,212532000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,245324000,- -,143528000000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,236443000,- -,-143527787468000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4908,- -,-675323.1865
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,33239000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,118323000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,118323000,- -,31724000000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7286000,- -,11961000000000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,144276000,- -,43685000000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,389600000,- -,187213000000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,945000,- -,-10000000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,51964000,- -,3107000000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,25953000,- -,142815000
15,EBITDA,- -,- -,- -,- -,- -,- -,- -,- -,- -,119065000,- -,25329142815000
16,EBITDA ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2471,- -,119178.0194
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,92167000,- -,63823000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1913,- -,0.3003
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-51019000,- -,22221936177000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,41148000,- -,22222000000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0854,- -,104558.3724
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,6898000,- -,6837000000000
23,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,34250000,- -,15385000000000
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0711,- -,72389.0991
25,EPS,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.23,- -,0.11
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.21,- -,0.11
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,- -,- -,149686460,- -,140480590
