,https://roic.ai/company/TX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1074527000,1598925000,4447680000,6569000000,8184000000,8465000000,4959000000,7382000000,9157000000,8608000000,8530000000,8726057000,7877449000,7223975000,9700296000,11454807000,10192818000,8735435000,16090744000
2,COGS,671720000,965004000,2470844000,4293000000,5295000000,6128000000,4110000000,5588000000,7094000000,6871000000,6600000000,6925169000,6477272000,5384390000,7002978000,8483328000,8452440000,7099923000,9895070000
3,Gross Profit,402807000,633921000,1976836000,2276000000,2889000000,2337000000,849000000,1794000000,2063000000,1737000000,1930000000,1800888000,1400177000,1839585000,2697318000,2971479000,1740378000,1635512000,6195674000
4,Gross Profit Ratio,0.3749,0.3965,0.4445,0.3465,0.3530,0.2761,0.1712,0.2430,0.2253,0.2018,0.2263,0.2064,0.1777,0.2546,0.2781,0.2594,0.1707,0.1872,0.3850
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,592000000,777000000,603000000,469000000,597000000,720000000,756000000,792000000,767535000,720248000,635926000,733638000,769361000,763102000,572052000,729018000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",133623000,97019000,513130000,554024000,825807000,669473000,531530000,665306000,572074000,634104000,641211000,627080000,586054000,542380000,629129000,667564000,654487000,572052000,729018000
9,Other Expenses,4402000,22731000,71545000,76998000,-23874000,10050000,-6322000,-2493000,221484000,186958000,179086000,117647000,174784000,155487000,211358000,195544000,221325000,-16013000,195520000
10,Operating Expenses,138025000,119750000,584675000,631022000,801933000,679523000,525208000,662813000,793558000,821062000,820297000,744727000,760838000,697867000,840487000,863108000,875812000,556039000,924538000
11,COGS and Expenses,809745000,1084754000,3055519000,4932000000,6598000000,6789000000,4663000000,6328000000,7892000000,7692000000,7421000000,7669896000,7238110000,6082257000,8243512000,9346436000,9328252000,7655962000,10819608000
12,Interest Income ,6036000,- -,- -,- -,- -,32178000,157093000,88359000,40079000,19226000,13947000,7685000,7981000,14129000,19408000,21236000,29071000,49421000,62912000
13,Interest Expense (Gain),39980000,- -,- -,- -,- -,136111000,105810000,72969000,100712000,144439000,120254000,114472000,87313000,89971000,114583000,131172000,88284000,46644000,26997000
14,Depreciation and Amortization,- -,99192000,316405000,424495000,565848000,413541000,385105000,383300000,405842000,370855000,377133000,414797000,433788000,406890000,474299000,589299000,661112000,631051000,591790000
15,EBITDA,490618000,734017000,1239303000,1527495000,1512848000,1427652000,1298915000,1485269000,1336554000,919294000,1301387000,669623000,736548000,1504033000,1817183000,2596553000,1510184000,1747651000,5840994000
16,EBITDA ratio,0.4566,0.4591,0.2786,0.2325,0.1849,0.1687,0.2619,0.2012,0.1460,0.1068,0.1526,0.0767,0.0935,0.2082,0.1873,0.2267,0.1482,0.2001,0.3630
17,Operating Income,264782000,514171000,1392161000,1636569000,1586408000,1676047000,296383000,1053937000,1265219000,915903000,1109423000,1056161000,639339000,1141718000,1456784000,2108371000,864566000,1079473000,5271136000
18,Operating Income ratio,0.2464,0.3216,0.3130,0.2491,0.1938,0.1980,0.0598,0.1428,0.1382,0.1064,0.1301,0.1210,0.0812,0.1580,0.1502,0.1841,0.0848,0.1236,0.3276
19,Total Other Income Expenses (Gains),185856000,411490000,-100856000,-378569000,-433408000,-795047000,133617000,132063000,-299219000,-463903000,-167423000,-821237000,-372240000,-23261000,-96975000,-76804000,-38002000,79886000,493194000
20,Income Before Tax,450638000,925661000,1291305000,1258000000,1153000000,881000000,430000000,1186000000,966000000,452000000,942000000,234924000,267099000,1118457000,1359809000,2031567000,826564000,1159359000,5764330000
21,Income Before Tax Ratio,0.4194,0.5789,0.2903,0.1915,0.1409,0.1041,0.0867,0.1607,0.1055,0.0525,0.1104,0.0269,0.0339,0.1548,0.1402,0.1774,0.0811,0.1327,0.3582
22,Income Tax expense (Gain),94087000,177486000,218492000,262000000,163000000,163000000,91000000,407000000,316000000,265000000,349000000,339105000,207320000,411528000,342082000,369435000,196519000,291488000,1397139000
23,Net Income,356551000,457339000,704406000,841000000,784000000,715000000,717000000,622000000,514000000,139000000,455000000,-198751000,8127000,595644000,886219000,1506647000,564269000,778468000,3825068000
24,Net Income ratio,0.3318,0.2860,0.1584,0.1280,0.0958,0.0845,0.1446,0.0843,0.0561,0.0161,0.0533,-0.0228,0.0010,0.0825,0.0914,0.1315,0.0554,0.0891,0.2377
25,EPS,1.90,3.90,5.80,4.10,3.90,3.60,3.60,3.10,2.60,0.70,2.32,2.30,0.04,3.03,4.50,7.70,2.90,4.00,19.49
26,EPS Diluted,1.90,3.90,5.40,4.10,3.90,3.60,3.60,3.10,2.60,0.70,2.32,2.30,0.04,3.03,4.50,7.70,2.90,4.00,19.49
27,Weighted Average Shares Outstanding,116894363,116894363,120947661,193683306,200474344,200474344,200474344,200474344,196832792,196307678,196307677,196307678,196307678,196307677,196307678,196307678,196307678,196307678,196307678
28,Weighted Average Shares Outstanding Diluted,116894363,116894363,156608283,193683306,200474344,200474344,200474344,200474344,196832792,196307678,196307677,196307678,196307678,196307677,196307678,196307678,196307678,196307678,196307678
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,129020000,194875000,765630000,65000000,1126000000,1066000000,2096000000,1767000000,2158000000,98000000,102000000,75354000,151403000,112620000,108490000,107869000,320018000,537828000,1276547000
32,Short-Term Investments,- -,- -,- -,568000000,65000000,90000000,1011000000,1032000000,418000000,622000000,373000000,287851000,237191000,215613000,361975000,184985000,412149000,813527000,1290459000
33,Cash and Short-Term Investments,129020000,194875000,765630000,633000000,1191000000,1156000000,3107000000,2799000000,2576000000,720000000,475000000,363205000,388594000,328233000,470465000,292854000,732167000,1351355000,2567006000
34,Net Receivables,- -,380304000,764062000,738000000,1258000000,868000000,569000000,754000000,833000000,917000000,778000000,821542000,588251000,704417000,1355524000,1419504000,1258478000,1207047000,2124901000
35,Inventory,- -,254286000,1000119000,1241000000,1913000000,1827000000,1351000000,1953000000,2134000000,2000000000,1941000000,2134071000,1582496000,1647869000,2550933000,2692683000,2174424000,2001781000,3908305000
36,Other Current Assets,447058000,88755000,13747000,41000000,786000000,1324000000,6000000,17000000,11000000,7000000,8000000,15295000,11196000,9547000,15598000,18848000,11046000,6592000,6332000
37,Total Current Assets,576078000,918220000,2543558000,2653000000,5148000000,5175000000,5033000000,5523000000,5554000000,3644000000,3202000000,3334113000,2570537000,2690066000,4392520000,4423889000,4176115000,4566775000,8606544000
38,PP&E,1275699000,1244691000,5463871000,5550000000,6990000000,4325000000,4165000000,4404000000,4170000000,4516000000,4798000000,4584451000,4207566000,4135977000,5349753000,5817609000,6539581000,6643516000,6584312000
39,Goodwill,- -,- -,399694000,398000000,851000000,684000000,709000000,750000000,664000000,664000000,662000000,662307000,662307000,662307000,662307000,662307000,662307000,662307000,662307000
40,Intangible Assets,- -,10049000,153188000,24000000,471000000,340000000,252000000,238000000,185000000,223000000,211000000,183155000,225899000,180250000,430272000,350217000,281531000,107441000,87215000
41,Intangible Assets,- -,10049000,552882000,422000000,1322000000,1024000000,961000000,988000000,849000000,887000000,873000000,845462000,888206000,842557000,1092579000,1012524000,943838000,769748000,749522000
42,Investments,- -,- -,- -,30000000,59000000,22533000,22991000,43787000,23398000,1717651000,1375165000,748178000,250412000,424377000,481728000,502436000,516901000,474187000,818752000
43,Tax Assets,- -,- -,29126000,985000000,1337000000,810000000,857000000,878000000,749000000,682000000,606000000,670523000,609514000,609004000,513357000,474431000,403278000,158703000,160745000
44,Other Non-Current Assets,335111000,473670000,70544000,-869000000,-1089000000,-685533000,-745991000,-724787000,-598398000,-579651000,-481165000,-492568000,-463642000,-379111000,292629000,316973000,355820000,243306000,178032000
45,Total Non-Current Assets,1610810000,1728410000,6116423000,6118000000,8619000000,5496000000,5260000000,5589000000,5193000000,7223000000,7171000000,6356046000,5492056000,5632804000,7730046000,8123973000,8759418000,8289460000,8491363000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2186888000,2646630000,8659981000,8771000000,13767000000,10671000000,10293000000,11112000000,10747000000,10867000000,10373000000,9690159000,8062593000,8322870000,12122566000,12547862000,12935533000,12856235000,17097907000
48,Accounts Payable,- -,194943000,555330000,622000000,984000000,439000000,413000000,588000000,678000000,762000000,756000000,564513000,568478000,603119000,897732000,904171000,876803000,1049337000,1126049000
49,Short-Term Debt,80238000,121998000,516399000,508694000,407404000,941460000,539525000,513083000,1041550000,1121610000,797944000,1264208000,913786000,821893000,1513600000,407886000,600328000,438090000,866944000
50,Tax Payable,- -,- -,- -,- -,- -,194075000,103171000,294902000,106625000,153071000,188816000,147734000,110430000,254732000,162952000,265539000,144005000,222463000,1034590000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,176916000,198328000,321704000,277306000,380596000,354540000,206475000,454917000,251450000,241390000,295056000,262665000,218353000,406480000,415942000,514473000,290994000,366170000,1220771000
53,Total Current Liabilities,257154000,515269000,1393433000,1408000000,1772000000,1735000000,1159000000,1556000000,1971000000,2125000000,1849000000,2091386000,1700617000,1831492000,2827274000,1826530000,1768125000,1853597000,3213764000
54,Long-Term Debt,- -,1008000,2399878000,548000000,3677000000,2326000000,1787000000,1427000000,948000000,1303000000,1205000000,900611000,607237000,396742000,1785342000,1702899000,1927111000,1327289000,871715000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
