,https://roic.ai/company/IBIO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,896273,987058,1176604,- -,520080,1277345,1007000,205000,1851000,948000,394000,444000,2018000,1638000,2371000
2,COGS,445721,485125,500835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462000
3,Gross Profit,450552,501933,675769,- -,520080,1277345,- -,- -,- -,- -,- -,- -,- -,- -,909000
4,Gross Profit Ratio,0.5027,0.5085,0.5743,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.3834
5,Research and Development Exp.,673225,550000,797400,2517360,3083517,4981040,3431000,-150000,3495000,3156000,4117000,3986000,5474000,3213000,9989000
6,General and Administrative Exp.,- -,1817518,1804561,2069979,7090568,5623397,4243000,4195000,5022000,7685000,10551000,10685000,12332000,12428000,22031000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1817518,1804561,2069979,7090568,5623397,4243000,4195000,5022000,7685000,10551000,10685000,12332000,12428000,22031000
9,Other Expenses,1442510,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2115735,2367518,2601961,4587339,10174085,10604437,7674000,4045000,8517000,10841000,14668000,14671000,17806000,15641000,32020000
11,COGS and Expenses,2561456,2852643,3102796,4587339,10174085,10604437,7674000,4045000,8517000,10841000,14668000,14671000,17806000,15641000,33482000
12,Interest Income ,- -,- -,- -,12731,12620,11673,9000,130000,9000,22000,39000,15000,75000,15000,140000
13,Interest Expense (Gain),- -,- -,- -,13109,50501,62848,90000,- -,- -,807000,1929000,1915000,1900000,2466000,2454000
14,Depreciation and Amortization,322043,245265,283952,337029,376810,329712,338000,361000,363000,940000,1676000,1709000,1749000,2241000,2414000
15,EBITDA,-1343140,-1620320,-1621816,-4250310,-11715140,-5283278,-5770000,-3305000,-6262000,-8017000,-10927000,-12481000,-13944000,-11732000,-18339000
16,EBITDA ratio,-1.4986,-1.6416,-1.3784,-Infinity,-22.5256,-4.1361,-5.7299,-16.1220,-3.3830,-8.4568,-27.7335,-28.1104,-6.9098,-7.1624,-7.7347
17,Operating Income,-1665183,-1865585,-1926192,-4587339,-9654005,-9327092,-6667000,-3840000,-6666000,-9893000,-14274000,-14227000,-15788000,-14003000,-31111000
18,Operating Income ratio,-1.8579,-1.8900,-1.6371,-Infinity,-18.5625,-7.3019,-6.6207,-18.7317,-3.6013,-10.4357,-36.2284,-32.0428,-7.8236,-8.5488,-13.1215
19,Total Other Income Expenses (Gains),- -,- -,20424,-1488281,-2450565,3702429,469000,174000,41000,-764000,-1865000,-1881000,-1809000,-2441000,7898000
20,Income Before Tax,-1665183,-1865585,-1905768,-6075620,- -,- -,-6198000,-3666000,-6625000,-10657000,-16139000,-16108000,-17597000,-16444000,-23213000
21,Income Before Tax Ratio,-1.8579,-1.8900,-1.6197,-Infinity,- -,- -,-6.1549,-17.8829,-3.5791,-11.2416,-40.9619,-36.2793,-8.7200,-10.0391,-9.7904
22,Income Tax expense (Gain),851,3710,1528,2400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1666034,-1869295,-1907296,-6078020,-12142451,-5675838,-6198000,-3666000,-6625000,-9764000,-14532000,-16105000,-17593000,-16439000,-23207000
24,Net Income ratio,-1.8588,-1.8938,-1.6210,-Infinity,-23.3473,-4.4435,-6.1549,-17.8829,-3.5791,-10.2996,-36.8832,-36.2725,-8.7180,-10.0360,-9.7879
25,EPS,-0.71,-0.80,-0.90,-2.20,-3.90,-1.40,-1.30,-0.60,-0.90,-1.20,-1.60,-1.54,-0.94,-0.61,-0.12
26,EPS Diluted,-0.71,-0.80,-0.90,-2.20,-3.90,-1.40,-1.30,-0.60,-0.90,-1.20,-1.60,-1.54,-0.94,-0.61,-0.12
27,Weighted Average Shares Outstanding,2345751,2345751,2026566,2730309,3096879,3950556,4938100,6296800,7149500,8097300,8911200,10631000,18926000,62795000,195620000
28,Weighted Average Shares Outstanding Diluted,2345751,2345751,2026566,2730309,3096879,3950556,4938100,6296800,7149500,8097300,8911200,10631000,18926000,62795000,195620000
