,https://roic.ai/company/FNGR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,14260,14560,14050,453540,1473040,9131290,16683570
2,COGS,- -,6910,6550,6320,434720,1130020,8165540,15036876
3,Gross Profit,- -,7350,8010,7730,18820,343020,965750,1646694
4,Gross Profit Ratio,- -,0.5154,0.5501,0.5502,0.0415,0.2329,0.1058,0.0987
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,390290,552343
6,General and Administrative Exp.,15350,83121,20797,21070,1653666,2746652,3634597,4887274
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,364160
8,"Selling, General and Administrative Exp.",15350,83121,20797,21070,1653666,2746652,3634597,5251434
9,Other Expenses,- -,- -,- -,0,114728,161091,6916,27055
10,Operating Expenses,15350,83121,20797,21070,1768394,2907743,4031803,5830832
11,COGS and Expenses,20000,90030,27350,27390,2203110,4360740,12206090,20867708
12,Interest Income ,- -,- -,- -,- -,- -,400,1319,3277
13,Interest Expense (Gain),37,264,343,413,274,32540,24260,273594
14,Depreciation and Amortization,- -,- -,- -,- -,114728,87159,6918,27055
15,EBITDA,-10000,-75766,-12787,-13337,-1636118,-2793181,-2973192,-4081325
16,EBITDA ratio,-Infinity,-5.3132,-0.8782,-0.9493,-3.6074,-1.8962,-0.3256,-0.2446
17,Operating Income,-14704,-75768,-12790,-13336,-1749568,-2564727,-3066044,-4225183
18,Operating Income ratio,-Infinity,-5.3133,-0.8784,-0.9492,-3.8576,-1.7411,-0.3358,-0.2533
19,Total Other Income Expenses (Gains),4704,-262,-340,-414,-1552,-348153,65954,-152891
20,Income Before Tax,-10000,-76030,-13130,-13750,-1751120,-2912880,-3000090,-4378074
21,Income Before Tax Ratio,-Infinity,-5.3317,-0.9018,-0.9786,-3.8610,-1.9775,-0.3286,-0.2624
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-76030,-13130,-13750,-1751120,-2912880,-3004370,-4381974
24,Net Income ratio,-Infinity,-5.3317,-0.9018,-0.9786,-3.8610,-1.9775,-0.3290,-0.2627
25,EPS,-0.00,-0.04,-0.01,-0.01,-0.15,-0.12,-0.12,-0.13
26,EPS Diluted,-0.00,-0.04,-0.01,-0.01,-0.15,-0.16,-0.12,-0.13
27,Weighted Average Shares Outstanding,2250000,2398280,2553530,2576750,11729514,24763753,25847953,33702858
28,Weighted Average Shares Outstanding Diluted,2250000,2398280,2553530,2576750,11760199,24763753,25847953,33702858
