,https://roic.ai/company/QLGN,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,5557967,5653725
2,COGS,3978029,4332485
3,Gross Profit,1579938,1321240
4,Gross Profit Ratio,0.2843,0.2337
5,Research and Development Exp.,1205119,11716718
6,General and Administrative Exp.,1510068,11724964
7,Selling and Marketing Exp.,367953,542594
8,"Selling, General and Administrative Exp.",1878021,12267558
9,Other Expenses,- -,- -
10,Operating Expenses,3083140,23984276
11,COGS and Expenses,7061169,28316761
12,Interest Income ,- -,- -
13,Interest Expense (Gain),283095,42693
14,Depreciation and Amortization,216602,338277
15,EBITDA,-1283815,-17510740
16,EBITDA ratio,-0.2310,-3.0972
17,Operating Income,-1503202,-22663036
18,Operating Income ratio,-0.2705,-4.0085
19,Total Other Income Expenses (Gains),-280310,4771326
20,Income Before Tax,-1783512,-17891710
21,Income Before Tax Ratio,-0.3209,-3.1646
22,Income Tax expense (Gain),4000,5427
23,Net Income,-1787512,-17897137
24,Net Income ratio,-0.3216,-3.1655
25,EPS,-0.14,-1.43
26,EPS Diluted,-0.14,-1.43
27,Weighted Average Shares Outstanding,12540000,12540000
28,Weighted Average Shares Outstanding Diluted,12540000,12540000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1460702/000149315222008431/0001493152-22-008431-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,153121,17538272
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,153121,17538272
34,Net Receivables,707302,822351
35,Inventory,660138,1055878
36,Other Current Assets,98385,1379896
37,Total Current Assets,1618946,20796397
38,PP&E,1511519,1849488
39,Goodwill,- -,- -
40,Intangible Assets,- -,171190
41,Intangible Assets,571270,171190
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,18279,18630
45,Total Non-Current Assets,2101068,2039308
46,Other Assets,- -,- -
47,Total Assets,3720014,22835705
48,Accounts Payable,879264,886224
49,Short-Term Debt,1913255,134091
50,Tax Payable,24855,- -
51,Deferred Revenue,376622,135063
52,Other Current Liabilities,2170149,3480101
53,Total Current Liabilities,5339290,4635479
54,Long-Term Debt,305805,1542564
55,Deferred Revenue,2689,92928
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,- -,- -
58,Total Non-Current Liabilities,308494,1635492
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,5647784,6270971
62,Preferred Stock,155731,- -
63,Common Stock,56026,35290
64,Retained Earnings,-47301126,-84744629
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,45161599,101274073
67,Total Stockholders Equity,-1927770,16564734
68,Total Liabilities And Stockholders Equity,3720014,22835705
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,3720014,22835705
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1460702/000149315222008431/0001493152-22-008431-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-1787512,-17897137
74,Depreciation and Amortization,216602,338277
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,7866,5293651
77,Change in Working Capital,1522153,19881262
78,Accounts Receivable,129341,-247845
79,Inventory,57917,-108138
80,Accounts Payable,482173,385455
81,Other Working Capital,-3720344,16160918
82,Other Non-Cash Items,98222,-22346795
83,Cash Provided by Operating Activities,57331,-14730742
84,CAPEX,-194477,-134471
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,-706929
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-187503,700036
89,Cash Used for Investing Activites,-194477,-141364
90,Debt Repayment,-165921,- -
91,Common Stock Issued,- -,101750
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,331065,8332058
95,Cash Used/Provided by Financing Activities,165144,8433808
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,27998,17385151
98,Cash at the End of Period,153121,17538272
99,Cash at the Beginning of Period,125123,153121
100,Free Cash Flow,-137146,-14865213
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1460702/000149315222008431/0001493152-22-008431-index.htm
102,false,,
