,https://roic.ai/company/PT,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,54874000,568720000,1052641000,1285236000,378264000
2,COGS,59854000,372413000,555137000,769688000,285774000
3,Gross Profit,-4980000,196307000,497504000,515548000,92490000
4,Gross Profit Ratio,-0.0908,0.3452,0.4726,0.4011,0.2445
5,Research and Development Exp.,51172000,71517000,94989000,79079000,37521000
6,General and Administrative Exp.,72849000,106323000,312979000,1095311000,147753000
7,Selling and Marketing Exp.,72010000,72076000,99671000,69593000,44697000
8,"Selling, General and Administrative Exp.",144859000,178399000,412650000,1164904000,192450000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,196031000,249916000,507639000,1243983000,229971000
11,COGS and Expenses,255885000,622329000,1062776000,2013671000,515745000
12,Interest Income ,- -,- -,- -,43156000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,2948000,4079000,4701000,12289000,15225000
15,EBITDA,-197379000,-107758000,12581000,-891638000,-229514000
16,EBITDA ratio,-3.5969,-0.1895,0.0120,-0.6938,-0.6068
17,Operating Income,-201011000,-53609000,-10135000,-728435000,-206839000
18,Operating Income ratio,-3.6631,-0.0943,-0.0096,-0.5668,-0.5468
19,Total Other Income Expenses (Gains),684000,-12735000,18015000,-176087000,-40105000
20,Income Before Tax,-200327000,-66344000,7880000,-904522000,-246944000
21,Income Before Tax Ratio,-3.6507,-0.1167,0.0075,-0.7038,-0.6528
22,Income Tax expense (Gain),167000,18516000,5709000,1968000,49196000
23,Net Income,-200494000,-130353000,2171000,-905895000,-293935000
24,Net Income ratio,-3.6537,-0.2292,0.0021,-0.7048,-0.7771
25,EPS,-20.98,-14.49,-1.83,-22.47,-6.93
26,EPS Diluted,-20.98,-14.49,-1.83,-22.47,-6.93
27,Weighted Average Shares Outstanding,9558018,8982233,37942064,40304238,42443038
28,Weighted Average Shares Outstanding Diluted,9558018,8982233,37942064,40304238,42443038
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,27292000,370891000,457442000,102755000,377160000
32,Short-Term Investments,- -,2000000,- -,91374000,18569000
33,Cash and Short-Term Investments,27292000,372891000,457442000,194129000,395729000
34,Net Receivables,478196000,1793034000,1421811000,506896000,125684000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,17155000,60267000,336043000,458831000,199488000
37,Total Current Assets,522643000,2226192000,2215296000,1159856000,720901000
38,PP&E,4833000,6647000,7806000,14317000,107208000
39,Goodwill,25680000,25680000,25680000,35157000,- -
40,Intangible Assets,8815000,7212000,5423000,49790000,16666000
41,Intangible Assets,34495000,32892000,31103000,84947000,16666000
42,Investments,- -,6439000,58038000,112250000,121877000
43,Tax Assets,- -,- -,36901000,64675000,1053000
44,Other Non-Current Assets,- -,178627000,18882000,124554000,10799000
45,Total Non-Current Assets,39328000,224605000,152730000,400743000,257603000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,561971000,2450797000,2368026000,1560599000,978504000
48,Accounts Payable,9656000,97027000,47047000,63826000,10360000
49,Short-Term Debt,382281000,1463157000,899957000,721265000,132841000
50,Tax Payable,1917000,22386000,57081000,52535000,26971000
51,Deferred Revenue,- -,1916000,54686000,67485000,6890000
52,Other Current Liabilities,179239000,461218000,278814000,229012000,371514000
53,Total Current Liabilities,571176000,2023318000,1280504000,1081588000,521605000
54,Long-Term Debt,- -,469733000,21498000,101498000,400000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2128000,701000
57,Other Non-Current Liabilities,- -,19941000,8748000,16665000,8148000
58,Total Non-Current Liabilities,- -,489674000,30246000,120291000,408849000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,571176000,2512992000,1310750000,1201879000,930454000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,228000,254000,274000
64,Retained Earnings,-9205000,-62195000,-872698000,-1860640000,-2155679000
65,Other Comprehensive Income/Loss,-3018000,-5332000,32753000,72549000,50676000
66,Other Total Stockholders Equity,- -,- -,1896993000,1977365000,1985792000
67,Total Stockholders Equity,-9205000,-62195000,1057276000,189528000,-118937000
68,Total Liabilities And Stockholders Equity,561971000,2450797000,2368026000,1391407000,811517000
69,Minority Interest,- -,- -,- -,169192000,166987000
70,Total Liabilities & Equity,561971000,2450797000,2368026000,1560599000,978504000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-200494000,-130353000,2171000,-905895000,-293935000
74,Depreciation and Amortization,2948000,4079000,4701000,12289000,15225000
75,Deferred Income Tax,- -,- -,- -,- -,46915000
76,Stock Based Compensation,25665000,31018000,131260000,17847000,11898000
77,Change in Working Capital,31934000,103194000,-199383000,-127406000,111379000
78,Accounts Receivable,-7836000,-45958000,-119123000,-49780000,17162000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,784000,36139000,-4193000,15070000,-47362000
81,Other Working Capital,- -,- -,-36901000,-17263000,- -
82,Other Non-Cash Items,16881000,189500000,169560000,1178244000,165481000
83,Cash Provided by Operating Activities,-123066000,197438000,108309000,175079000,56963000
84,CAPEX,-1296000,-2238000,-4071000,-10015000,-97801000
85,Acquisitions Net,310000,- -,- -,38941000,26000
86,Purchases of Investments,- -,-4000000,-19259000,-291500000,-41494000
87,Sales/Maturities of Investments,- -,- -,1685000,- -,- -
88,Other Investing Activites,-107192000,-1438535000,272221000,-276128000,331888000
89,Cash Used for Investing Activites,-108178000,-1444773000,250576000,-538702000,192619000
90,Debt Repayment,-1666113000,-5534199000,-4462353000,-1242905000,-736659000
91,Common Stock Issued,- -,- -,316451000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1922813000,7130167000,4096648000,1467277000,450020000
95,Cash Used/Provided by Financing Activities,256700000,1595968000,-49254000,224372000,-286639000
96,Effect of Forex Changes on Cash,- -,-34000,24519000,10114000,-21503000
97,Net Change In Cash,25456000,348599000,334150000,-129137000,-58560000
98,Cash at the End of Period,27292000,375891000,710041000,580904000,522344000
99,Cash at the Beginning of Period,1836000,27292000,375891000,710041000,580904000
100,Free Cash Flow,-124362000,195200000,104238000,165064000,-40838000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
