,https://roic.ai/company/DUOT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,459910,1225461,780244,1070704,666152,617188,607596,401311,6767763,6104893,3884588,12048619,13641315,8039448,8259917
2,COGS,5586,44689,37567,31397,62597,389145,276245,168293,3196176,2732451,2294552,6844396,7159877,5253055,10819087
3,Gross Profit,454324,1180772,742677,1039307,603555,228043,331351,233018,3571587,3372442,1590036,5204223,6481438,2786393,-2559170
4,Gross Profit Ratio,0.9879,0.9635,0.9519,0.9707,0.9060,0.3695,0.5453,0.5806,0.5277,0.5524,0.4093,0.4319,0.4751,0.3466,-0.3098
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,216806,271950,310099,488694,431425,1022188,251563
6,General and Administrative Exp.,- -,1769356,1751433,1790546,1457108,804770,785786,662808,3749190,4566334,4544112,5996293,8035000,7680824,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,254083,278264,179318,289140,421535,717809,1233851
8,"Selling, General and Administrative Exp.",- -,1769356,1751433,1790546,1457108,804770,785786,662808,4003273,4844598,4723430,6285433,8456535,8398633,1233851
9,Other Expenses,486833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3412367
10,Operating Expenses,486833,1769356,1751433,1790546,1457108,804770,785786,662808,4220079,5116548,5033529,6774127,8887960,9420821,4897781
11,COGS and Expenses,492419,1814045,1789000,1821943,1519705,1193915,1062031,831101,7416255,7848999,7328081,13618523,16047837,14673876,15716868
12,Interest Income ,- -,267,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,10217,39995,273847,191677,141205,744343,561174,4519035,17180,69322,150137,20268
14,Depreciation and Amortization,13513,22208,19657,156309,165416,34194,5715,4126,44411,47051,48283,98922,398720,425311,275346
15,EBITDA,-49195,-566109,-989538,-642247,-688512,-556954,-451175,-589892,-1537196,-1953388,-585159,-1464785,-2002840,-6171987,-5713287
16,EBITDA ratio,-0.1070,-0.4620,-1.2682,-0.5998,-1.0336,-0.9024,-0.7426,-1.4699,-0.2271,-0.3200,-0.1506,-0.1216,-0.1468,-0.7677,-0.6917
17,Operating Income,-32509,-588584,-1008756,- -,-853553,-576727,-454435,-429790,-2227308,-1744106,-3443494,-1569904,-2406522,-6634428,-7456951
18,Operating Income ratio,-0.0707,-0.4803,-1.2929,- -,-1.2813,-0.9344,-0.7479,-1.0710,-0.3291,-0.2857,-0.8865,-0.1303,-0.1764,-0.8252,-0.9028
19,Total Other Income Expenses (Gains),-22210,267,-439,-57534,-40370,-288268,-194132,-305433,-98642,-817507,-1708982,-10983,-64360,-113007,1448050
20,Income Before Tax,-54719,-588317,-1009195,-808773,-893923,-864995,-648567,-735223,-2325950,-2561613,-5152476,-1580887,-2470882,-6747435,-6008901
21,Income Before Tax Ratio,-0.1190,-0.4801,-1.2934,-0.7554,-1.3419,-1.4015,-1.0674,-1.8321,-0.3437,-0.4196,-1.3264,-0.1312,-0.1811,-0.8393,-0.7275
