,https://roic.ai/company/PME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,122667769,233427011,60700190,20540769,63209687,64256088,89622156,87240420
2,COGS,- -,- -,- -,75760033,155840823,63476627,29328776,41126898,33239582,64396571,89661883
3,Gross Profit,- -,- -,- -,46907736,77586188,-2776437,-8788007,22082789,31016506,25225585,-2421463
4,Gross Profit Ratio,- -,- -,- -,0.3824,0.3324,-0.0457,-0.4278,0.3494,0.4827,0.2815,-0.0278
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11248,310075,1060390,3191637,4537351,3703783,3726094,4698073,4513193,4133507,4091729
7,Selling and Marketing Exp.,- -,- -,- -,1618278,2673213,1858687,1235497,1231031,1622451,2715599,4850044
8,"Selling, General and Administrative Exp.",11248,310075,1060390,4809915,7210564,5562470,4961591,5929104,6135644,6849106,8941773
9,Other Expenses,- -,- -,- -,-7338273,-20094039,-33152698,-214714,-17101618,-2793174,-2714238,-10593762
10,Operating Expenses,- -,310075,1060390,-2528358,-12883475,-27590228,4746877,-11172514,3342470,4134868,-1651989
11,COGS and Expenses,11248,310075,1060390,73231675,142957348,35886399,34075653,29954384,36582052,68531439,88009894
12,Interest Income ,- -,5577,16411,8250,16772,103668,1931963,186194,41446,780604,3745611
13,Interest Expense (Gain),12161,7739,- -,4171989,4815670,3630200,1972267,2403213,1210974,6055310,13432919
14,Depreciation and Amortization,- -,- -,- -,4018090,6017886,6353055,6613720,8965553,9141975,11308882,14722446
15,EBITDA,-11248,-309397,-1045329,105589499,96594261,28336172,-5130652,41028459,23750250,23046216,-44722883
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.8608,0.4138,0.4668,-0.2498,0.6491,0.3696,0.2571,-0.5126
17,Operating Income,-11248,-310075,-1060390,42097821,70375624,-7568712,-13992969,33254206,15853018,13168148,-68482798
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,0.3432,0.3015,-0.1247,-0.6812,0.5261,0.2467,0.1469,-0.7850
19,Total Other Income Expenses (Gains),- -,-678,2295285,3390937,15385081,27127114,-683358,-734075,-1040320,-6788083,-9135782
20,Income Before Tax,- -,- -,1234895,45488758,85760705,19558402,-14676327,32520131,14812698,6380065,-77618580
21,Income Before Tax Ratio,- -,- -,Infinity,0.3708,0.3674,0.3222,-0.7145,0.5145,0.2305,0.0712,-0.8897
