,https://roic.ai/company/CMGO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,4516,441328,3527493,4972093,7231069,8125196,7413796,7413796,1073577,- -,- -,- -,1778773,141,1619
2,COGS,- -,- -,1386392,2702047,5085957,5792283,5296280,5296280,352531,- -,- -,- -,1283496,95,1214
3,Gross Profit,- -,441328,2141101,2270046,2145112,2332913,2117516,2117516,721046,- -,- -,- -,495277,46,405
4,Gross Profit Ratio,- -,1.0000,0.6070,0.4566,0.2967,0.2871,0.2856,0.2856,0.6716,- -,- -,- -,0.2784,0.3255,0.2499
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3923919,2875363,2908815,- -,- -,- -,- -,533270,634581,708
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3489015,5674094,4994199,3923919,2875363,2908815,752139,- -,- -,- -,533270,634581,708
9,Other Expenses,38762,4111202,223750,298333,313257,74850,- -,- -,- -,- -,- -,- -,- -,-633848,1214
10,Operating Expenses,38762,4111202,3712765,5972427,5307456,3998769,2875363,2908815,752139,- -,- -,- -,533270,733,1922
11,COGS and Expenses,38762,4111202,5099157,8674474,19039635,9791052,8171643,13467923,1457201,- -,- -,- -,1816766,828,3137
12,Interest Income ,- -,17173,5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14321,36
13,Interest Expense (Gain),286,55061,285556,417007,-2057543,907916,255845,- -,- -,- -,- -,- -,15380,-3,- -
14,Depreciation and Amortization,- -,1159,223750,354690,313257,74580,- -,4950,-61250,- -,- -,- -,3714,3714,0
15,EBITDA,-34246,-3651542,-1163188,-3419985,-9532163,3218813,1449896,1199001,-62227,- -,- -,- -,1539657,3754,789
