,https://roic.ai/company/XDSL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1,279476,10524134,2582446,1581639,4641346,1711085,975482,153504,112928,186579,354157,49210,1502,4086,581261,1142785,- -,- -,- -,2500000,30276422,30672314
2,COGS,- -,- -,44191,284954,5804673,2415129,1493394,4068255,1446151,974583,89802,949,- -,65704,50260,14520,15094,352135,743150,- -,- -,- -,- -,22579544,22501496
3,Gross Profit,- -,- -,-44190,-5478,4719461,167317,88245,573091,264934,899,63702,111979,186579,288453,-1050,-13018,-11008,229126,399635,- -,- -,- -,2500000,7696878,8170818
4,Gross Profit Ratio,- -,- -,-44190.0000,-0.0196,0.4484,0.0648,0.0558,0.1235,0.1548,0.0009,0.4150,0.9916,1.0000,0.8145,-0.0213,-8.6671,-2.6941,0.3942,0.3497,- -,- -,- -,1.0000,0.2542,0.2664
5,Research and Development Exp.,190000,2297000,3562901,10288692,10779570,3819583,3538305,4069721,5127438,8034964,6393215,988091,1255665,2203383,625417,53374,125982,2168,5046,- -,- -,- -,- -,- -,2433071
6,General and Administrative Exp.,580000,1710000,4683109,27859330,16150711,7038923,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100354,1311499,677218,228386,734343,4265886,19281181,2531839
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322226,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",580000,1710000,4683109,27859330,16150711,7038923,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100354,1633725,677218,228386,734343,4265886,19281181,2531839
9,Other Expenses,10000,29000,454494,756055,660372,670183,3198951,4300839,6642440,11199651,8777908,4176949,9588166,1870480,1838669,7935686,1213966,12000,4271,3083,2948,683,- -,991928,- -
10,Operating Expenses,780000,4036000,8700504,38904077,27590653,11528689,6737256,8370560,11769878,19234615,15171123,5165040,10843831,4073863,2464086,7989060,1339948,4114522,1643042,680301,231334,735026,4265886,20273109,4964910
11,COGS and Expenses,780000,4036000,8656313,38619123,33395326,13943818,8230650,12438815,13216029,20209198,15260925,5165989,10843831,4139567,2514346,8003580,1355042,4466657,2386192,680301,231334,735026,4265886,42852653,27466406
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1320511,786805,141335,343507,292987,1632316,328164,302386,302906,246162,212854,1119080,2716060
14,Depreciation and Amortization,10000,70000,454494,756055,1235213,1653346,1425952,736099,280590,206935,218237,246355,117943,37356,23130,17971,15972,14168,5125,3083,2948,683,- -,929924,925037
15,EBITDA,-770000,-4007000,-22383850,-37405487,-22763521,-9592015,-5224259,-7022487,-10953634,-24243715,-16633325,-3710366,-14091223,-6541584,-321926,-8425474,48325,-4297983,-765474,-677218,-228386,-734343,-1742307,-12044563,5307108
16,EBITDA ratio,-Infinity,-Infinity,-22383850.0000,-133.8415,-2.1630,-3.7143,-3.3031,-1.5130,-6.4016,-24.8531,-108.3576,-32.8560,-75.5242,-18.4709,-6.5419,-5609.5033,11.8270,-7.3942,-0.6698,-Infinity,-Infinity,-Infinity,-0.6969,-0.3978,0.1730
17,Operating Income,-780000,-4036000,-8656312,-38339647,-22871192,-11361372,-6649011,-7797469,-11504944,-19233716,-15107421,-5053061,-10657252,-3785410,-2465136,-8002078,-1350956,-3885396,-1243407,-680301,-231334,-735026,-1765886,-12576231,3205908
18,Operating Income ratio,-Infinity,-Infinity,-8656312.0000,-137.1840,-2.1732,-4.3995,-4.2039,-1.6800,-6.7238,-19.7171,-98.4171,-44.7459,-57.1192,-10.6885,-50.0942,-5327.6152,-330.6304,-6.6844,-1.0880,-Infinity,-Infinity,-Infinity,-0.7064,-0.4154,0.1045
19,Total Other Income Expenses (Gains),- -,- -,-14164227,- -,-1170903,142236,49968,150058,381284,-5182365,-1725831,1311218,-3551914,-3580335,1978745,-789656,210141,-2090929,144644,-235310,-150586,861760,-208215,-1517336,-1539897
20,Income Before Tax,-780000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7365745,-486391,-8791734,-1140815,-5976325,-1098763,-915611,-381920,126734,-1974101,-14093567,1666011
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20.7980,-9.8840,-5853.3515,-279.2009,-10.2817,-0.9615,-Infinity,-Infinity,Infinity,-0.7896,-0.4655,0.0543
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-780000,-4341000,-22838344,-38161542,-23998734,-11245361,-6650211,-7758586,-11234224,-24450650,-16851562,-3956721,-15529677,-7365745,-486391,-8786952,-260634,-5944467,-1098763,-1146838,-310765,313904,-1955161,-14093567,1666011
24,Net Income ratio,-Infinity,-Infinity,-22838344.0000,-136.5468,-2.2804,-4.3545,-4.2046,-1.6716,-6.5656,-25.0652,-109.7793,-35.0376,-83.2338,-20.7980,-9.8840,-5850.1678,-63.7871,-10.2268,-0.9615,-Infinity,-Infinity,Infinity,-0.7821,-0.4655,0.0543
25,EPS,-501.51,-2300.00,-7100.00,-7050.00,-3600.00,-1150.00,-500.00,-500.00,-550.00,-600.00,-250.00,-50.00,-150.00,-50.00,-1.73,-15.75,-0.29,-4.23,-0.37,-0.35,-0.09,0.09,-0.23,-1.08,0.02
26,EPS Diluted,-501.51,-2300.00,-7100.00,-7050.00,-3600.00,-1150.00,-500.00,-500.00,-550.00,-600.00,-250.00,-50.00,-150.00,-50.00,-1.73,-15.75,-0.29,-4.23,-0.37,-0.35,-0.09,0.09,-0.23,-1.08,0.02
27,Weighted Average Shares Outstanding,1867,1867,3207,5394,6687,9923,13043,15535,20426,39922,62079,81006,118491,208337,280426,557945,903197,1406777,2977959,3308302,3580911,3336811,8505508,13052590,73133533
28,Weighted Average Shares Outstanding Diluted,1867,1867,3207,5394,6687,9923,13043,15535,20426,39922,62079,81006,118491,208337,280426,557945,903197,1406777,2977959,3308302,3600000,3600000,8505508,13052590,73133533
