,https://roic.ai/company/NVST,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2785400000,2810900000,2844500000,2751600000,2282000000,2508900000
2,COGS,1184300000,1189700000,1242700000,1238500000,1123900000,1082400000
3,Gross Profit,1601100000,1621200000,1601800000,1513100000,1158100000,1426500000
4,Gross Profit Ratio,0.5748,0.5768,0.5631,0.5499,0.5075,0.5686
5,Research and Development Exp.,142800000,172400000,172000000,154700000,100800000,100500000
6,General and Administrative Exp.,- -,- -,- -,1080900000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1080900000,- -,1019800000
9,Other Expenses,1055500000,1062200000,1131400000,- -,1024000000,- -
10,Operating Expenses,1198300000,1234600000,1303400000,1235600000,1124800000,1120300000
11,COGS and Expenses,2382600000,2424300000,2546100000,2474100000,2248700000,2202700000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,3500000,62500000,54100000
14,Depreciation and Amortization,127200000,121400000,130000000,168100000,163100000,151900000
15,EBITDA,528900000,508100000,431100000,447100000,195500000,537500000
16,EBITDA ratio,0.1899,0.1808,0.1516,0.1625,0.0857,0.2142
17,Operating Income,402800000,386600000,298400000,277500000,33300000,306200000
18,Operating Income ratio,0.1446,0.1375,0.1049,0.1009,0.0146,0.1220
19,Total Other Income Expenses (Gains),-1100000,100000,2700000,-2000000,-63400000,-51700000
20,Income Before Tax,401700000,386700000,301100000,275500000,-30100000,254500000
21,Income Before Tax Ratio,0.1442,0.1376,0.1059,0.1001,-0.0132,0.1014
22,Income Tax expense (Gain),129700000,85600000,70400000,57900000,-63400000,-9000000
23,Net Income,272000000,301100000,230700000,217600000,33300000,340500000
24,Net Income ratio,0.0977,0.1071,0.0811,0.0791,0.0146,0.1357
25,EPS,1.76,1.95,1.42,1.60,0.21,2.11
26,EPS Diluted,1.76,1.95,1.42,1.60,0.20,1.92
27,Weighted Average Shares Outstanding,154600000,154600000,154600000,136200000,159600000,161200000
28,Weighted Average Shares Outstanding Diluted,154600000,154600000,154600000,136400000,164100000,177600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757073/000162828020001914/0001628280-20-001914-index.html,https://www.sec.gov/Archives/edgar/data/1757073/000162828021002508/0001628280-21-002508-index.htm,https://www.sec.gov/Archives/edgar/data/1757073/000175707322000010/0001757073-22-000010-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,211200000,888900000,1073600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,211200000,888900000,1073600000
34,Net Receivables,- -,463100000,459800000,443600000,361000000,331900000
35,Inventory,- -,275700000,278700000,277900000,266900000,263800000
36,Other Current Assets,- -,55700000,48300000,69200000,73700000,166500000
37,Total Current Assets,- -,794500000,786800000,1001900000,1590500000,1835800000
38,PP&E,- -,231200000,261600000,490400000,468300000,392200000
39,Goodwill,- -,3370000000,3325500000,3306000000,3430700000,3132000000
40,Intangible Assets,- -,1515900000,1390300000,1285600000,1259130000,1046400000
41,Intangible Assets,- -,4885900000,4715800000,4591600000,4689830000,4178400000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,81200000,77400000,74400000,127300000,167800000
45,Total Non-Current Assets,- -,5198300000,5054800000,5156400000,5285430000,4738400000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5992800000,5841600000,6158300000,6875930000,6574200000
48,Accounts Payable,- -,222400000,217400000,208000000,235100000,185800000
49,Short-Term Debt,- -,- -,- -,3900000,919300000,456100000
50,Tax Payable,- -,- -,- -,- -,48800000,- -
51,Deferred Revenue,- -,52100000,58400000,52600000,48600000,- -
52,Other Current Liabilities,- -,353700000,365200000,444700000,481700000,565900000
53,Total Current Liabilities,- -,628200000,641000000,709200000,1684700000,1207800000
54,Long-Term Debt,- -,- -,- -,1321000000,1061500000,1003800000
55,Deferred Revenue,- -,4100000,4000000,4400000,4800000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,365900000,370200000,580900000,404000000,304600000
58,Total Non-Current Liabilities,- -,370000000,374200000,1906300000,1470300000,1308400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,212700000,186300000,144100000
61,Total Liabilities,- -,998200000,1015200000,2615500000,3155000000,2516200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1600000,1600000,1600000
64,Retained Earnings,- -,- -,- -,93100000,126400000,466900000
65,Other Comprehensive Income/Loss,- -,-354100000,-375200000,-144000000,-91800000,-143500000
66,Other Total Stockholders Equity,- -,5348700000,5201600000,3589500000,3684400000,3732600000
67,Total Stockholders Equity,- -,4990500000,4823100000,3540200000,3720600000,4057600000
68,Total Liabilities And Stockholders Equity,- -,5988700000,5838300000,6155700000,6875600000,6573800000
69,Minority Interest,- -,4100000,3300000,2600000,330000,400000
70,Total Liabilities & Equity,- -,5992800000,5841600000,6158300000,6875930000,6574200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1757073/000162828020001914/0001628280-20-001914-index.html,https://www.sec.gov/Archives/edgar/data/1757073/000162828021002508/0001628280-21-002508-index.htm,https://www.sec.gov/Archives/edgar/data/1757073/000175707322000010/0001757073-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,272000000,301100000,230700000,217600000,33300000,340500000
74,Depreciation and Amortization,127200000,121400000,130000000,168100000,163100000,151900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,10500000,12300000,13300000,18400000,22600000,28200000
77,Change in Working Capital,-3600000,187400000,-20500000,146900000,-386900000,-173400000
78,Accounts Receivable,-27300000,-18900000,-3800000,12800000,71900000,-43200000
79,Inventory,-8900000,-30500000,-8900000,-1500000,11900000,-66000000
80,Accounts Payable,15300000,-500000,-3800000,-7900000,21600000,-20300000
81,Other Working Capital,-21100000,166300000,145800000,292700000,-94200000,-59000000
82,Other Non-Cash Items,10900000,-263100000,46600000,-153500000,451800000,44200000
83,Cash Provided by Operating Activities,417000000,359100000,400100000,397500000,283900000,391400000
84,CAPEX,-49100000,-48900000,-72200000,-77800000,-47700000,-54700000
85,Acquisitions Net,-5000000,- -,- -,- -,-40700000,280600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5300000,-6000000,-3300000,-600000,19300000,7000000
89,Cash Used for Investing Activites,-59400000,-54900000,-75500000,-78400000,-69100000,232900000
90,Debt Repayment,- -,- -,- -,-300000,-250000000,-475700000
91,Common Stock Issued,- -,- -,- -,643400000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-357600000,-304200000,-324600000,-750800000,742500000,10100000
95,Cash Used/Provided by Financing Activities,-357600000,-304200000,-324600000,-107700000,492500000,-465600000
96,Effect of Forex Changes on Cash,- -,- -,- -,-200000,-29600000,26000000
97,Net Change In Cash,-357600000,-304200000,-324600000,-107700000,677700000,184700000
98,Cash at the End of Period,- -,- -,- -,211200000,888900000,1073600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,211200000,888900000
100,Free Cash Flow,367900000,310200000,327900000,319700000,236200000,336700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757073/000162828020001914/0001628280-20-001914-index.html,https://www.sec.gov/Archives/edgar/data/1757073/000162828021002508/0001628280-21-002508-index.htm,https://www.sec.gov/Archives/edgar/data/1757073/000175707322000010/0001757073-22-000010-index.htm
102,false,,,,,,
