,https://roic.ai/company/MTA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5714232,5803888,2603402,2969757
2,COGS,- -,- -,- -,- -,- -,112642,111500,481,506,- -,5135908,4002135,1652582,2347535
3,Gross Profit,- -,- -,- -,- -,- -,-112642,-111500,-481,-506,- -,578324,1801753,950820,622222
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,0.1012,0.3104,0.3652,0.2095
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,335314,183466,378096,453281,433086,570732,517652,160892,157592,2272917,2006923,2872895,4550822,9567543
7,Selling and Marketing Exp.,59064,4250,- -,- -,221465,325258,128336,61362,4317,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",394378,187716,378096,453281,654550,895990,645988,222254,161909,2272917,2006923,2872895,4550822,9567543
9,Other Expenses,638,654,- -,- -,62991,-0,65032,- -,0,- -,- -,- -,- -,- -
10,Operating Expenses,395016,188370,378096,453281,717541,895990,711020,222254,161909,2272917,2006923,2872895,4550822,9567543
11,COGS and Expenses,395016,188370,378096,453281,717541,1008632,822520,222735,162415,2272917,7142831,6875030,6203404,11915078
12,Interest Income ,- -,- -,- -,- -,- -,14777,57450,-5384,- -,74229,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,12201,203930,276701,361758,659129,818371
14,Depreciation and Amortization,638,654,- -,- -,62991,112642,111500,481,506,- -,2861515,1785619,673171,2347535
15,EBITDA,-394378,414308,-372427,-453281,157401,-909544,983965,-98729,-156542,-2181481,1304562,604835,-3089050,-7325562
16,EBITDA ratio,-Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,0.2283,0.1042,-1.1865,-2.4667
17,Operating Income,-395016,-191494,-378096,-453281,-1529493,-1008632,-822520,-222735,-162415,-2272917,-1428599,-1071142,-3600001,-8945321
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2500,-0.1846,-1.3828,-3.0121
19,Total Other Income Expenses (Gains),- -,-598900,77766,-6024,- -,28331,-1637535,-127857,3507,-131130,-405056,-471399,-821348,-1546147
20,Income Before Tax,-395016,-790394,-300331,-459306,-1529493,-980301,-2460055,-350592,-158908,-2404047,-1833654,-1542541,-4421349,-10491468
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3209,-0.2658,-1.6983,-3.5328
22,Income Tax expense (Gain),- -,- -,-102240,-325146,- -,- -,- -,- -,- -,- -,153019,263438,278548,-65111
23,Net Income,-395016,-790394,-198091,-134160,-1529493,-980301,-2460055,-4179238,-158908,-2404047,-1986674,-1805979,-4699897,-10426357
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3477,-0.3112,-1.8053,-3.5108
25,EPS,-0.08,-0.14,-0.16,-0.05,-0.40,-0.16,-0.38,-0.58,-0.02,-0.24,-0.12,-0.06,-0.14,-0.24
26,EPS Diluted,-0.08,-0.14,-0.16,-0.05,-0.40,-0.16,-0.38,-0.60,-0.02,-0.24,-0.12,-0.06,-0.14,-0.24
27,Weighted Average Shares Outstanding,4712425,5609426,1214397,2457025,3803536,5999693,6594071,6910395,6969594,9838307,17822470,25704885,33887938,42570625
28,Weighted Average Shares Outstanding Diluted,4712425,5609426,1214397,2457025,3803536,5999693,6594071,6910395,6969594,9838307,17822470,25704885,33887938,42570625
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722606/000106299320004133/0001062993-20-004133-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100854,7336,610407,71554,1224518,1645074,12397,95912,3144,903109,3735920,3402115,3385304,2344246
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100854,7336,610407,71554,1224518,1645074,12397,95912,3144,903109,3735920,3402115,3385304,2344246
34,Net Receivables,- -,- -,- -,- -,175283,280683,100905,5859,9027,34718,195974,240436,167289,1301173
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,63814,22379,94131,202748,78882,49064,94917,5857,14716,161492,99048,254149,216743,2884255
37,Total Current Assets,164668,29715,704538,274302,1478683,1974821,208220,107628,26888,1099319,4030941,3896701,3769336,6529674
38,PP&E,876838,395748,1120365,3196647,3280028,4831275,4309634,531,- -,2048460,13207723,41581953,45112576,102863762
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,9174,9478,- -,22202,- -,- -,- -,- -,1899173,1871213,1619684,1426059,1340458
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-0,10237,-0,22198,217273,- -,- -,768880,- -,0,- -,1889460
45,Total Non-Current Assets,876838,404922,1129843,3206884,3302230,4853473,4526908,531,- -,4716514,15078936,43201638,46538635,106093680
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1041506,434637,1834381,3481186,4780913,6828294,4735127,108159,26888,5815832,19109878,47098339,50307971,112623354
48,Accounts Payable,- -,- -,- -,- -,176577,216764,173800,91046,48629,- -,- -,832950,937647,1031688
49,Short-Term Debt,- -,42072,- -,- -,- -,- -,- -,221902,178961,- -,138801,2068718,2798,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357339,151267,57531
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,135818,204966,140074,775177,- -,- -,- -,- -,- -,185271,276863,357339,392816,57531
53,Total Current Liabilities,135818,247039,140074,775177,176577,216764,173800,312948,227590,185271,415664,3259007,1333261,1089219
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,11184,6710255,- -,3313056,10514644
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153019,107333,476043,468068
57,Other Non-Current Liabilities,- -,9174,9478,10236,9704,9702,9216,- -,- -,- -,-0,- -,0,- -
58,Total Non-Current Liabilities,- -,9174,9478,10236,9704,9702,9216,- -,- -,11184,6863275,107333,3789099,10982712
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22368,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2798,- -
61,Total Liabilities,135818,256213,149552,785413,186281,226466,183016,312948,227590,196456,7278939,3366340,5122359,12071931
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10449041,- -,15887958,15408401,13453076,12972374,18966662,27809240,61388215,66470252,133905784
64,Retained Earnings,-8668931,-8698208,-9183844,-10053858,-11298538,-12402261,-14240534,-16612649,-15988600,-17883264,-20960557,-23122865,-28425289,-45405293
65,Other Comprehensive Income/Loss,-17118,- -,- -,-894,-104100,-220197,-341183,-2331,-2991,4535979,4982256,5466649,7140648,12050932
66,Other Total Stockholders Equity,- -,- -,- -,2301484,- -,3336327,3725427,2957115,2818516,-0,-0,- -,- -,- -
67,Total Stockholders Equity,905687,178424,1684829,2695773,4594632,6601828,4552111,-204789,-200702,5619377,11830939,43731999,45185611,100551423
68,Total Liabilities And Stockholders Equity,1041506,434637,1834381,3481186,4780913,6828294,4735127,108159,26888,5815832,19109878,47098339,50307971,112623354
69,Minority Interest,-0,- -,-0,0,- -,- -,- -,-0,-0,- -,0,- -,0,- -
70,Total Liabilities & Equity,1041506,434637,1834381,3481186,4780913,6828294,4735127,108159,26888,5815832,19109878,47098339,50307971,112623354
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722606/000106299320004133/0001062993-20-004133-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-395016,-790394,-198091,-134160,-1529493,-980301,-2460055,-4179238,-158908,-2404047,-1986674,-1805979,-4699897,-10426357
74,Depreciation and Amortization,638,654,- -,- -,62991,112642,111500,481,506,- -,2861515,1785619,673171,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,65032,- -,- -,- -,153019,-38502,371346,-111817
76,Stock Based Compensation,20514,8963,187828,52175,138503,197825,280521,- -,- -,1661482,645805,801531,1471266,5324268
77,Change in Working Capital,-20754,196828,-59244,113891,-250803,-35410,-175925,-126809,-50705,-62030,250886,560764,144395,-614033
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67241,34977
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,111193,-96381,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-12498,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-0,605079,-119941,-319122,811952,0,1834421,3917936,11604,126511,261642,386642,916284,6126906
83,Cash Provided by Operating Activities,-394618,21130,-189449,-287216,-766849,-705244,-344507,-387629,-197504,-678084,2186194,1690075,-1123435,298967
84,CAPEX,-640758,-172334,-713941,-1986514,-1124726,-1664526,-1666490,-29203,- -,-1168698,-674110,-9947256,-3463898,-36506829
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-9174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1922799,430199,310095,224425,483846
89,Cash Used for Investing Activites,-640758,-181508,-713941,-1986514,-1124726,-1664526,-1666490,-29203,- -,-3091497,-243910,-9637162,-3239473,-36022983
90,Debt Repayment,- -,- -,-43463,- -,- -,- -,- -,- -,- -,- -,- -,-1158122,-1922217,- -
91,Common Stock Issued,- -,- -,1549682,- -,- -,2790564,460796,- -,109257,4763363,- -,4716871,- -,26660317
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-290257,-1340531,-1170483,- -
94,Other Financing Activites,925629,75715,- -,1685968,3048263,- -,- -,221903,- -,-93687,1143891,5506123,7498540,6106462
95,Cash Used/Provided by Financing Activities,925629,75715,1506218,1685968,3048263,2790564,460796,221903,109257,4669677,853634,7724341,4405840,32766779
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31,-3524,64361,23821,1579
97,Net Change In Cash,-109748,-84663,602829,-587762,1156687,420794,-1550202,85088,-88247,900065,2792393,-158385,66753,-2955658
98,Cash at the End of Period,100854,7336,610407,71554,1224518,1645074,12397,95912,3144,903109,3735920,3402115,3385304,2344246
99,Cash at the Beginning of Period,210601,91999,7578,659316,67831,1224280,1562599,10824,91391,3044,943527,3560500,3318551,5299904
100,Free Cash Flow,-1035377,-151204,-903389,-2273730,-1891576,-2369770,-2010997,-416832,-197504,-1846782,1512084,-8257182,-4587333,-36207862
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722606/000106299320004133/0001062993-20-004133-index.htm,- -
102,false,,,,,,,,,,,,,,
