,https://roic.ai/company/NETI,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,48987000,62521000,78402000,162205000,242502000,224579000,163732000,139229000
2,COGS,- -,79079000,95811000,122705000,140995000,166807000,176769000,172291000,111033000
3,Gross Profit,- -,-30092000,-33290000,-44303000,21210000,75695000,47810000,-8559000,28196000
4,Gross Profit Ratio,- -,-0.6143,-0.5325,-0.5651,0.1308,0.3121,0.2129,-0.0523,0.2025
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5505000,31909000,35382000,33995000,29081000,32385000,31973000,25671000,83954000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5505000,31909000,35382000,33995000,29081000,32385000,31973000,25671000,83954000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,31909000,35382000,33995000,29081000,32385000,31973000,25671000,83954000
11,COGS and Expenses,5505000,110988000,131193000,156700000,170076000,199192000,208742000,197962000,194987000
12,Interest Income ,341000,1052000,356000,933000,1100000,1107000,1450000,210000,87000
13,Interest Expense (Gain),- -,172000,998000,16002000,27719000,39855000,44101000,29557000,16360000
14,Depreciation and Amortization,- -,686000,14263000,36562000,48510000,56607000,54224000,48369000,10804000
15,EBITDA,-4370000,-115707000,-495528000,-72271000,16503000,83764000,142979000,-594057000,47126000
16,EBITDA ratio,-Infinity,-2.3620,-7.9258,-0.9218,0.1017,0.3454,0.6367,-3.6282,0.3385
17,Operating Income,-5505000,-117488000,-491609000,-100731000,-25572000,43310000,-21452000,-529643000,-33026000
18,Operating Income ratio,-Infinity,-2.3984,-7.8631,-1.2848,-0.1577,0.1786,-0.0955,-3.2348,-0.2372
19,Total Other Income Expenses (Gains),-802000,923000,-19180000,-24104000,-34154000,-56008000,66106000,-142340000,52988000
20,Income Before Tax,-6307000,-116565000,-510789000,-124835000,-59726000,-12698000,44654000,-671983000,19962000
21,Income Before Tax Ratio,-Infinity,-2.3795,-8.1699,-1.5922,-0.3682,-0.0524,0.1988,-4.1042,0.1434
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-6117000
23,Net Income,-6307000,-116565000,-510789000,-124835000,-59726000,-12698000,44654000,-671983000,26079000
24,Net Income ratio,-Infinity,-2.3795,-8.1699,-1.5922,-0.3682,-0.0524,0.1988,-4.1042,0.1873
25,EPS,-19.20,-102.00,-238.60,-22.20,-8.30,-1.80,6.60,-70.85,3.83
