,https://roic.ai/company/AMSIY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,18487000000,23053000000,24032000000,25363000000,29333000000,39914000000,25598000000,30224000000,31453000000,32291000000,32421000000,34852000000,31141000000,32737000000,39022000000,45274000000,41353000000,24643000000
2,COGS,- -,- -,- -,11071000000,12162000000,18556000000,15299000000,18702000000,21330000000,19227000000,18456000000,21047000000,19640000000,18481000000,24417000000,25391000000,26717000000,14043000000
3,Gross Profit,- -,- -,- -,14292000000,17171000000,21358000000,10299000000,11522000000,10123000000,13064000000,13965000000,13805000000,11501000000,14256000000,14605000000,19883000000,14636000000,10600000000
4,Gross Profit Ratio,- -,- -,- -,0.5635,0.5854,0.5351,0.4023,0.3812,0.3218,0.4046,0.4307,0.3961,0.3693,0.4355,0.3743,0.4392,0.3539,0.4301
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1364000000,- -,2062000000,2951000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1364000000,- -,2062000000,2951000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,15126000000,15419000000,17177000000,8821000000,8104000000,9199000000,7982000000,6420000000,9826000000,13541000000,13918000000,14106000000,16237000000,15348000000,15825000000,17081000000,16980000000,11520000000
10,Operating Expenses,15126000000,15419000000,17177000000,8821000000,9468000000,9199000000,10044000000,9371000000,9826000000,13541000000,13918000000,14106000000,16237000000,15348000000,15825000000,17081000000,16980000000,11520000000
11,COGS and Expenses,15126000000,15419000000,17177000000,19892000000,21630000000,27755000000,25343000000,28073000000,31156000000,32768000000,32374000000,35153000000,35877000000,33829000000,40242000000,42472000000,43697000000,25563000000
