,https://roic.ai/company/VIR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2708000,10668000,8091000,76368,1095415000
2,COGS,- -,- -,- -,- -,65865000
3,Gross Profit,- -,- -,- -,76368,1029550000
4,Gross Profit Ratio,- -,- -,- -,1.0000,0.9399
5,Research and Development Exp.,62512000,100229000,148472000,302411,448006000
6,General and Administrative Exp.,21693000,29131000,37598000,70937,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21693000,29131000,37598000,70937,160793000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,84205000,129360000,186070000,373348,608799000
11,COGS and Expenses,84205000,129360000,186070000,373348,674664000
12,Interest Income ,638000,2540000,8511000,2836000,439000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,432000,2756000,4517000,5442000,- -
15,EBITDA,-80344000,-113608000,-170012000,5143281,549802000
16,EBITDA ratio,-29.6691,-10.6494,-21.0125,67.3486,0.5019
17,Operating Income,-81497000,-118692000,-177979000,-296980000,420751000
18,Operating Income ratio,-30.0949,-11.1260,-21.9972,-3888.8016,0.3841
19,Total Other Income Expenses (Gains),721000,2328000,3450000,296681389,129051000
20,Income Before Tax,-80776000,-116364000,-174529000,-298611,549802000
21,Income Before Tax Ratio,-29.8287,-10.9078,-21.5708,-3.9102,0.5019
22,Income Tax expense (Gain),-10924000,-480000,154000,-54,21218000
23,Net Income,-69852000,-115884000,-174683000,-298665,528584000
24,Net Income ratio,-25.7947,-10.8628,-21.5898,-3.9109,0.4825
25,EPS,-0.72,-1.52,-5.76,-0.00,4.44
26,EPS Diluted,-0.72,-1.52,-5.76,-0.00,4.44
27,Weighted Average Shares Outstanding,96912507,76050495,30349920,119159424,119159424
28,Weighted Average Shares Outstanding Diluted,96912507,76050495,30349920,119159424,119159424
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1706431/000156459020013194/0001564590-20-013194-index.htm,https://www.sec.gov/Archives/edgar/data/1706431/000156459021008915/0001564590-21-008915-index.htm,https://www.sec.gov/Archives/edgar/data/1706431/000095017022002295/0000950170-22-002295-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,187918000,47598000,109335000,436575000,347815000
32,Short-Term Investments,- -,50845000,274101000,300286000,360330000
33,Cash and Short-Term Investments,187918000,98443000,383436000,736861000,708145000
34,Net Receivables,- -,- -,- -,- -,773079000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,4432000,19340000,19559000,35504000,81597000
37,Total Current Assets,192350000,117783000,402995000,772365000,1562821000
38,PP&E,5138000,12290000,16308000,17946000,130054000
39,Goodwill,16937000,16937000,16937000,16937000,16937000
40,Intangible Assets,35882000,36917000,35694000,33820000,33287000
41,Intangible Assets,52819000,53854000,52631000,50757000,50224000
42,Investments,- -,- -,24290000,- -,201388000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1259000,7669000,15847000,- -,9781000
45,Total Non-Current Assets,59216000,73813000,109076000,68703000,391447000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,251566000,191596000,512071000,841068000,1954268000
48,Accounts Payable,4898000,6473000,5881000,5077000,6521000
49,Short-Term Debt,- -,- -,237000,3890000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,8761000,6181000,6451000,98209000
52,Other Current Liabilities,7540000,24674000,46907000,83646000,236512000
53,Total Current Liabilities,12438000,39908000,59206000,99064000,341242000
54,Long-Term Debt,- -,- -,- -,66556000,133561000
55,Deferred Revenue,888000,6561000,12670000,3815000,3815000
56,Deferred Tax Liabilities,3305000,3305000,3305000,- -,18439000
57,Other Non-Current Liabilities,303851000,320999000,12948000,3847000,25362000
58,Total Non-Current Liabilities,308044000,330865000,28923000,74218000,181177000
59,Other Liabilities,- -,- -,- -,177063000,- -
60,Capital Lease Obligations,- -,- -,237000,70446000,133561000
61,Total Liabilities,320482000,370773000,88129000,201909000,522419000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,11000,13000,13000
64,Retained Earnings,-77952000,-193836000,-368519000,- -,-138600000
65,Other Comprehensive Income/Loss,- -,-14000,-601000,-1278000,-1099000
66,Other Total Stockholders Equity,9035000,14672000,793051000,718117000,1571535000
67,Total Stockholders Equity,-68916000,-179177000,423942000,716852000,1431849000
68,Total Liabilities And Stockholders Equity,251566000,191596000,512071000,918761000,1954268000
69,Minority Interest,- -,- -,- -,-77693000,- -
70,Total Liabilities & Equity,251566000,191596000,512071000,841068000,1954268000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1706431/000156459020013194/0001564590-20-013194-index.htm,https://www.sec.gov/Archives/edgar/data/1706431/000156459021008915/0001564590-21-008915-index.htm,https://www.sec.gov/Archives/edgar/data/1706431/000095017022002295/0000950170-22-002295-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-69852000,-115884000,-174683000,-298665,528584000
74,Depreciation and Amortization,432000,2756000,4517000,5442000,5811000
75,Deferred Income Tax,-10924000,-480000,- -,-52000,15186000
76,Stock Based Compensation,4782000,5053000,8719000,27600000,83784000
77,Change in Working Capital,4862000,-102037000,265914000,329512000,-628394000
78,Accounts Receivable,- -,- -,- -,- -,-773079000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2011000,1471000,964000,-790000,-171000
81,Other Working Capital,179912000,77875000,343789000,673301000,92041000
82,Other Non-Cash Items,4319000,116496000,-234099000,-553144335,-52560000
83,Cash Provided by Operating Activities,-66381000,-94096000,-129632000,-190941000,-47589000
84,CAPEX,-2742000,-8192000,-8940000,-6549000,-21817000
85,Acquisitions Net,-27252000,- -,- -,- -,- -
86,Purchases of Investments,- -,-123105000,-643898000,-403841000,-420240000
87,Sales/Maturities of Investments,- -,72574000,396680000,400348000,301243000
88,Other Investing Activites,- -,-1718000,- -,180000,- -
89,Cash Used for Investing Activites,-29994000,-60441000,-256158000,-9862000,-140814000
90,Debt Repayment,- -,- -,-95000,-250000,-259000
91,Common Stock Issued,- -,- -,126411000,529913000,85213000
92,Common Stock Repurchased,- -,- -,-3000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,271182000,24978000,322931000,-189000,15377000
95,Cash Used/Provided by Financing Activities,271182000,24978000,449244000,529474000,100331000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,174807000,-129559000,63454000,328671000,-88072000
98,Cash at the End of Period,188921000,59362000,122816000,451487000,363415000
99,Cash at the Beginning of Period,14114000,188921000,59362000,122816000,451487000
100,Free Cash Flow,-69123000,-102288000,-138572000,-197490000,-69406000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1706431/000156459020013194/0001564590-20-013194-index.htm,https://www.sec.gov/Archives/edgar/data/1706431/000156459021008915/0001564590-21-008915-index.htm,- -
102,false,,,,,
