,https://roic.ai/company/QSEP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125000,9980,- -,- -,- -,- -,- -,30000,39000,- -,- -,- -,- -,- -,- -,240000,- -,- -,50000,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,13400,10720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,16600,28280,- -,- -,- -,- -,- -,- -,240000,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.5533,0.7251,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,1873464,1150361,401827,600816,652363,428139,427982,1130283,693184,2011486,893452,577501,279000,243000,208000,891000,355000,350000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6886681,7457170,11883975,3284666,2915369,2103000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",127665,- -,- -,- -,- -,3323030,2980046,7412227,3956345,3062537,3042465,4293631,6886681,7457170,11883975,3284666,2915369,2103000,- -,- -,- -,- -,- -
9,Other Expenses,- -,372832,2733844,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2938000,1853000,2159000,1468000,487000
10,Operating Expenses,127665,372832,2733844,- -,- -,5196494,4130407,7814054,4557161,3714900,3470604,4721613,8016964,8150354,13895461,4178118,3492870,2382000,3181000,2061000,3050000,1823000,837000
11,COGS and Expenses,127665,372832,2733844,2748110,2475483,6806560,4130407,7827454,4567881,3714900,3470604,4721613,8016964,8150354,13895461,4178118,3492870,2382000,3181000,2061000,3050000,1823000,- -
12,Interest Income ,- -,- -,- -,- -,440,514,- -,15422,91,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,2398691,1736537,1461927,1603500,4034558,5084253,3627732,260,39619,747342,1617000,1704000,998000,2571000,592000,233000
14,Depreciation and Amortization,- -,- -,191702,891674,868932,945222,515735,2439199,1740976,37530,33031,34022,34717,36077,15399,13825,13062,7000,19000,22000,7000,7000,59000
15,EBITDA,-2665,-362852,-2542142,-1856436,-1606551,-4251272,-4631880,-5342833,-2784430,-3677370,-3437573,-4687591,-7982247,-8114277,-13880062,-3952891,-3479808,-2375000,-3112000,-2039000,-3043000,-1816000,-1128000
16,EBITDA ratio,-0.0213,-36.3579,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-178.0944,-71.3956,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.4704,-Infinity,-Infinity,-62.2400,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-2665,362852,2733844,2748110,2475483,6806560,4130407,7797454,4528881,3714900,3470604,4721613,-8016964,8150354,13895461,3938118,3492870,-2382000,-3131000,-2061000,-3050000,-1823000,-1187000
18,Operating Income ratio,-0.0213,36.3579,Infinity,Infinity,Infinity,Infinity,Infinity,259.9151,116.1252,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,16.4088,Infinity,-Infinity,-62.6200,-Infinity,-Infinity,-Infinity,-Infinity
