,https://roic.ai/company/CDXC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,4506301,- -,5780000,8112610,11610000,10160000,- -,15313180,26811086,21201480,31557000,46291000,59257000,67449000
2,COGS,- -,3274800,- -,3740000,5640791,9340000,7030000,- -,9987510,14889954,10724180,15502000,20522000,23983000,25959000
3,Gross Profit,- -,1231501,- -,2040000,2471819,2270000,3130000,- -,5325670,11921132,10477300,16055000,25769000,35274000,41490000
4,Gross Profit Ratio,- -,0.2733,- -,0.3529,0.3047,0.1955,0.3081,- -,0.3478,0.4446,0.4942,0.5088,0.5567,0.5953,0.6151
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2522768,4007380,5478000,4420000,3732000,3832000
6,General and Administrative Exp.,- -,2579015,- -,2930000,7796806,13910000,5112395,- -,8374606,9393209,17641886,27137000,34308000,30448000,36379000
7,Selling and Marketing Exp.,- -,720519,- -,- -,2539252,- -,2357605,- -,2136584,2250589,4459224,16537000,18216000,20948000,28352000
8,"Selling, General and Administrative Exp.",38382,3299534,- -,2934162,10336058,13911871,7470000,- -,10511190,11643798,22101110,43674000,52524000,51396000,64731000
9,Other Expenses,- -,- -,- -,-4162,- -,-1871,50000,- -,45830,- -,745770,75000,125000,- -,- -
10,Operating Expenses,38382,3299534,- -,2930000,10336058,13910000,7520000,- -,10557020,14166566,26854260,49227000,57069000,55128000,68563000
11,COGS and Expenses,38382,6574334,- -,6670000,15976849,23250000,14550000,- -,20544530,29056520,37578440,64729000,77591000,79111000,94522000
12,Interest Income ,- -,33636,- -,2254,1397,3014,1251,- -,2013,2247,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,70079,- -,-10000,32142,-30000,34330,- -,158849,371899,152784,- -,- -,71000,-55000
14,Depreciation and Amortization,- -,376280,- -,394500,398881,344033,269707,- -,258310,419560,716141,842000,1523000,1513000,- -
15,EBITDA,-38382,-1658117,- -,-525500,-7463961,-11345967,-4115963,- -,-4971031,-2136726,-10508695,-32474000,-30624000,-18341000,-27183000
16,EBITDA ratio,-Infinity,-0.3680,- -,-0.0909,-0.9200,-0.9773,-0.4051,- -,-0.3246,-0.0797,-0.4957,-1.0291,-0.6616,-0.3095,-0.4030
17,Operating Income,-38382,-2068033,- -,-892732,-7864239,-11636434,-4386446,- -,-5231349,-2245434,-16376962,-33172000,-31300000,-19854000,-27073000
18,Operating Income ratio,-Infinity,-0.4589,- -,-0.1545,-0.9694,-1.0023,-0.4317,- -,-0.3416,-0.0838,-0.7724,-1.0512,-0.6762,-0.3350,-0.4014
19,Total Other Income Expenses (Gains),- -,- -,- -,-17268,- -,-23566,-33554,- -,-156841,-682751,-152788,-144000,-847000,-71000,-55000
20,Income Before Tax,- -,- -,- -,-910000,- -,-11660000,-4420000,- -,-5388190,-2928185,-16529750,-33316000,-32147000,-19925000,-27128000
21,Income Before Tax Ratio,- -,- -,- -,-0.1574,- -,-1.0043,-0.4350,- -,-0.3519,-0.1092,-0.7797,-1.0557,-0.6945,-0.3362,-0.4022
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-38382,-2104476,- -,-910000,-7894984,-11660000,-4420000,- -,-5388190,-2928185,-11377620,-33316000,-32147000,-19925000,-27128000
24,Net Income ratio,-Infinity,-0.4670,- -,-0.1574,-0.9732,-1.0043,-0.4350,- -,-0.3519,-0.1092,-0.5366,-1.0557,-0.6945,-0.3362,-0.4022
25,EPS,-0.01,-0.21,- -,-0.09,-0.36,-0.39,-0.12,- -,-0.15,-0.08,-0.26,-0.61,-0.56,-0.33,-0.40
26,EPS Diluted,-0.01,-0.21,- -,-0.09,-0.36,-0.39,-0.12,- -,-0.15,-0.08,-0.26,-0.61,-0.56,-0.33,-0.40
27,Weighted Average Shares Outstanding,5346166,9437635,- -,9612729,22768914,30089570,33329114,- -,35486424,37294321,44598879,55006000,57056000,61067000,67185000
28,Weighted Average Shares Outstanding Diluted,5346166,9437635,- -,9612729,22768914,30089570,33530969,- -,35486424,37294321,44598879,55006000,57056000,61067000,67185000
29,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000119312510072639/0001193125-10-072639-index.html,- -,https://www.sec.gov/Archives/edgar/data/1386570/000141588913000560/0001415889-13-000560-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000141588914000961/0001415889-14-000961-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000141588915000967/0001415889-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495417002092/0001654954-17-002092-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495418002621/0001654954-18-002621-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495419002395/0001654954-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495420002437/0001654954-20-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495421002692/0001654954-21-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000162828022006041/0001628280-22-006041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,580,1125504,- -,470000,420152,520000,2260000,- -,3964750,1642429,45388850,22416000,18612000,16497000,28219000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,580,1125504,- -,470000,420152,520000,2260000,- -,3964750,1642429,45388850,22416000,18612000,16497000,28219000
34,Net Receivables,- -,349052,- -,500000,723666,1940000,1050000,- -,1906710,5852030,5337870,4415000,2175000,2694000,5226000
35,Inventory,- -,711584,- -,920000,2905600,5210000,2200000,- -,3734340,7912630,5796280,8249000,11535000,11683000,13601000
36,Other Current Assets,- -,112609,- -,120000,903934,260000,280000,- -,292890,329854,655320,1454000,1196000,1345000,1859000
37,Total Current Assets,580,2298749,- -,2010000,4953352,7930000,5790000,- -,9898690,15736943,57178320,36534000,33518000,32219000,48905000
38,PP&E,- -,1294062,- -,1200000,1172288,940000,1060000,- -,1264660,3111000,2871890,3585000,4656000,4432000,4352000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
