,https://roic.ai/company/EYE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1062528000,1196195000,1375308000,1536854000,1724331000,- -,1711760000
2,COGS,491100000,544781000,636966000,713571000,806519000,- -,786624000
3,Gross Profit,571428000,651414000,738342000,823283000,917812000,- -,925136000
4,Gross Profit Ratio,0.5378,0.5446,0.5369,0.5357,0.5323,- -,0.5405
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,600010000,687476000,744488000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,600010000,687476000,744488000,- -,- -
9,Other Expenses,519035000,577898000,74041000,93456000,109535000,- -,811730000
10,Operating Expenses,519035000,577898000,674051000,780932000,854023000,- -,811730000
11,COGS and Expenses,1010135000,1122679000,1311017000,1494503000,1660542000,- -,1598354000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),36741000,39092000,55536000,-37483000,-33300000,- -,48171000
14,Depreciation and Amortization,44069000,51993000,61115000,74339000,87244000,- -,91585000
15,EBITDA,86195000,118377000,121142000,41724000,84433000,- -,178436000
16,EBITDA ratio,0.0811,0.0990,0.0881,0.0271,0.0490,- -,0.1042
17,Operating Income,44677000,66384000,67236000,42351000,73575000,- -,87007000
18,Operating Income ratio,0.0420,0.0555,0.0489,0.0276,0.0427,- -,0.0508
19,Total Other Income Expenses (Gains),-39292000,-39092000,-63008000,-37483000,-43086000,- -,-48327000
20,Income Before Tax,5385000,27292000,4228000,4868000,30489000,- -,38680000
21,Income Before Tax Ratio,0.0051,0.0228,0.0031,0.0032,0.0177,- -,0.0226
22,Income Tax expense (Gain),1768000,12534000,-38647000,-18785000,-2309000,- -,2403000
23,Net Income,3617000,14758000,43138000,23653000,32798000,- -,36277000
24,Net Income ratio,0.0034,0.0123,0.0314,0.0154,0.0190,- -,0.0212
25,EPS,0.05,0.30,0.77,0.31,0.42,- -,0.45
26,EPS Diluted,0.05,0.30,0.74,0.30,0.40,- -,0.44
27,Weighted Average Shares Outstanding,72283832,72283832,59895000,75899000,78608000,- -,80565000
28,Weighted Average Shares Outstanding Diluted,72283832,72283832,62035000,79041000,81683000,- -,82793000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710155/000171015518000012/0001710155-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015519000016/0001710155-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015520000010/0001710155-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1710155/000171015521000019/0001710155-21-000019-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5595000,4945000,4208000,17132000,39342000,- -,373903000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5595000,4945000,4208000,17132000,39342000,- -,373903000
34,Net Receivables,29347000,34370000,43193000,50735000,44475000,- -,57989000
35,Inventory,75017000,87064000,91151000,116022000,127556000,- -,111274000
36,Other Current Assets,17836000,20880000,23925000,30815000,23266000,- -,23484000
37,Total Current Assets,127795000,147259000,162477000,214704000,234639000,- -,566650000
38,PP&E,207200000,256414000,302280000,355117000,714857000,- -,681434000
39,Goodwill,796573000,793229000,792744000,777613000,777613000,- -,777613000
40,Intangible Assets,332358000,321885000,313450000,305079000,297487000,- -,290058000
41,Intangible Assets,1128931000,1115114000,1106194000,1082692000,1075100000,- -,1067671000
42,Investments,- -,- -,- -,- -,- -,- -,- -
