,https://roic.ai/company/LI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,284367000,9456609000,27009779000
2,COGS,- -,284462000,7907270000,21248325000
3,Gross Profit,- -,-95000,1549339000,5761454000
4,Gross Profit Ratio,- -,-0.0003,0.1638,0.2133
5,Research and Development Exp.,793717000,1169140000,1099857000,3286389000
6,General and Administrative Exp.,261031000,437280000,785701000,2302424000
7,Selling and Marketing Exp.,35134000,176383000,264814000,1100769000
8,"Selling, General and Administrative Exp.",296165000,613663000,1050515000,3403193000
9,Other Expenses,41035000,57650000,37923000,89192000
10,Operating Expenses,1130917000,1840453000,2188295000,6778774000
11,COGS and Expenses,1130917000,2124915000,10095565000,28027099000
12,Interest Income ,3582000,30256000,41316000,740432000
13,Interest Expense (Gain),63467000,83667000,66916000,63244000
14,Depreciation and Amortization,60496000,116391000,320996000,82777000
15,EBITDA,-1105742000,-2238478000,213408000,-6791000
16,EBITDA ratio,-Infinity,-7.8718,0.0226,-0.0003
17,Operating Income,-1130917000,-1858614000,-669337000,-1017320000
18,Operating Income ratio,-Infinity,-6.5360,-0.0708,-0.0377
19,Total Other Income Expenses (Gains),-34379000,-559260000,480460000,864508000
20,Income Before Tax,-1165296000,-2417874000,-188877000,-152812000
21,Income Before Tax Ratio,-Infinity,-8.5027,-0.0200,-0.0057
22,Income Tax expense (Gain),- -,- -,-22847000,168643000
23,Net Income,-1532318000,-2438536000,-151657000,-321455000
24,Net Income ratio,-Infinity,-8.5753,-0.0160,-0.0119
25,EPS,-2.04,-3.94,-1.82,-0.34
26,EPS Diluted,-2.04,-3.94,-1.82,-0.34
27,Weighted Average Shares Outstanding,904847675,511375516,435001639,926660224
28,Weighted Average Shares Outstanding Diluted,904847675,511375516,435001639,926660224
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,70192000,1296215000,8938341000,27854224000
32,Short-Term Investments,859913000,2272653000,19701382000,19668239000
33,Cash and Short-Term Investments,930105000,3568868000,28639723000,47522463000
