,https://roic.ai/company/NXTP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,2755608,1320225,2543000,1292517,987115,1563375,1093456,544658,400277,430797,505187,441769,48338
2,COGS,- -,- -,1410113,3456658,9964619,3558714,501460,412225,355995,217302,359239,328335,400814,352963,43204
3,Gross Profit,- -,- -,1345495,-2136433,-7421619,-2266197,485655,1151150,737461,327356,41038,102462,104373,88806,5134
4,Gross Profit Ratio,- -,- -,0.4883,-1.6182,-2.9185,-1.7533,0.4920,0.7363,0.6744,0.6010,0.1025,0.2378,0.2066,0.2010,0.1062
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,342539,54846,244484,506339,1071553,1447637,655667
6,General and Administrative Exp.,- -,- -,3042085,8884309,12348941,11641899,5184304,9059091,5465719,3779228,6551617,5150352,4171125,4473481,6350116
7,Selling and Marketing Exp.,- -,- -,42335,71260,439573,49301,131504,309359,241438,21924,176715,84424,- -,135303,461606
8,"Selling, General and Administrative Exp.",- -,- -,3084420,8955569,12788514,11691200,5315808,9368450,5707157,3801152,6728332,5234776,4171125,4608784,6811722
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89475,- -,506995
10,Operating Expenses,- -,- -,3084420,8955569,12788514,11691200,5315808,9368450,6049696,3855998,6972816,5741115,5332153,6056421,7974384
11,COGS and Expenses,33533,51282,4494533,12412227,22753133,15249914,5817268,9780675,6405691,4073300,7332055,6069450,5732967,6409384,8017588
12,Interest Income ,- -,- -,42,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,119237,642164,553893,1231199,1774792,1129388,1054758,384899,248200,198038,163195,164177,392749
14,Depreciation and Amortization,- -,- -,100616,1733023,2201973,1222861,604008,1425522,1268601,164615,1779820,211158,293804,295485,193534
15,EBITDA,-33533,-51282,-1623714,-9489045,-20414477,-11197006,-1813513,-13859610,3872399,-4000970,-5069255,-9627946,4755562,-8995024,-15917756
16,EBITDA ratio,-Infinity,-Infinity,-0.5892,-7.1874,-8.0277,-8.6629,-1.8372,-8.8652,3.5414,-7.3458,-12.6644,-22.3491,9.4135,-20.3614,-329.3011
17,Operating Income,-33533,-51282,-1738925,-11092002,-20210133,-13957397,-4830153,-8217300,-5437235,-3528642,-6931778,-7723653,-5227780,-5967615,-7969250
18,Operating Income ratio,-Infinity,-Infinity,-0.6310,-8.4016,-7.9474,-10.7986,-4.8932,-5.2561,-4.9725,-6.4786,-17.3175,-17.9288,-10.3482,-13.5085,-164.8651
