,https://roic.ai/company/MDGS,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , 
1,Revenue,618906,549000,467000,436000,273000
2,COGS,274870,176000,516000,607000,455000
3,Gross Profit,344036,373000,-49000,-171000,-182000
4,Gross Profit Ratio,0.5559,0.6794,-0.1049,-0.3922,-0.6667
5,Research and Development Exp.,4360011,3655000,2208000,1809000,609000
6,General and Administrative Exp.,2825041,3684000,3005000,3338000,13179000
7,Selling and Marketing Exp.,2661861,2125000,846000,1354000,326000
8,"Selling, General and Administrative Exp.",5486902,5809000,3851000,4692000,13505000
9,Other Expenses,-0,- -,- -,- -,- -
10,Operating Expenses,9846913,9464000,6059000,6501000,14114000
11,COGS and Expenses,10121783,9640000,6575000,7108000,14569000
12,Interest Income ,- -,99000,71000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,121168,99000,77000,42000,75000
15,EBITDA,-9290768,-8880000,-2475000,-6536000,-14104000
16,EBITDA ratio,-15.0116,-16.1749,-5.2998,-14.9908,-51.6630
17,Operating Income,-9502877,-9091000,-6108000,-6672000,-14296000
18,Operating Income ratio,-15.3543,-16.5592,-13.0792,-15.3028,-52.3663
19,Total Other Income Expenses (Gains),90940,112000,3556000,94000,117000
20,Income Before Tax,-9411936,-8979000,-2552000,-6578000,-14179000
21,Income Before Tax Ratio,-15.2074,-16.3552,-5.4647,-15.0872,-51.9377
22,Income Tax expense (Gain),67629,28000,-7000,20000,-1000
23,Net Income,-9479565,-9007000,-2545000,-6598000,-14178000
24,Net Income ratio,-15.3166,-16.4062,-5.4497,-15.1330,-51.9341
25,EPS,-66.60,-52.00,-4.00,-3.20,-3.60
26,EPS Diluted,-66.60,-52.00,-4.00,-3.20,-3.60
27,Weighted Average Shares Outstanding,142075,171985,628425,2099400,3906200
28,Weighted Average Shares Outstanding Diluted,142075,171985,648450,2099400,3906200
