,https://roic.ai/company/OSW,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,476284000,506685000,540778000,562233000,120925000,144031000
2,COGS,424260000,440350000,463175000,482236000,139234000,135585000
3,Gross Profit,52024000,66335000,77603000,79997000,-18309000,8446000
4,Gross Profit Ratio,0.1092,0.1309,0.1435,0.1423,-0.1514,0.0586
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24886000,24516000,25561000,80401000,39095000,15526000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24886000,24516000,25561000,80401000,39095000,15526000
9,Other Expenses,3521000,3521000,3521000,13929000,16823000,44980000
10,Operating Expenses,28407000,28037000,29082000,94330000,55918000,60506000
11,COGS and Expenses,452667000,468387000,492257000,576566000,195152000,196091000
12,Interest Income ,340000,408000,238000,43000,30000,55000
13,Interest Expense (Gain),- -,- -,34099000,19510000,14703000,13488000
14,Depreciation and Amortization,12884000,9829000,10055000,21595000,24453000,22468000
15,EBITDA,33402000,46209000,55128000,-120000,-240521000,-32137000
16,EBITDA ratio,0.0701,0.0912,0.1019,-0.0002,-1.9890,-0.2231
17,Operating Income,23617000,38298000,48521000,-14333000,-265004000,-52060000
18,Operating Income ratio,0.0496,0.0756,0.0897,-0.0255,-2.1915,-0.3614
19,Total Other Income Expenses (Gains),162000,191000,-33690000,-22880000,-14673000,-16033000
20,Income Before Tax,23779000,38489000,14831000,-37213000,-279677000,-68093000
21,Income Before Tax Ratio,0.0499,0.0760,0.0274,-0.0662,-2.3128,-0.4728
22,Income Tax expense (Gain),5615000,5263000,1088000,-11000,814000,429000
23,Net Income,14903000,31117000,9886000,-41214000,-280491000,-68522000
24,Net Income ratio,0.0313,0.0614,0.0183,-0.0733,-2.3195,-0.4757
25,EPS,0.24,0.07,0.16,-0.67,-3.77,-0.76
26,EPS Diluted,0.21,0.07,0.16,-0.67,-3.77,-0.76
27,Weighted Average Shares Outstanding,63071500,63071500,61118298,61118000,74359000,90134000
28,Weighted Average Shares Outstanding Diluted,70071500,70071500,61118298,61118000,74359000,90134000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1758488/000119312519137441/0001193125-19-137441-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459020014267/0001564590-20-014267-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459021011948/0001564590-21-011948-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459022008795/0001564590-22-008795-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,6611000,8671000,15302000,13863000,41552000,30937000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6611000,8671000,15302000,13863000,41552000,30937000
34,Net Receivables,20837000,23263000,25352000,30513000,2994000,19480000
35,Inventory,33462000,25299000,32265000,36066000,27200000,29483000
36,Other Current Assets,5738000,5855000,8041000,10220000,10436000,9047000
37,Total Current Assets,66648000,63088000,80960000,90662000,82182000,88947000
38,PP&E,21337000,17372000,16239000,- -,17056000,14107000
39,Goodwill,33864000,33864000,33864000,190077000,- -,- -
40,Intangible Assets,138558000,135038000,131517000,616637000,599114000,582290000
41,Intangible Assets,172422000,168902000,165381000,806714000,599114000,582290000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,7614000,4461000,4265000,2046000,98000,70000
44,Other Non-Current Assets,6760000,13249000,5814000,24247000,3829000,3454000
45,Total Non-Current Assets,208133000,203984000,191699000,833007000,620097000,599921000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,274781000,267072000,272659000,923669000,702279000,688868000
48,Accounts Payable,4615000,16067000,14148000,23437000,8601000,15846000
49,Short-Term Debt,- -,- -,- -,- -,- -,1776000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,21587000,21098000,29091000,27973000,28474000,34243000
